11'伊斯梅洛夫交给李光                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
11'分右路的谭龙                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
11'回传给蒋哲                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
11'短传被李学鹏拿到                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
11'但传球被孙捷断下                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
11'胡斯蒂接应交给伊斯梅洛夫                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
11'伊斯梅洛夫分左侧的裴帅，内切打门打偏了                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
12'回复：九天之边 12:45 举报回复 长春十几度广州三十几度（温差有点大）                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
12'梅方长传，被伊斯梅洛夫端一下，阿兰抢第二点未果                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
13'伊哈洛接应分左路，胡斯蒂传中，有点传大了                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
13'高拉特左路推进，内切，分给了王靖斌                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
13'传球被蒋哲解围                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
13'第二点还是王靖斌，交给高拉特                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
13'做墙传球，给得不好，吴亚轲将球没收                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
14'长传上来，保利尼奥将球顶一下                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
14'蒋哲头球回顶                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
14'郑智中场拿球分边出边线                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
14'高拉特中场推进，李光断球，高拉特反抢犯规                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
14'保利尼奥中场断球，李学鹏交给郑智                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
14'阿兰接应交给高拉特                   11'第11分钟，亚泰通过连续传递形成攻势，裴帅左路内切攻门打偏
22'伊哈洛背后推人犯规                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
22'广州恒大淘宝换人，16号黄博文换下了26号王靖斌！                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
22'保利尼奥回传给冯潇霆                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
22'长传上来，打到了阿兰后背                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
23'高拉特中路分边，郑智右路传中，吴亚轲抢在阿兰之前将球拿住                   22'第22分钟，郑智右路前插送出快速传中，亚泰门将吴亚轲抢在前插包抄的阿兰前将球压在身下
