1'主裁判吹响了上半场比赛开始的哨音~                   1'巴萨第1分钟就展开围攻之势
1'梅西~回到后场参与防守，断下了对方的传球                   1'巴萨第1分钟就展开围攻之势
2'梅西~直塞苏亚雷斯，后卫抢先出脚破坏出了边线                   1'巴萨第1分钟就展开围攻之势
2'今天巴萨在阵容方面变动比较大了                   1'巴萨第1分钟就展开围攻之势
2'三条线均有人员变化                   1'巴萨第1分钟就展开围攻之势
3'拉基蒂奇将球分给了阿德里亚诺                   1'巴萨第1分钟就展开围攻之势
3'巴萨重新掌握了球权                   1'巴萨第1分钟就展开围攻之势
3'佩德罗跟苏牙的撞墙式配合~                   1'巴萨第1分钟就展开围攻之势
4'突入禁区倒地了                   1'巴萨第1分钟就展开围攻之势
4'裁判示意比赛继续                   1'巴萨第1分钟就展开围攻之势
4'巴萨前场断球~~                   1'巴萨第1分钟就展开围攻之势
4'苏亚雷斯底线回传到禁区弧顶~                   1'巴萨第1分钟就展开围攻之势
4'哈维脚下一滑，自己摔倒了                   1'巴萨第1分钟就展开围攻之势
4'哈维也是打一场少一场了                   1'巴萨第1分钟就展开围攻之势
4'这个赛季结束之后他将会离开巴塞罗那                   1'巴萨第1分钟就展开围攻之势
15'慢动作来看，边裁的吹罚没有问题                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
15'好险~~~                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
15'阿尔梅里亚右路连续的配合                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
16'席尔瓦~小角度打门！擦着远端立柱飞出                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
16'这球还是佩德罗碰了一下，角球                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
16'战术角球~~                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
16'传中球到了后点，已经出底线了                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
17'罗贝托今天好没有存在感                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
17'在场上几乎很少触球                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
18'梅西在右路~                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
18'带到了禁区~想要扣球过人                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
18'自己也是脚下拌蒜滑倒了                   15'客队第15分钟也制造威胁，蒂埃维回传，维利格顿小禁区右侧边缘外劲射被佩德罗封堵后滑门而出
33'托马斯在中拦截的时候放倒了阿尔维斯                   33'巴萨第33分钟打破僵局，巴尔特拉传球，梅西禁区右侧20码处弧线球射入远角
34'梅西~~~                   33'巴萨第33分钟打破僵局，巴尔特拉传球，梅西禁区右侧20码处弧线球射入远角
34'Gooooooooooooooooal~~~~~~~                   33'巴萨第33分钟打破僵局，巴尔特拉传球，梅西禁区右侧20码处弧线球射入远角
34'在他熟悉的通道~                   33'巴萨第33分钟打破僵局，巴尔特拉传球，梅西禁区右侧20码处弧线球射入远角
34'梅西边路带球内切，摆脱了门德斯~一脚漂亮的香蕉球！直挂球门左侧                   33'巴萨第33分钟打破僵局，巴尔特拉传球，梅西禁区右侧20码处弧线球射入远角
35'门将虽然奋力扑救，但是角度实在是太刁了                   33'巴萨第33分钟打破僵局，巴尔特拉传球，梅西禁区右侧20码处弧线球射入远角
35'梅西这球打得漂亮~                   33'巴萨第33分钟打破僵局，巴尔特拉传球，梅西禁区右侧20码处弧线球射入远角
36'梅西中路强突~~人太多啦                   33'巴萨第33分钟打破僵局，巴尔特拉传球，梅西禁区右侧20码处弧线球射入远角
55'后腰位置漏人了                   55'巴萨第55分钟扩大比分，阿尔维斯传球，苏亚雷斯突入禁区右侧16码处射入远角，2-0
55'苏亚雷斯~~~                   55'巴萨第55分钟扩大比分，阿尔维斯传球，苏亚雷斯突入禁区右侧16码处射入远角，2-0
55'Gooooooooooooooooooal~~~                   55'巴萨第55分钟扩大比分，阿尔维斯传球，苏亚雷斯突入禁区右侧16码处射入远角，2-0
55'跟梅西同样的方式同样的位置同样的角度                   55'巴萨第55分钟扩大比分，阿尔维斯传球，苏亚雷斯突入禁区右侧16码处射入远角，2-0
55'这两个进球简直如出一辙                   55'巴萨第55分钟扩大比分，阿尔维斯传球，苏亚雷斯突入禁区右侧16码处射入远角，2-0
56'苏亚雷斯假动作晃开了卡萨多~内切之后左脚射门将球打入死角                   55'巴萨第55分钟扩大比分，阿尔维斯传球，苏亚雷斯突入禁区右侧16码处射入远角，2-0
56'而巴萨上一刻还差点被打了反击                   55'巴萨第55分钟扩大比分，阿尔维斯传球，苏亚雷斯突入禁区右侧16码处射入远角，2-0
56'阿尔梅里亚换上了23号索里亚诺                   55'巴萨第55分钟扩大比分，阿尔维斯传球，苏亚雷斯突入禁区右侧16码处射入远角，2-0
57'两球在握，拿下是没问题了                   55'巴萨第55分钟扩大比分，阿尔维斯传球，苏亚雷斯突入禁区右侧16码处射入远角，2-0
57'阿德里亚诺左边路传中~~                   55'巴萨第55分钟扩大比分，阿尔维斯传球，苏亚雷斯突入禁区右侧16码处射入远角，2-0
57'裁判吹了佩德罗越位                   55'巴萨第55分钟扩大比分，阿尔维斯传球，苏亚雷斯突入禁区右侧16码处射入远角，2-0
75'梅西突破后分球~~                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
75'连过4人~~~                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
75'巴萨再次获得角球                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
75'哈维角球传前点~                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
75'巴尔特拉~~~                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
75'Goooooooooooooooooooooal~~~                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
75'巴萨今年的定位球确实很猛~~~                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
76'哈维的传中到了前点~巴尔特拉在没有后卫干扰的情况下头球攻门，球弹地之后飞入了网窝                   75'巴萨第75分钟锁定胜局，哈维开出角球，巴尔特拉小禁区前冲顶入网，3-0
