1'上半场比赛开始                   1'皇马第1分钟控制比赛
1'首先由客队马拉加开球，从画面的右侧向左进攻                   1'皇马第1分钟控制比赛
2'马拉加后场起球到前场，力量有点大，纳乔一让，纳瓦斯出击将球控制                   1'皇马第1分钟控制比赛
3'好机会啊，可惜赫塞的打门，偏了点                   1'皇马第1分钟控制比赛
3'本泽马左路前插拿球，在球出底线前勾回到门前，出击的卡梅尼没拿到，赫塞后点跟进打门，被后卫挡出底线                   1'皇马第1分钟控制比赛
4'皇马获得右侧角球机会，莫德里奇主罚                   1'皇马第1分钟控制比赛
4'角球开出，第一点被马拉加球员解围                   1'皇马第1分钟控制比赛
4'卡瓦哈尔右路拿球，下底传中到后点                   1'皇马第1分钟控制比赛
7'马拉加右路的横传，蒂索内的打门，被瓦拉内伸脚挡出底线                   7'第7分钟，卡瓦哈尔右路传中，C-罗纳尔多头球破门却因越位在先被判无效
7'马拉加获得左侧角球机会，开出到后点，头球，纳瓦斯没收                   7'第7分钟，卡瓦哈尔右路传中，C-罗纳尔多头球破门却因越位在先被判无效
8'C罗头球顶进，可惜被吹越位在先，无效！！！                   7'第7分钟，卡瓦哈尔右路传中，C-罗纳尔多头球破门却因越位在先被判无效
8'卡瓦哈尔右路拿球，内切后起球到禁区左侧，C罗跃起头球顶进球门左侧，可惜越位，无效！！                   7'第7分钟，卡瓦哈尔右路传中，C-罗纳尔多头球破门却因越位在先被判无效
10'皇马前场再攻，左路的传中球                   7'第7分钟，卡瓦哈尔右路传中，C-罗纳尔多头球破门却因越位在先被判无效
10'C罗点球点附近高高跃起的头球，顶高啦！！！                   7'第7分钟，卡瓦哈尔右路传中，C-罗纳尔多头球破门却因越位在先被判无效
47'卡瓦哈尔右路拿球，斜传到后点，没人顶到，被罗萨拉斯控制                   47'第47分钟，卡瓦哈尔禁区右侧传中，C-罗纳尔多12码处凌空扫射又被卡梅尼扑出
47'克罗斯中场拿球，蒂索内上抢，直接踩在了克罗斯的右脚上                   47'第47分钟，卡瓦哈尔禁区右侧传中，C-罗纳尔多12码处凌空扫射又被卡梅尼扑出
48'蒂加多伊尼前场中路拿球，瓦拉内上抢，放铲带倒了对方，犯规                   47'第47分钟，卡瓦哈尔禁区右侧传中，C-罗纳尔多12码处凌空扫射又被卡梅尼扑出
