1'上半场比赛开始了，纽卡斯尔开球                   1'阿森纳第1分钟就试图控制比赛
1'开球后纽卡斯尔长传球到左边路，球被后卫蹭出了边线                   1'阿森纳第1分钟就试图控制比赛
1'纽卡斯尔中场拦截，试图把球挑到后卫身后，球被科斯切尔尼头球拦截                   1'阿森纳第1分钟就试图控制比赛
2'阿森纳后场抢断后，中路桑切斯拿球分边到右边路给张伯伦                   1'阿森纳第1分钟就试图控制比赛
2'张伯伦带球到禁区前沿试图和拉姆塞一个2过1！可惜拉姆塞的传球传大了！出了底线                   1'阿森纳第1分钟就试图控制比赛
3'纽卡斯尔前场米特洛维奇拼抢高球时边裁示意犯规！                   1'阿森纳第1分钟就试图控制比赛
3'拉姆塞中场控球，被纽卡斯尔2名防守球员把球拦截                   1'阿森纳第1分钟就试图控制比赛
4'蒙雷尔边路去拦截时被西索科一个蹬踏犯规！黄牌！！                   1'阿森纳第1分钟就试图控制比赛
4'西索科吃到一张黄牌！！                   1'阿森纳第1分钟就试图控制比赛
4'慢镜头看西索科这个动作一点没收啊！很危险，直接踩在蒙雷尔的脚面上！                   1'阿森纳第1分钟就试图控制比赛
3'纽卡斯尔前场米特洛维奇拼抢高球时边裁示意犯规！                   3'3分钟后，张伯伦传球，贝莱林突入禁区右侧被托万从背后踩倒，裁判马里纳拒绝判罚点球
3'拉姆塞中场控球，被纽卡斯尔2名防守球员把球拦截                   3'3分钟后，张伯伦传球，贝莱林突入禁区右侧被托万从背后踩倒，裁判马里纳拒绝判罚点球
4'蒙雷尔边路去拦截时被西索科一个蹬踏犯规！黄牌！！                   3'3分钟后，张伯伦传球，贝莱林突入禁区右侧被托万从背后踩倒，裁判马里纳拒绝判罚点球
4'西索科吃到一张黄牌！！                   3'3分钟后，张伯伦传球，贝莱林突入禁区右侧被托万从背后踩倒，裁判马里纳拒绝判罚点球
4'慢镜头看西索科这个动作一点没收啊！很危险，直接踩在蒙雷尔的脚面上！                   3'3分钟后，张伯伦传球，贝莱林突入禁区右侧被托万从背后踩倒，裁判马里纳拒绝判罚点球
5'阿森纳中场控球，桑切斯右边路拿球，把球转移到左路                   3'3分钟后，张伯伦传球，贝莱林突入禁区右侧被托万从背后踩倒，裁判马里纳拒绝判罚点球
5'纽卡斯尔球员退守很快，在禁区前沿形成了严密的防守阵型                   3'3分钟后，张伯伦传球，贝莱林突入禁区右侧被托万从背后踩倒，裁判马里纳拒绝判罚点球
5'阿森纳只能把球踢回到后场，重新组织                   3'3分钟后，张伯伦传球，贝莱林突入禁区右侧被托万从背后踩倒，裁判马里纳拒绝判罚点球
6'桑切斯左边路走边下底传中到门前，前点对方后卫一蹭，禁区里双方争抢高点，但没有吉鲁，阿森纳拼抢高点还是逊色不少                   3'3分钟后，张伯伦传球，贝莱林突入禁区右侧被托万从背后踩倒，裁判马里纳拒绝判罚点球
6'阿森纳中路送出直传球，沃尔科特斜插拿球，禁区外传中，球被后卫头球破坏                   3'3分钟后，张伯伦传球，贝莱林突入禁区右侧被托万从背后踩倒，裁判马里纳拒绝判罚点球
32'现在纽卡斯尔防守站位很紧密，让现在阿森纳走地面的战术很难奏效                   32'阿森纳第32分钟错失良机，桑切斯25码处抽射反弹球被克鲁尔勉强扑出，沃尔科特小禁区左侧补射偏出
33'桑切斯中路接球，自己停球后摆脱后卫，远射！球被克鲁尔侧身扑出，前插很快的沃尔科特在小禁区左侧角上补射，打高！！！                   32'阿森纳第32分钟错失良机，桑切斯25码处抽射反弹球被克鲁尔勉强扑出，沃尔科特小禁区左侧补射偏出
33'非常可惜啊！                   32'阿森纳第32分钟错失良机，桑切斯25码处抽射反弹球被克鲁尔勉强扑出，沃尔科特小禁区左侧补射偏出
34'桑切斯禁区弧顶把球挑到禁区里，拉姆塞稍稍跑过了一点，球出了底线                   32'阿森纳第32分钟错失良机，桑切斯25码处抽射反弹球被克鲁尔勉强扑出，沃尔科特小禁区左侧补射偏出
35'拉姆塞中场接应时被西索科拉倒，犯规！                   32'阿森纳第32分钟错失良机，桑切斯25码处抽射反弹球被克鲁尔勉强扑出，沃尔科特小禁区左侧补射偏出
35'卡索拉中后场拿球，大脚长传转移到右侧给张伯伦，可惜力量太大直接传出了边线                   32'阿森纳第32分钟错失良机，桑切斯25码处抽射反弹球被克鲁尔勉强扑出，沃尔科特小禁区左侧补射偏出
52'还是和上半场一样，纽卡斯尔站好队型防守，阿森纳禁区外组织！                   52'阿森纳第52分钟打破僵局，卡索拉禁区边缘射门被封堵，拉姆塞禁区弧内劲射被克鲁尔扑出，张伯伦禁区右侧低射打在科洛奇尼腿上偏转击中左侧立柱入网
52'张伯伦进球了！！！1-0                   52'阿森纳第52分钟打破僵局，卡索拉禁区边缘射门被封堵，拉姆塞禁区弧内劲射被克鲁尔扑出，张伯伦禁区右侧低射打在科洛奇尼腿上偏转击中左侧立柱入网
52'此时此刻值得来杯嘉士伯                   52'阿森纳第52分钟打破僵局，卡索拉禁区边缘射门被封堵，拉姆塞禁区弧内劲射被克鲁尔扑出，张伯伦禁区右侧低射打在科洛奇尼腿上偏转击中左侧立柱入网
53'阿森纳中路短传，卡索拉转身射门被后卫挡出，拉姆塞禁区弧顶再射被门将扑出！禁区右侧张伯伦低射远角得分！                   52'阿森纳第52分钟打破僵局，卡索拉禁区边缘射门被封堵，拉姆塞禁区弧内劲射被克鲁尔扑出，张伯伦禁区右侧低射打在科洛奇尼腿上偏转击中左侧立柱入网
53'慢镜头看这脚射门打在了科洛奇尼的两腿之间，折射进了后角！！                   52'阿森纳第52分钟打破僵局，卡索拉禁区边缘射门被封堵，拉姆塞禁区弧内劲射被克鲁尔扑出，张伯伦禁区右侧低射打在科洛奇尼腿上偏转击中左侧立柱入网
