3'杨阔边路拿球，转移到左侧给毕津浩                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
3'买提江中路制造对手犯规                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
3'建业快发，打到左路，冯绍顺把球铲出边线                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
4'戈麦斯过来掷边线球，还是他标志性的手榴弹方式                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
4'戈麦斯的臂力惊人啊，直接扔到点球点附近，关震出击把球摘下                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
5'赵容亨把球交给许博，许博的直传，给的不错                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
5'建业后场把球断下来，反击速度非常快                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
5'尹鸿博斜插禁区，形成单刀了                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
6'尹鸿博的一记推射，打的有些正，被关震用腿挡出底线                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
6'建业角球罚向后点，外围一记大力抽射，打在后卫身上                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
6'建业前场再次获得一个界外球，还是让戈麦斯来                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
6'戈麦斯这次没有选择大力发，而是交给身旁的伊沃                   3'比赛开场仅3分钟，客场作战的河南建业差点破门
17'双方你来我往，都力拼中场，不过实质性的破门机会少之又少                   17'第17分钟，河南建业再次觅得机会
17'建业阵型压上，形成围攻，郑仁焕也插上来了                   17'第17分钟，河南建业再次觅得机会
18'郑仁焕在很远的位置，选择了一记大力的远射，李超把球挡出底线                   17'第17分钟，河南建业再次觅得机会
18'角球开到禁区，穆伦加回防到位，头球解围                   17'第17分钟，河南建业再次觅得机会
19'永昌左路的进攻，胡伟拉到底线附近，穿裆把球传出                   17'第17分钟，河南建业再次觅得机会
20'杨阔把球解围出边线                   17'第17分钟，河南建业再次觅得机会
20'控球率方面，主队只有37%，而作客的建业达到了63%                   17'第17分钟，河南建业再次觅得机会
20'隆东右路的突破，强行的传中，造成角球机会                   17'第17分钟，河南建业再次觅得机会
21'永昌左路的角球给入禁区，落点很刁钻啊，前点没有顶到，却也晃了一下防守队员                   21'处于劣势的石家庄永昌只能依靠定位球制造威胁，第21分钟，石家庄永昌角球传入禁区，古德约翰森头球后蹭，门前包抄的穆伦加和隆东先后抢点射门，但均未能碰到皮球
22'中间穆伦加包抄也没碰到，后门柱的隆东跟进头球，偏出底线                   21'处于劣势的石家庄永昌只能依靠定位球制造威胁，第21分钟，石家庄永昌角球传入禁区，古德约翰森头球后蹭，门前包抄的穆伦加和隆东先后抢点射门，但均未能碰到皮球
22'隆东跟进的时候已经没有什么角度了                   21'处于劣势的石家庄永昌只能依靠定位球制造威胁，第21分钟，石家庄永昌角球传入禁区，古德约翰森头球后蹭，门前包抄的穆伦加和隆东先后抢点射门，但均未能碰到皮球
