1'裁判哨响！上半场比赛开始！                   1'第1分钟，马尔基西奥外围左脚射门被科尔达兹得到
1'克罗托内率先开球！                   1'第1分钟，马尔基西奥外围左脚射门被科尔达兹得到
10'迪巴拉右侧转身突破！传中被挡出底线！                   7'下半时开始7分钟，尤文打破僵局
10'尤文右侧角球！                   7'下半时开始7分钟，尤文打破僵局
10'角球给到前点被头球解围出去！                   7'下半时开始7分钟，尤文打破僵局
10'克罗托内反击！布迪米尔中路直接远射！被布冯拿到！                   7'下半时开始7分钟，尤文打破僵局
60'桑德罗左侧推进！分中路曼朱基奇！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
60'给左侧科斯塔！突破底线！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
61'球被破坏出边线！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
61'克罗托内后场断球！长传前场右侧！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
61'马图伊迪分右侧巴尔扎利！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
61'回传给马图伊迪！横传左侧贝纳蒂亚！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
61'回传后场赫韦德斯！分右侧巴尔扎利！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
61'交给后场赫韦德斯！短传贝纳蒂亚！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
62'分中路马图伊迪！给左侧科斯塔！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
62'科斯塔横传中路曼朱基奇！分右侧！险些失误！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
62'科斯塔弧顶直塞禁区！被破坏出左侧底线！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
62'尤文左侧角球！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
62'战术角球给出来！迪巴拉左侧传中到后点！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
62'被解围出去！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
63'德西利奥右侧迎球爆射！！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
63'球如飞火流星！直奔右侧！！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
63'GOOOOOOOOOOOOOOAL！！                   60'第60分钟，尤文战术角球开出后，道格拉斯-科斯塔左路传中被帕夫洛维奇破坏出禁区，德希利奥右侧距门20米处大力抽射直窜近角，2比0
