25'里昂球员拉卡泽特拼抢犯规,对手获得控球权.                   25'第25分钟，拉卡泽特射门偏出
25'维拉蒂为巴黎圣日耳曼赢得一个任意球.                   25'第25分钟，拉卡泽特射门偏出
27'里昂球员拉卡泽特拼抢犯规,对手获得控球权.                   25'第25分钟，拉卡泽特射门偏出
27'大卫-路易斯为巴黎圣日耳曼赢得一个任意球.                   25'第25分钟，拉卡泽特射门偏出
37'巴黎圣日耳曼球员卡巴耶大禁区外右脚射门,被防守球员封堵.                   37'卡瓦尼第37分钟有望扩大比分，安东尼-洛佩斯出击同伊布相撞，但前那不勒斯射手禁区右侧的射门偏出近角
37'巴黎圣日耳曼球员卡瓦尼大禁区右侧尝试右脚射门,可惜皮球高出右上角球门.给他传球的是卡巴耶.                   37'卡瓦尼第37分钟有望扩大比分，安东尼-洛佩斯出击同伊布相撞，但前那不勒斯射手禁区右侧的射门偏出近角
38'里昂A-洛佩斯受伤倒地,比赛暂停                   37'卡瓦尼第37分钟有望扩大比分，安东尼-洛佩斯出击同伊布相撞，但前那不勒斯射手禁区右侧的射门偏出近角
39'暂停结束,球员们重新开始比赛.                   37'卡瓦尼第37分钟有望扩大比分，安东尼-洛佩斯出击同伊布相撞，但前那不勒斯射手禁区右侧的射门偏出近角
40'里昂球员米奎尔-洛佩斯大禁区外左脚射门,被防守球员封堵.给他传球的是马尔布兰克.                   37'卡瓦尼第37分钟有望扩大比分，安东尼-洛佩斯出击同伊布相撞，但前那不勒斯射手禁区右侧的射门偏出近角
40'卡瓦尼将球处理出底线,里昂获得角球.                   37'卡瓦尼第37分钟有望扩大比分，安东尼-洛佩斯出击同伊布相撞，但前那不勒斯射手禁区右侧的射门偏出近角
40'里昂球员戈尼亚隆斯拼抢犯规,对手获得控球权.                   37'卡瓦尼第37分钟有望扩大比分，安东尼-洛佩斯出击同伊布相撞，但前那不勒斯射手禁区右侧的射门偏出近角
40'伊布为巴黎圣日耳曼赢得一个任意球.                   37'卡瓦尼第37分钟有望扩大比分，安东尼-洛佩斯出击同伊布相撞，但前那不勒斯射手禁区右侧的射门偏出近角
84'里昂球员拉卡泽特大禁区中央右脚射门,被防守球员封堵.                   84'里昂第84分钟扳平比分，法国U-21国脚乌姆蒂蒂角球混战中禁区边缘射门打在奥利尔身上偏转入网
84'进球啦！！！里昂球员乌木提提大禁区中央右脚射门,球从右下角飞进球门,球进了!助攻的是恩杰. 巴黎圣日耳曼 1-1 里昂.                   84'里昂第84分钟扳平比分，法国U-21国脚乌姆蒂蒂角球混战中禁区边缘射门打在奥利尔身上偏转入网
86'巴黎圣日耳曼球员小卢卡斯大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是帕斯托雷.                   84'里昂第84分钟扳平比分，法国U-21国脚乌姆蒂蒂角球混战中禁区边缘射门打在奥利尔身上偏转入网
87'里昂球员托希洛大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是恩杰.                   84'里昂第84分钟扳平比分，法国U-21国脚乌姆蒂蒂角球混战中禁区边缘射门打在奥利尔身上偏转入网
87'费里为里昂赢得一个任意球.                   84'里昂第84分钟扳平比分，法国U-21国脚乌姆蒂蒂角球混战中禁区边缘射门打在奥利尔身上偏转入网
87'巴黎圣日耳曼球员莫塔拼抢犯规,对手获得控球权.                   84'里昂第84分钟扳平比分，法国U-21国脚乌姆蒂蒂角球混战中禁区边缘射门打在奥利尔身上偏转入网
