7'费尔哈赫将球处理出底线,拜仁慕尼黑获得角球.                   7'开场7分钟，阿隆索开出角球，莱万前点头球一蹭，但球折射后导致穆勒没抢到点
7'拜仁慕尼黑球员莱万多夫斯基大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是阿隆索.                   7'开场7分钟，阿隆索开出角球，莱万前点头球一蹭，但球折射后导致穆勒没抢到点
8'费尔哈赫将球处理出底线,拜仁慕尼黑获得角球.                   7'开场7分钟，阿隆索开出角球，莱万前点头球一蹭，但球折射后导致穆勒没抢到点
37'拜尔为奥格斯堡赢得一个任意球.                   37'第37分钟，莱万禁区内巧妙控球转身，费尔哈赫解围险些自摆乌龙
37'拜仁慕尼黑球员莱万多夫斯基拼抢犯规,对手获得控球权.                   37'第37分钟，莱万禁区内巧妙控球转身，费尔哈赫解围险些自摆乌龙
51'射门!!!拜仁慕尼黑球员莱万多夫斯基大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是博阿滕.                   51'下半时开始6分钟，博阿滕中路直塞，莱万转身突破夹防，在门前13米处单刀推射被希茨封出
52'韦尔纳将球处理出底线,拜仁慕尼黑获得角球.                   51'下半时开始6分钟，博阿滕中路直塞，莱万转身突破夹防，在门前13米处单刀推射被希茨封出
52'拜仁慕尼黑球员蒂亚戈大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是穆勒.                   51'下半时开始6分钟，博阿滕中路直塞，莱万转身突破夹防，在门前13米处单刀推射被希茨封出
77'射门!!!拜仁慕尼黑球员穆勒大禁区左侧右脚射门,被对方守门员横身扑出.给他传球的是莱万多夫斯基.                   77'拜仁第77分钟终于追平，莱万中路连突两人捅到左侧，穆勒禁区左侧小角色推射造成希茨脱手，莱万在门前2米处凌空垫射入网，1比1
77'进球啦！！！拜仁慕尼黑球员莱万多夫斯基球门线跟前右脚射门,球从右下角飞进球门,球进了! 拜仁慕尼黑 1-1 奥格斯堡.                   77'拜仁第77分钟终于追平，莱万中路连突两人捅到左侧，穆勒禁区左侧小角色推射造成希茨脱手，莱万在门前2米处凌空垫射入网，1比1
80'具滋哲为奥格斯堡在右路,赢得一个任意球.                   77'拜仁第77分钟终于追平，莱万中路连突两人捅到左侧，穆勒禁区左侧小角色推射造成希茨脱手，莱万在门前2米处凌空垫射入网，1比1
80'拜仁慕尼黑球员蒂亚戈拼抢犯规,对手获得控球权.                   77'拜仁第77分钟终于追平，莱万中路连突两人捅到左侧，穆勒禁区左侧小角色推射造成希茨脱手，莱万在门前2米处凌空垫射入网，1比1
80'奥格斯堡球员科尔一脚直塞球给阿尔滕托普,但是边裁举旗显示后者已经越位.                   77'拜仁第77分钟终于追平，莱万中路连突两人捅到左侧，穆勒禁区左侧小角色推射造成希茨脱手，莱万在门前2米处凌空垫射入网，1比1
87'克拉万将球处理出底线,拜仁慕尼黑获得角球.                   87' 第87分钟，科斯塔右路切入禁区，左脚一扣撞到福伊尔纳身上倒地，主裁判没有中断比赛，但在助理裁判提示下吹点球
88'奥格斯堡球员福伊尔纳犯规,致使对方获得点球.                   87' 第87分钟，科斯塔右路切入禁区，左脚一扣撞到福伊尔纳身上倒地，主裁判没有中断比赛，但在助理裁判提示下吹点球
88'点球,道格拉斯-科斯塔在禁区内被侵犯,拜仁慕尼黑获得点球.                   87' 第87分钟，科斯塔右路切入禁区，左脚一扣撞到福伊尔纳身上倒地，主裁判没有中断比赛，但在助理裁判提示下吹点球
89'奥格斯堡球员费尔哈赫被主裁判出示了一张黄牌.                   87' 第87分钟，科斯塔右路切入禁区，左脚一扣撞到福伊尔纳身上倒地，主裁判没有中断比赛，但在助理裁判提示下吹点球
90'进球啦！！！拜仁慕尼黑球员穆勒右脚射门,球从左下角飞进球门,球进了! 拜仁慕尼黑 2-1 奥格斯堡.                   87' 第87分钟，科斯塔右路切入禁区，左脚一扣撞到福伊尔纳身上倒地，主裁判没有中断比赛，但在助理裁判提示下吹点球
90'+1'拜仁慕尼黑换人,贝尔纳特换下穆勒                   87' 第87分钟，科斯塔右路切入禁区，左脚一扣撞到福伊尔纳身上倒地，主裁判没有中断比赛，但在助理裁判提示下吹点球
90'+1'奥格斯堡换人,马塔夫兹换下科尔                   87' 第87分钟，科斯塔右路切入禁区，左脚一扣撞到福伊尔纳身上倒地，主裁判没有中断比赛，但在助理裁判提示下吹点球
90'+1'奥格斯堡球员费尔哈赫一脚直塞球给博瓦迪利亚,但是边裁举旗显示后者已经越位.                   87' 第87分钟，科斯塔右路切入禁区，左脚一扣撞到福伊尔纳身上倒地，主裁判没有中断比赛，但在助理裁判提示下吹点球
90'+2'拜仁慕尼黑换人,基米希换下拉姆                   87' 第87分钟，科斯塔右路切入禁区，左脚一扣撞到福伊尔纳身上倒地，主裁判没有中断比赛，但在助理裁判提示下吹点球
