1'上半场比赛开始                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
1'鲁能泰山队率先开球                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
1'鲁能泰山队右路攻到前场，斜传禁区，宗磊没收                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
2'天津泰达队右路攻到前场，斜传禁区，被尤西雷挡出来                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
2'前场天津泰达队得球再传禁区，跟上队员打门，王大雷没收                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
2'塔尔德利左路突破横传禁区，阿洛伊西奥头球顶门，宗磊没收！                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
3'阿洛伊西奥竖起了大拇指，示意塔尔德利传得好                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
3'鲁能泰山队员缠着黑纱，对王大雷奶奶去逝表示哀悼                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
3'郑铮边路强突，被对方放倒                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
4'任意球发到禁区内，宗磊把球没收                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
4'巴尔克斯前场断球，直传禁区，直接出底线                   1'比赛开场仅1分钟，天津泰达边路传入禁区，周海滨凌空抽射，球被王大雷没收
8'王彤右路传中，杨旭跳起来干扰了防守队员，后点塔尔德利一脚劲射破门！                   8'第8分钟，山东鲁能率先打破僵局
8'塔尔德利打门打得很巧！！                   8'第8分钟，山东鲁能率先打破僵局
9'塔尔德利中场拿球，回传，再走右路进攻                   8'第8分钟，山东鲁能率先打破僵局
10'鲁能泰山队中场得球长传，丢啦，有些盲目                   8'第8分钟，山东鲁能率先打破僵局
10'天津泰达队右路突破进攻，乌索把球铲出边线                   8'第8分钟，山东鲁能率先打破僵局
10'天津泰达队传禁区，尤西雷把球破坏，天津泰达队得到角球机会                   8'第8分钟，山东鲁能率先打破僵局
11'角球发到禁区内，对方顶出来，乌索再头球解围                   8'第8分钟，山东鲁能率先打破僵局
11'界外球发出来，天津泰达队传球到禁区内，尤西雷把球破坏                   8'第8分钟，山东鲁能率先打破僵局
11'阿洛伊西奥右路带球攻到中场，对方抢球出边线                   8'第8分钟，山东鲁能率先打破僵局
12'巴尔克斯右路带球突破，快到大禁区线，戴琳铲球犯规！                   12'第12分钟，戴琳铲巴尔克斯犯规，被黄牌警告
12'主裁判给戴琳出示了黄牌！！                   12'第12分钟，戴琳铲巴尔克斯犯规，被黄牌警告
12'不过这个犯规在大禁区线外                   12'第12分钟，戴琳铲巴尔克斯犯规，被黄牌警告
13'天津泰达队前场右翼任意球机会                   12'第12分钟，戴琳铲巴尔克斯犯规，被黄牌警告
13'战术任意球发出来，打门被挡出来                   12'第12分钟，戴琳铲巴尔克斯犯规，被黄牌警告
13'阿洛伊西奥后场断球，开出边线                   12'第12分钟，戴琳铲巴尔克斯犯规，被黄牌警告
14'中后场天津泰达队断球，左路快速反击                   12'第12分钟，戴琳铲巴尔克斯犯规，被黄牌警告
14'塔尔德利左路想人球分过，对方把球拦截                   12'第12分钟，戴琳铲巴尔克斯犯规，被黄牌警告
14'天津泰达队右路进攻，形成五打五，下底横传，皮球滑门而过到了另一侧                   12'第12分钟，戴琳铲巴尔克斯犯规，被黄牌警告
