5'李微发角球到禁区内前点，安塔尔把球开出边线                   5'比赛在大雨中开始，武汉卓尔队开场5分钟连续获得4次角球，但是均未能形成威胁
5'界外球发出来，梅方下底传中，被刘金东挡出底线                   5'比赛在大雨中开始，武汉卓尔队开场5分钟连续获得4次角球，但是均未能形成威胁
5'武汉卓尔队第四个角球！继续由李微来罚！                   5'比赛在大雨中开始，武汉卓尔队开场5分钟连续获得4次角球，但是均未能形成威胁
6'李微发角球到禁区内！鲁能泰山队得球快速反击                   5'比赛在大雨中开始，武汉卓尔队开场5分钟连续获得4次角球，但是均未能形成威胁
6'杨旭带球到前场！两个边线都有人！杨旭选择了自己打门，被挡出                   5'比赛在大雨中开始，武汉卓尔队开场5分钟连续获得4次角球，但是均未能形成威胁
6'地上还有不少的积水！对比赛来说增加了难度                   5'比赛在大雨中开始，武汉卓尔队开场5分钟连续获得4次角球，但是均未能形成威胁
7'武汉卓尔队直传球，已经有队员插上！对方三人防守，把球破坏                   5'比赛在大雨中开始，武汉卓尔队开场5分钟连续获得4次角球，但是均未能形成威胁
7'界外球发出来，武汉卓尔队左路横传，鲁能泰山队把球解围                   5'比赛在大雨中开始，武汉卓尔队开场5分钟连续获得4次角球，但是均未能形成威胁
7'鲁能泰山队进球了！！！吕征！1-0                   5'比赛在大雨中开始，武汉卓尔队开场5分钟连续获得4次角球，但是均未能形成威胁
8'中场鲁能泰山队直传，吕征带球高速突破到禁区内，大力斜射破门得分！                   5'比赛在大雨中开始，武汉卓尔队开场5分钟连续获得4次角球，但是均未能形成威胁
7'武汉卓尔队直传球，已经有队员插上！对方三人防守，把球破坏                   7'第7分钟，山东鲁能就打破僵局，吕征中场断球一路杀到禁区，面对邱添一的防守并没有犹豫，突入禁区右侧后直接打门，球从近角飞进了球门，1-0
7'界外球发出来，武汉卓尔队左路横传，鲁能泰山队把球解围                   7'第7分钟，山东鲁能就打破僵局，吕征中场断球一路杀到禁区，面对邱添一的防守并没有犹豫，突入禁区右侧后直接打门，球从近角飞进了球门，1-0
7'鲁能泰山队进球了！！！吕征！1-0                   7'第7分钟，山东鲁能就打破僵局，吕征中场断球一路杀到禁区，面对邱添一的防守并没有犹豫，突入禁区右侧后直接打门，球从近角飞进了球门，1-0
