1'上半场比赛开始！！                   1'曼城第1分钟围攻伯恩利
1'曼城先开球！拉波尔特挑传球向前给                   1'曼城第1分钟围攻伯恩利
1'京多安得球，低平球给禁区里                   1'曼城第1分钟围攻伯恩利
1'球被解围出去！巴恩斯中路得球                   1'曼城第1分钟围攻伯恩利
1'很右侧亨德里克，球被解围出去边线                   1'曼城第1分钟围攻伯恩利
2'塔可夫斯基后场控制球，长传球被孔帕尼碰出边线                   1'曼城第1分钟围攻伯恩利
4'界外球扔出来，大卫席尔瓦抢断                   1'曼城第1分钟围攻伯恩利
4'长传球被拦截下来，本杰明米得球                   1'曼城第1分钟围攻伯恩利
4'长传球也向前开，拉波尔特后场拦截下来                   1'曼城第1分钟围攻伯恩利
23'阿圭罗前场停球失误，伯恩利反击                   23'第23分钟，沃克尔打滑摔倒，科克直传，克里斯-伍德停球稍大错过单刀，埃德森及时出击抢先没收皮球
23'巴恩斯带球向前，和出击埃德森撞在一起                   23'第23分钟，沃克尔打滑摔倒，科克直传，克里斯-伍德停球稍大错过单刀，埃德森及时出击抢先没收皮球
23'埃德森化解了巴恩斯的单刀啊                   23'第23分钟，沃克尔打滑摔倒，科克直传，克里斯-伍德停球稍大错过单刀，埃德森及时出击抢先没收皮球
25'比赛继续！！津琴科后场带球向前                   23'第23分钟，沃克尔打滑摔倒，科克直传，克里斯-伍德停球稍大错过单刀，埃德森及时出击抢先没收皮球
25'回给拉波尔特，再分前场左侧萨内                   23'第23分钟，沃克尔打滑摔倒，科克直传，克里斯-伍德停球稍大错过单刀，埃德森及时出击抢先没收皮球
26'球被破坏出去边线！                   23'第23分钟，沃克尔打滑摔倒，科克直传，克里斯-伍德停球稍大错过单刀，埃德森及时出击抢先没收皮球
26'界外球扔出来，津琴科接球再次失误                   23'第23分钟，沃克尔打滑摔倒，科克直传，克里斯-伍德停球稍大错过单刀，埃德森及时出击抢先没收皮球
26'伯恩利后场控制球，萨内反抢下来                   23'第23分钟，沃克尔打滑摔倒，科克直传，克里斯-伍德停球稍大错过单刀，埃德森及时出击抢先没收皮球
