4'拉梅拉角球开出到后点，第一点被切尔西球员头球解围                   4'第4分钟，齐里切斯右路传中，维尔通亨8码处头球攻门高出
4'凯恩左路拿球强突伊万，底线内切时被伊万放铲带倒                   4'第4分钟，齐里切斯右路传中，维尔通亨8码处头球攻门高出
4'热刺获得大禁区外，靠近底线位置的任意球机会                   4'第4分钟，齐里切斯右路传中，维尔通亨8码处头球攻门高出
4'拉梅拉任意球搓传后点，可惜没人啊                   4'第4分钟，齐里切斯右路传中，维尔通亨8码处头球攻门高出
5'球到了禁区，齐里切的斜传球，维尔通亨头球，顶高                   4'第4分钟，齐里切斯右路传中，维尔通亨8码处头球攻门高出
5'维尔通亨争顶和卡希尔头撞头，双方都有点受伤啊                   4'第4分钟，齐里切斯右路传中，维尔通亨8码处头球攻门高出
6'卡希尔半天没起来，维尔通亨蹲在地上，捂着脑袋，估计有点晕吧                   4'第4分钟，齐里切斯右路传中，维尔通亨8码处头球攻门高出
6'卡希尔在美女队医的陪伴下，出场接受处理，比赛继续                   4'第4分钟，齐里切斯右路传中，维尔通亨8码处头球攻门高出
7'热刺左路的直塞球找凯恩，回来的卡希尔，滑铲将球解围出边线                   4'第4分钟，齐里切斯右路传中，维尔通亨8码处头球攻门高出
7'哎呀，横梁啊                   4'第4分钟，齐里切斯右路传中，维尔通亨8码处头球攻门高出
11'德罗巴接到阿斯皮利奎塔的界外球，转身强突时被戴维斯伸脚将球解围出边线                   11'第11分钟，哈里-凯恩强突卡希尔后禁区左侧小角度射门滑门而过
11'切尔西左路的传中到禁区，洛里斯出击直接将球拿到                   11'第11分钟，哈里-凯恩强突卡希尔后禁区左侧小角度射门滑门而过
11'凯恩，左路强突，底线内切后面对卡希尔的拦截                   11'第11分钟，哈里-凯恩强突卡希尔后禁区左侧小角度射门滑门而过
12'直接一次小角度的斜射，滑门而过，出了右侧底线                   11'第11分钟，哈里-凯恩强突卡希尔后禁区左侧小角度射门滑门而过
12'这球卡希尔根本没跟住啊，难道刚被维尔通亨撞的还没清醒？                   11'第11分钟，哈里-凯恩强突卡希尔后禁区左侧小角度射门滑门而过
13'伊万右路拿球，马松的上抢，将球捅出了边线                   11'第11分钟，哈里-凯恩强突卡希尔后禁区左侧小角度射门滑门而过
13'拉梅拉中场拿球，短传交给凯恩                   11'第11分钟，哈里-凯恩强突卡希尔后禁区左侧小角度射门滑门而过
13'凯恩停球，趟了两步，再给跟进的拉梅拉                   11'第11分钟，哈里-凯恩强突卡希尔后禁区左侧小角度射门滑门而过
14'拉梅拉外围直接尝试远射，打在切尔西球员身上弹回                   11'第11分钟，哈里-凯恩强突卡希尔后禁区左侧小角度射门滑门而过
14'与热刺的伦敦德比前，切尔西门将切赫在场边与球迷自拍，切赫本场继续替补                   11'第11分钟，哈里-凯恩强突卡希尔后禁区左侧小角度射门滑门而过
49'切尔西左路的进攻，奥斯卡脚后跟过度球找阿扎尔                   49']切尔西4分钟内连入2球取得领先，第19分钟，阿扎尔同德罗巴踢墙配合后小禁区左上角外劲射破门
49'齐里切转身回防，身后拉着阿扎尔的球衣不放啊                   49']切尔西4分钟内连入2球取得领先，第19分钟，阿扎尔同德罗巴踢墙配合后小禁区左上角外劲射破门
49'齐里切被主裁判出示了黄牌警告！！！                   49']切尔西4分钟内连入2球取得领先，第19分钟，阿扎尔同德罗巴踢墙配合后小禁区左上角外劲射破门
50'切尔西前场传球失误，热刺的反击                   49']切尔西4分钟内连入2球取得领先，第19分钟，阿扎尔同德罗巴踢墙配合后小禁区左上角外劲射破门
50'凯恩拿球强突，马蒂奇回防拉倒了凯恩，战术犯规                   49']切尔西4分钟内连入2球取得领先，第19分钟，阿扎尔同德罗巴踢墙配合后小禁区左上角外劲射破门
50'马蒂奇被主裁判出示了黄牌警告！！！                   49']切尔西4分钟内连入2球取得领先，第19分钟，阿扎尔同德罗巴踢墙配合后小禁区左上角外劲射破门
50'热刺前场进攻，埃里克森禁区外的远射，打飞                   49']切尔西4分钟内连入2球取得领先，第19分钟，阿扎尔同德罗巴踢墙配合后小禁区左上角外劲射破门
51'小法后场拿球，凯恩原地反抢，抢断小法                   49']切尔西4分钟内连入2球取得领先，第19分钟，阿扎尔同德罗巴踢墙配合后小禁区左上角外劲射破门
51'凯恩拿球反击，禁区线上分给左侧上来的列侬                   49']切尔西4分钟内连入2球取得领先，第19分钟，阿扎尔同德罗巴踢墙配合后小禁区左上角外劲射破门
52'列侬面对防守，右脚一扣，结果力量太大了，被特里伸脚一挡，回防的马蒂奇控制                   49']切尔西4分钟内连入2球取得领先，第19分钟，阿扎尔同德罗巴踢墙配合后小禁区左上角外劲射破门
22'2-0！！！                   22'第22分钟，洛里斯开球被阿扎尔断下，奥斯卡直传，德罗巴抢在维尔通亨之前12码处劲射破门，2-0
22'[此时此刻值得来杯嘉士伯]                   22'第22分钟，洛里斯开球被阿扎尔断下，奥斯卡直传，德罗巴抢在维尔通亨之前12码处劲射破门，2-0
22'德罗巴的劲射，扩大战果！！！                   22'第22分钟，洛里斯开球被阿扎尔断下，奥斯卡直传，德罗巴抢在维尔通亨之前12码处劲射破门，2-0
22'开场22分钟，德罗巴一传一射啊                   22'第22分钟，洛里斯开球被阿扎尔断下，奥斯卡直传，德罗巴抢在维尔通亨之前12码处劲射破门，2-0
23'洛里斯开球直接开给了切尔西球员，奥斯卡禁区外拿球，一脚直塞交给前插的德罗巴，德罗巴拿球面对维尔通亨的回防，小禁区右侧的抽射打进！！！                   22'第22分钟，洛里斯开球被阿扎尔断下，奥斯卡直传，德罗巴抢在维尔通亨之前12码处劲射破门，2-0
24'热刺在开场15分钟的强势表现之后，短短7分钟内，已经连丢2球啦                   22'第22分钟，洛里斯开球被阿扎尔断下，奥斯卡直传，德罗巴抢在维尔通亨之前12码处劲射破门，2-0
25'小法中场的斜传转移找右侧前插的伊万，戴维斯补防将球解围出边线                   22'第22分钟，洛里斯开球被阿扎尔断下，奥斯卡直传，德罗巴抢在维尔通亨之前12码处劲射破门，2-0
25'马蒂奇前场中路拿球，横传阿斯皮利奎塔                   22'第22分钟，洛里斯开球被阿扎尔断下，奥斯卡直传，德罗巴抢在维尔通亨之前12码处劲射破门，2-0
25'阿斯皮利奎塔再给阿扎尔，阿扎尔面对列侬，转身回传马蒂奇                   22'第22分钟，洛里斯开球被阿扎尔断下，奥斯卡直传，德罗巴抢在维尔通亨之前12码处劲射破门，2-0
37'切尔西获得前场中路的任意球机会                   37'第37分钟，德罗巴30码处任意球直接射门高出
37'奥斯卡和德罗巴站在球前，魔兽来罚？                   37'第37分钟，德罗巴30码处任意球直接射门高出
37'德罗巴的任意球攻门，直接踢向了看台                   37'第37分钟，德罗巴30码处任意球直接射门高出
39'切尔西右路的斜传球到禁区，德罗巴头球摆渡                   37'第37分钟，德罗巴30码处任意球直接射门高出
39'边裁举旗了，德罗巴的越位在先                   37'第37分钟，德罗巴30码处任意球直接射门高出
40'不过慢镜头回放显示，吹罚德罗巴的越位有点牵强啊                   37'第37分钟，德罗巴30码处任意球直接射门高出
40'上半场比赛40分钟，比分2-0，切尔西领先                   37'第37分钟，德罗巴30码处任意球直接射门高出
67'切尔西换人：完成一传一射的德罗巴被换下，换上雷米                   67'第67分钟，雷米换下德罗巴
67'切尔西要发动反击战了，雷米绝对的反击高手                   67'第67分钟，雷米换下德罗巴
68'拉梅拉右路拿球，内切后再分边右侧给前插的齐里切                   67'第67分钟，雷米换下德罗巴
68'齐里切下底传中到后点，无人啊                   67'第67分钟，雷米换下德罗巴
69'本特莱布中场拿球，左脚斜传想给凯恩，被特里伸脚破坏                   67'第67分钟，雷米换下德罗巴
70'埃里克森中场差点抢断，可惜球没拿好，碰出了边线                   67'第67分钟，雷米换下德罗巴
70'威廉中场失误，埃里克森抢断，直塞给到凯恩                   67'第67分钟，雷米换下德罗巴
