1'射门!!!亚眠球员科内特大禁区中央右脚射门,被对方守门员横身扑出.                   1'开场不到1分钟，科尔内特反抢后在禁区右侧劲射，阿雷奥拉倒地将球扑住
1'亚眠球员遵古拼抢犯规,对手获得控球权.                   1'开场不到1分钟，科尔内特反抢后在禁区右侧劲射，阿雷奥拉倒地将球扑住
1'金彭贝为巴黎圣日耳曼赢得一个任意球.                   1'开场不到1分钟，科尔内特反抢后在禁区右侧劲射，阿雷奥拉倒地将球扑住
2'亚眠球员科纳特拼抢犯规,对手获得控球权.                   1'开场不到1分钟，科尔内特反抢后在禁区右侧劲射，阿雷奥拉倒地将球扑住
2'金彭贝为巴黎圣日耳曼赢得一个任意球.                   1'开场不到1分钟，科尔内特反抢后在禁区右侧劲射，阿雷奥拉倒地将球扑住
22'巴黎圣日耳曼球员迪马利亚大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是卡瓦尼.                   22'第22分钟，迪马利亚和卡瓦尼在前场连续配合，卡瓦尼挑传禁区，迪马利亚插上射门将球打偏
23'蒙科杜伊特将球处理出底线,巴黎圣日耳曼获得角球.                   22'第22分钟，迪马利亚和卡瓦尼在前场连续配合，卡瓦尼挑传禁区，迪马利亚插上射门将球打偏
24'科纳特为亚眠赢得一个任意球.                   22'第22分钟，迪马利亚和卡瓦尼在前场连续配合，卡瓦尼挑传禁区，迪马利亚插上射门将球打偏
24'巴黎圣日耳曼球员穆尼耶拼抢犯规,对手获得控球权.                   22'第22分钟，迪马利亚和卡瓦尼在前场连续配合，卡瓦尼挑传禁区，迪马利亚插上射门将球打偏
34'射门!!!巴黎圣日耳曼球员恩昆库大禁区外右脚射门,被对方守门员横身扑出.给他传球的是帕斯托雷.                   34'第34分钟，恩昆库禁区外远射，球被门将居尔特内飞身扑出，迪马利亚跟上补射被挡出
34'巴黎圣日耳曼球员迪马利亚大禁区右侧右脚射门,被防守球员封堵.                   34'第34分钟，恩昆库禁区外远射，球被门将居尔特内飞身扑出，迪马利亚跟上补射被挡出
34'埃夫勒将球处理出底线,巴黎圣日耳曼获得角球.                   34'第34分钟，恩昆库禁区外远射，球被门将居尔特内飞身扑出，迪马利亚跟上补射被挡出
36'蒙科杜伊特为亚眠在对方半场,赢得一个任意球.                   34'第34分钟，恩昆库禁区外远射，球被门将居尔特内飞身扑出，迪马利亚跟上补射被挡出
36'巴黎圣日耳曼球员卡瓦尼拼抢犯规,对手获得控球权.                   34'第34分钟，恩昆库禁区外远射，球被门将居尔特内飞身扑出，迪马利亚跟上补射被挡出
