1'比赛开始了，拜仁开球                   1'第1分钟马竞攻势占优
1'拜仁从右侧向左侧进攻，马竞从左侧向右侧进攻                   1'第1分钟马竞攻势占优
1'后场阿拉巴长传找前场莱万                   1'第1分钟马竞攻势占优
1'科曼头球到边线，莱万争得一个界外球                   1'第1分钟马竞攻势占优
2'中场阿隆索拿球，回敲给到马丁内斯，马竞的逼抢很紧凑                   1'第1分钟马竞攻势占优
2'阿拉巴给到贝尔纳特，往前推进                   1'第1分钟马竞攻势占优
3'马竞开场就摆出防守阵势啊                   1'第1分钟马竞攻势占优
3'右路比达尔和科曼的配合，菲利佩一个上抢，科曼倒地                   1'第1分钟马竞攻势占优
3'裁判没有吹，比赛继续                   1'第1分钟马竞攻势占优
4'科克左侧推进，比达尔回防犯规                   1'第1分钟马竞攻势占优
4'快开定位球长传到另外一侧                   1'第1分钟马竞攻势占优
4'右路马竞下底，勉强传中，被马丁内斯解围出来                   1'第1分钟马竞攻势占优
4'外围萨乌尔尝试一记远射，被诺伊尔轻松没收                   1'第1分钟马竞攻势占优
11'马竞破门了                   11'马竞第11分钟取得领先
11'萨乌尔，打入一记非常精彩的进球                   11'马竞第11分钟取得领先
12'萨乌尔中场偏右的位置拿球，自己强突先过掉两人，阿隆索补防铲抢未果，杀入禁区的萨乌尔面对阿拉巴往中路一拨，晃开角度推射远角，击中门柱弹入网窝                   11'马竞第11分钟取得领先
13'瓜帅在场边不断鼓励队员                   11'马竞第11分钟取得领先
13'左侧科斯塔一记传中，好险啊，差点进球                   11'马竞第11分钟取得领先
14'禁区内马竞解围的失误，给了比达尔机会，比达尔的头球攻门被吉梅内斯在门线前顶出底线                   11'马竞第11分钟取得领先
14'左侧角球开出，第一点被萨维奇顶出来                   11'马竞第11分钟取得领先
14'外围右侧拉姆在送入禁区内                   11'马竞第11分钟取得领先
54'跑动距离上，马竞多出将近4公里了                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
54'控球率上，马竞31%，拜仁高达69%                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
54'蒂亚戈左侧转移给到中路马丁内斯                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
54'马丁内斯压过半场，在给阿拉巴                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
55'阿拉巴中路拿球，马竞逼抢不紧。将近40米的区域，阿拉巴直接打门了                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
55'阿拉巴这脚非常突然，球是重重击在横梁上，弹回场内                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
56'阿拉巴这脚惊艳啊，大家都以为他会转移，没想到轰出世界波                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
56'吉梅内斯补防到右路，把球破坏出边线                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
57'科斯塔左路得球，在传，变成角球                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
57'科斯塔左路角球开出，送到禁区中央，落点不错                   54'拜仁第54分钟几乎扳平，马丁内斯横传，阿拉巴骗过后卫，在门前28米处左脚重炮击中横梁下沿弹回场内
