66'维尔通亨将球处理出底线,西汉姆联获得角球.                   66'热刺迟迟未能打开局面，西汉姆却在第66分钟打破僵局后13分钟内连入3球
66'西汉姆联球员雷德球门线跟前头球,被防守球员封堵.给他传球的是唐宁.                   66'热刺迟迟未能打开局面，西汉姆却在第66分钟打破僵局后13分钟内连入3球
66'进球啦！！！西汉姆联球员雷德球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是诺兰. 热刺 0-1 西汉姆联.                   66'热刺迟迟未能打开局面，西汉姆却在第66分钟打破僵局后13分钟内连入3球
68'西汉姆联球员汤姆金斯拼抢犯规,对手获得控球权.                   66'热刺迟迟未能打开局面，西汉姆却在第66分钟打破僵局后13分钟内连入3球
68'迪福为热刺在对方半场,赢得一个任意球.                   66'热刺迟迟未能打开局面，西汉姆却在第66分钟打破僵局后13分钟内连入3球
72'射门!!!西汉姆联球员瓦斯特大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是诺布尔.                   72'第72分钟，诺布尔送出直传，瓦兹特10码处单刀推射被洛里斯挡回，皮球又打在葡萄牙人膝盖上反弹入热刺大门
72'进球啦！！！西汉姆联球员瓦斯特大禁区中央右脚射门,球从中路飞进球门,球进了! 热刺 0-2 西汉姆联.                   72'第72分钟，诺布尔送出直传，瓦兹特10码处单刀推射被洛里斯挡回，皮球又打在葡萄牙人膝盖上反弹入热刺大门
74'热刺换人,索尔达多换下埃里克森                   72'第72分钟，诺布尔送出直传，瓦兹特10码处单刀推射被洛里斯挡回，皮球又打在葡萄牙人膝盖上反弹入热刺大门
75'道森将球处理出底线,西汉姆联获得角球.                   72'第72分钟，诺布尔送出直传，瓦兹特10码处单刀推射被洛里斯挡回，皮球又打在葡萄牙人膝盖上反弹入热刺大门
75'R-莫里森为西汉姆联在对方半场,赢得一个任意球.                   72'第72分钟，诺布尔送出直传，瓦兹特10码处单刀推射被洛里斯挡回，皮球又打在葡萄牙人膝盖上反弹入热刺大门
75'热刺球员保利尼奥拼抢犯规,对手获得控球权.                   72'第72分钟，诺布尔送出直传，瓦兹特10码处单刀推射被洛里斯挡回，皮球又打在葡萄牙人膝盖上反弹入热刺大门
79'进球啦！！！西汉姆联球员R-莫里森大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是迪亚姆. 热刺 0-3 西汉姆联.                   79'第79分钟，迪亚梅反击中直传，中线拿球的前曼联中场莫里森晃过道森后禁区内轻巧挑射破门，3-0
80'西汉姆联换人,柯林斯换下迪亚姆                   79'第79分钟，迪亚梅反击中直传，中线拿球的前曼联中场莫里森晃过道森后禁区内轻巧挑射破门，3-0
81'热刺换人,霍尔特比换下诺顿                   79'第79分钟，迪亚梅反击中直传，中线拿球的前曼联中场莫里森晃过道森后禁区内轻巧挑射破门，3-0
82'热刺球员汤森德大禁区中央右脚射门,被防守球员封堵.给他传球的是维尔通亨.                   79'第79分钟，迪亚梅反击中直传，中线拿球的前曼联中场莫里森晃过道森后禁区内轻巧挑射破门，3-0
49'西汉姆联球员雷德拼抢犯规,对手获得控球权.                   49'”当第四官员举牌补时4分钟时，西汉姆主帅阿勒代斯也上前质疑时间太少
49'保利尼奥为热刺在右路,赢得一个任意球.                   49'”当第四官员举牌补时4分钟时，西汉姆主帅阿勒代斯也上前质疑时间太少
51'汤姆金斯将球处理出底线,热刺获得角球.                   49'”当第四官员举牌补时4分钟时，西汉姆主帅阿勒代斯也上前质疑时间太少
52'诺兰将球处理出底线,热刺获得角球.                   49'”当第四官员举牌补时4分钟时，西汉姆主帅阿勒代斯也上前质疑时间太少
