7'自己的控球回传，席尔瓦送直线球给大了                   7'第7分钟，纳乔长传被曼加拉头球解围，穆萨25码处劲射偏出
7'A别列祖茨基长传，曼加拉头球没有顶远，穆萨直接大力远射，球稍稍高出横梁                   7'第7分钟，纳乔长传被曼加拉头球解围，穆萨25码处劲射偏出
8'亚亚图雷转移到左路空档科拉罗夫                   7'第7分钟，纳乔长传被曼加拉头球解围，穆萨25码处劲射偏出
8'科拉罗夫回传给费尔南多                   7'第7分钟，纳乔长传被曼加拉头球解围，穆萨25码处劲射偏出
8'中央陆军回收很快                   7'第7分钟，纳乔长传被曼加拉头球解围，穆萨25码处劲射偏出
9'科拉罗夫左路横传，阿圭罗脚后跟传球，席尔瓦后插上得球横扫门前被V别列祖茨基大脚解围                   7'第7分钟，纳乔长传被曼加拉头球解围，穆萨25码处劲射偏出
9'中央陆军反击机会，托希奇拿球调整一下左脚直接打了，只是偏出一点点                   7'第7分钟，纳乔长传被曼加拉头球解围，穆萨25码处劲射偏出
10'席尔瓦右路一顺，给得太深了，阿金费耶夫的世界                   7'第7分钟，纳乔长传被曼加拉头球解围，穆萨25码处劲射偏出
10'纳乔长传左路伊格纳舍维奇，伊格纳舍维奇回传后防线                   7'第7分钟，纳乔长传被曼加拉头球解围，穆萨25码处劲射偏出
12'科拉罗夫左路传中，哲科头球攻门顶高了                   12'第12分钟，科拉罗夫左路传中，哲科头球攻门偏出
13'阿圭罗左路推进到前场，交给席尔瓦                   12'第12分钟，科拉罗夫左路传中，哲科头球攻门偏出
13'席尔瓦硬突没有成功，后点亚亚图雷得球                   12'第12分钟，科拉罗夫左路传中，哲科头球攻门偏出
13'亚亚图雷斜向搓一记过顶，萨巴莱塔胸部停球下来左脚打近角贴着立柱外侧出底线                   12'第12分钟，科拉罗夫左路传中，哲科头球攻门偏出
15'曼城控制着局面，就看能否打破僵局                   12'第12分钟，科拉罗夫左路传中，哲科头球攻门偏出
15'费尔南德斯右路直传，纳乔斜塞                   12'第12分钟，科拉罗夫左路传中，哲科头球攻门偏出
21'托希奇禁区前沿与穆萨做配合，趟过去了，孔帕尼长腿脚伸将球捅走                   21'第21分钟，亚亚-图雷传球，米尔纳禁区左侧的射门偏出近角
21'纳乔中路左脚打门被费尔南多封堵                   21'第21分钟，亚亚-图雷传球，米尔纳禁区左侧的射门偏出近角
21'这段时间中央陆军打出一段小高潮                   21'第21分钟，亚亚-图雷传球，米尔纳禁区左侧的射门偏出近角
21'托希奇右路得球内切，回传经纳乔再组织                   21'第21分钟，亚亚-图雷传球，米尔纳禁区左侧的射门偏出近角
22'纳乔中路带示送直塞，穆萨停球后连接有点拖踏，曼加拉补防过来将球踢出底线                   21'第21分钟，亚亚-图雷传球，米尔纳禁区左侧的射门偏出近角
22'米拉诺夫角球发后点，乔哈特将球摘下                   21'第21分钟，亚亚-图雷传球，米尔纳禁区左侧的射门偏出近角
23'曼城是中场失势，米拉诺夫突进被亚亚图雷撞倒                   21'第21分钟，亚亚-图雷传球，米尔纳禁区左侧的射门偏出近角
29'哲科反越位成功，单刀了，选择横传，阿圭罗将球推射入网！                   29'曼城第29分钟取得领先，席尔瓦直传，反越位成功的哲科面对单刀机会无私横传，阿圭罗打入空门
30'席尔瓦中圈前一点拿球送出过顶传球，中央陆军的2号费尔南德斯拖到后面被哲科反越位成功形成单刀，面对门将的哲科选择了轻轻横拔，阿圭罗跟进推射空门命中                   29'曼城第29分钟取得领先，席尔瓦直传，反越位成功的哲科面对单刀机会无私横传，阿圭罗打入空门
30'3位巨星之间的配合打破了僵局                   29'曼城第29分钟取得领先，席尔瓦直传，反越位成功的哲科面对单刀机会无私横传，阿圭罗打入空门
31'孔帕尼带球到中线附近交给科拉罗夫                   29'曼城第29分钟取得领先，席尔瓦直传，反越位成功的哲科面对单刀机会无私横传，阿圭罗打入空门
31'费尔南多过渡一下交给席尔瓦                   29'曼城第29分钟取得领先，席尔瓦直传，反越位成功的哲科面对单刀机会无私横传，阿圭罗打入空门
31'席尔瓦回传给孔帕尼                   29'曼城第29分钟取得领先，席尔瓦直传，反越位成功的哲科面对单刀机会无私横传，阿圭罗打入空门
31'席尔瓦与哲科做撞墙式配合后传中过不了A别列祖茨基的头顶                   29'曼城第29分钟取得领先，席尔瓦直传，反越位成功的哲科面对单刀机会无私横传，阿圭罗打入空门
32'曼城右路连续的配合，席尔瓦回传被伊格纳舍维奇伸脚挡出底线                   29'曼城第29分钟取得领先，席尔瓦直传，反越位成功的哲科面对单刀机会无私横传，阿圭罗打入空门
32'曼城获得一个前场右路的角球机会                   29'曼城第29分钟取得领先，席尔瓦直传，反越位成功的哲科面对单刀机会无私横传，阿圭罗打入空门
32'席尔瓦角球传中被伊格纳舍维奇头球解围                   29'曼城第29分钟取得领先，席尔瓦直传，反越位成功的哲科面对单刀机会无私横传，阿圭罗打入空门
35'费尔南多送过顶长传，申尼科夫头球点下来                   35'第35分钟，米尔纳前场拦截，哲科禁区弧内劲射被阿金费耶夫扑出
35'哲科抢第二点，手球了                   35'第35分钟，米尔纳前场拦截，哲科禁区弧内劲射被阿金费耶夫扑出
35'哲科前场断球，推进了弧顶前右脚推射，阿金费耶夫向左倒地将球扑出                   35'第35分钟，米尔纳前场拦截，哲科禁区弧内劲射被阿金费耶夫扑出
35'费尔南德斯右路助攻上来，阿圭罗阻挡犯规                   35'第35分钟，米尔纳前场拦截，哲科禁区弧内劲射被阿金费耶夫扑出
38'米尔纳打进第二球                   35'第35分钟，米尔纳前场拦截，哲科禁区弧内劲射被阿金费耶夫扑出
39'亚亚图雷斜向搓传禁区右侧，萨巴莱塔插上头球回点，阿圭罗右脚打向门前力量稍欠，米尔纳铲射将球打进球门                   39'第39分钟，科拉罗夫左路传中，哲科小禁区边缘抢点被绊倒，米尔纳远点小角度射门击中右侧立柱弹出底线
39'米拉诺夫左肋部得球传中打在萨巴莱塔身上出了底线，角球                   39'第39分钟，科拉罗夫左路传中，哲科小禁区边缘抢点被绊倒，米尔纳远点小角度射门击中右侧立柱弹出底线
40'刚才，镜头一转，米尔纳后点铲射打中立柱                   39'第39分钟，科拉罗夫左路传中，哲科小禁区边缘抢点被绊倒，米尔纳远点小角度射门击中右侧立柱弹出底线
41'米尔纳差一点梅开二度                   39'第39分钟，科拉罗夫左路传中，哲科小禁区边缘抢点被绊倒，米尔纳远点小角度射门击中右侧立柱弹出底线
42'纳乔中场得球直传，力量太大了                   39'第39分钟，科拉罗夫左路传中，哲科小禁区边缘抢点被绊倒，米尔纳远点小角度射门击中右侧立柱弹出底线
42'孔帕尼淡定地将球交给了科拉罗夫                   39'第39分钟，科拉罗夫左路传中，哲科小禁区边缘抢点被绊倒，米尔纳远点小角度射门击中右侧立柱弹出底线
56'纳乔中路推进，左脚打门打飞了                   56'第56分钟，埃雷蒙科传球，纳乔远射高出
57'科拉罗夫左路助攻上来横拔给阿圭罗                   56'第56分钟，埃雷蒙科传球，纳乔远射高出
57'阿圭罗调整后直接抬脚就打，阿金费耶夫将球扑出底线                   56'第56分钟，埃雷蒙科传球，纳乔远射高出
57'米尔纳发一个短的给席尔瓦                   56'第56分钟，埃雷蒙科传球，纳乔远射高出
57'席尔瓦原地发力传中被伊格纳舍维奇头球解围                   56'第56分钟，埃雷蒙科传球，纳乔远射高出
58'中央陆军的反击，费尔南多铲倒了下半场新上场的杜姆比亚                   56'第56分钟，埃雷蒙科传球，纳乔远射高出
58'费尔南德斯被黄牌警告                   56'第56分钟，埃雷蒙科传球，纳乔远射高出
58'这边杜姆比亚迟迟没有起来                   56'第56分钟，埃雷蒙科传球，纳乔远射高出
59'杜姆比亚是非常痛苦的样子，抬架队入场将他挡下场                   56'第56分钟，埃雷蒙科传球，纳乔远射高出
59'杜姆比亚是非常痛苦的样子，抬架队入场将他挡下场                   59'第59分钟，纳乔25码处远射再度偏出
60'慢镜来看费尔南多下脚凶狠但并没有铲到杜姆比亚的脚                   59'第59分钟，纳乔25码处远射再度偏出
60'费尔南德斯右路助攻上来传中，孔帕尼头球解围                   59'第59分钟，纳乔25码处远射再度偏出
60'纳乔外围凌空打门偏出                   59'第59分钟，纳乔25码处远射再度偏出
60'杜姆比亚接受治疗后重新回到场内                   59'第59分钟，纳乔25码处远射再度偏出
64'埃雷门科凌空抽射，球稍稍高出横梁                   64'莫斯科中央陆军第64分钟扳回一城，纳乔直传，穆萨禁区右侧低传，敦比亚小禁区边缘抢在萨巴莱塔之前射入空门，1-2
64'埃雷门科前场断球成功直塞禁区，孔帕尼准确的飞铲抢在穆萨之前将球铲走                   64'莫斯科中央陆军第64分钟扳回一城，纳乔直传，穆萨禁区右侧低传，敦比亚小禁区边缘抢在萨巴莱塔之前射入空门，1-2
65'托希奇右路得球一顺，费尔南德斯套上下底传中，曼加拉将球解围                   64'莫斯科中央陆军第64分钟扳回一城，纳乔直传，穆萨禁区右侧低传，敦比亚小禁区边缘抢在萨巴莱塔之前射入空门，1-2
65'杜姆比亚扳回一球！                   64'莫斯科中央陆军第64分钟扳回一城，纳乔直传，穆萨禁区右侧低传，敦比亚小禁区边缘抢在萨巴莱塔之前射入空门，1-2
66'纳乔中路直塞，穆萨反插上禁区右侧横传中路，杜姆比亚倒地铲射破门                   64'莫斯科中央陆军第64分钟扳回一城，纳乔直传，穆萨禁区右侧低传，敦比亚小禁区边缘抢在萨巴莱塔之前射入空门，1-2
66'1：2的比让比赛悬念重起                   64'莫斯科中央陆军第64分钟扳回一城，纳乔直传，穆萨禁区右侧低传，敦比亚小禁区边缘抢在萨巴莱塔之前射入空门，1-2
