1'比赛开始了                   1'1分钟后，扎卡丢球，比埃托突破至禁区弧内劲射偏转后被莱诺扑出
1'阿森纳穿着一身紫色的球衣                   1'1分钟后，扎卡丢球，比埃托突破至禁区弧内劲射偏转后被莱诺扑出
2'富勒姆身穿白色上衣，黑色短裤                   1'1分钟后，扎卡丢球，比埃托突破至禁区弧内劲射偏转后被莱诺扑出
2'姆希塔良禁区外侧正面，来一脚超远距离射门，球偏出右侧立柱                   1'1分钟后，扎卡丢球，比埃托突破至禁区弧内劲射偏转后被莱诺扑出
3'富勒姆一上来打的并不保守                   1'1分钟后，扎卡丢球，比埃托突破至禁区弧内劲射偏转后被莱诺扑出
3'哇！！！惊险球！！                   1'1分钟后，扎卡丢球，比埃托突破至禁区弧内劲射偏转后被莱诺扑出
4'维耶托前场断球， 禁区线上一脚搓射，球直奔球门而去，偏出右侧立柱一点点！                   1'1分钟后，扎卡丢球，比埃托突破至禁区弧内劲射偏转后被莱诺扑出
4'这球相信能够惊出莱诺一身冷汗                   1'1分钟后，扎卡丢球，比埃托突破至禁区弧内劲射偏转后被莱诺扑出
18'米特洛维奇先起来，还把蒙雷亚尔拉起来了                   18'第18分钟，米特洛维奇任意球混战中禁区左侧射门又高出
18'富勒姆定位球到禁区，米特洛维奇转身抽射，高出横梁                   18'第18分钟，米特洛维奇任意球混战中禁区左侧射门又高出
19'阿森纳防守真惨啊！后场又失误，门将与中后卫没有默契，多亏对手没有意识到                   18'第18分钟，米特洛维奇任意球混战中禁区左侧射门又高出
20'奥杜与拉卡泽特禁区内争抢位置，很激烈                   18'第18分钟，米特洛维奇任意球混战中禁区左侧射门又高出
20'阿森纳角球开出到前点，第一点被后卫顶出来了                   18'第18分钟，米特洛维奇任意球混战中禁区左侧射门又高出
21'拉卡泽特底线控球，在里姆的逼抢下自己带球出界                   18'第18分钟，米特洛维奇任意球混战中禁区左侧射门又高出
29'阿森纳进攻似乎找到了对手的漏洞，特别是在左路的伊沃比                   29'阿森纳第29分钟打破僵局，伊沃比直传，蒙雷亚尔禁区左侧传中，拉卡泽特前点10码处停球转身后扫射近角入网
29'又是伊沃比                   29'阿森纳第29分钟打破僵局，伊沃比直传，蒙雷亚尔禁区左侧传中，拉卡泽特前点10码处停球转身后扫射近角入网
29'进球了！！！！拉卡泽特！！                   29'阿森纳第29分钟打破僵局，伊沃比直传，蒙雷亚尔禁区左侧传中，拉卡泽特前点10码处停球转身后扫射近角入网
30'伊沃比左路拿球，准确把球传给套边得蒙雷亚尔，后者再传到小禁区内，拉卡泽特倒地转身把球扫进！！                   29'阿森纳第29分钟打破僵局，伊沃比直传，蒙雷亚尔禁区左侧传中，拉卡泽特前点10码处停球转身后扫射近角入网
30'这球阿森纳打得真是精彩至极！                   29'阿森纳第29分钟打破僵局，伊沃比直传，蒙雷亚尔禁区左侧传中，拉卡泽特前点10码处停球转身后扫射近角入网
32'富勒姆进攻来了，扎姆博禁区正面撩一脚远射！偏了                   29'阿森纳第29分钟打破僵局，伊沃比直传，蒙雷亚尔禁区左侧传中，拉卡泽特前点10码处停球转身后扫射近角入网
32'伊沃比！！！                   29'阿森纳第29分钟打破僵局，伊沃比直传，蒙雷亚尔禁区左侧传中，拉卡泽特前点10码处停球转身后扫射近角入网
44'拉卡泽特后场斜传，找贝莱林，倒三角传球，被后卫拦截                   44'富勒姆第44分钟扳平，比埃托直传，许尔勒禁区右肋10码处单刀挑射入网
44'进球了！！反击命中！！许尔勒                    44'富勒姆第44分钟扳平，比埃托直传，许尔勒禁区右肋10码处单刀挑射入网
46'蒙雷亚尔传球失误，维耶托直传，许尔勒禁区内拿球推射命中！                   44'富勒姆第44分钟扳平，比埃托直传，许尔勒禁区右肋10码处单刀挑射入网
47'刚才这个球是富勒姆的一次积极抢断获得的机会                   44'富勒姆第44分钟扳平，比埃托直传，许尔勒禁区右肋10码处单刀挑射入网
47'进球也是非常漂亮                   44'富勒姆第44分钟扳平，比埃托直传，许尔勒禁区右肋10码处单刀挑射入网
46'下半场比赛开始了                   44'富勒姆第44分钟扳平，比埃托直传，许尔勒禁区右肋10码处单刀挑射入网
47'维尔贝克又是给了伊沃比这边，给了中路的空档，找姆希塔良                   44'富勒姆第44分钟扳平，比埃托直传，许尔勒禁区右肋10码处单刀挑射入网
49'伊沃比传球到禁区内正面，贝蒂内利碰了一下，贝莱林赢球怒射！！                   49'阿森纳第49分钟扩大比分，维尔贝克头球摆渡，拉卡泽特拿球内切至20码处抽射，里姆封堵不及，皮球弹地后入左下角，2-1
49'球直奔球网，被门将飞身扑出！！                   49'阿森纳第49分钟扩大比分，维尔贝克头球摆渡，拉卡泽特拿球内切至20码处抽射，里姆封堵不及，皮球弹地后入左下角，2-1
49'进球了！！拉卡泽特！！！                   49'阿森纳第49分钟扩大比分，维尔贝克头球摆渡，拉卡泽特拿球内切至20码处抽射，里姆封堵不及，皮球弹地后入左下角，2-1
50'拉卡泽特！真牛！界外球阴差阳错到了拉卡泽特脚下，依着后卫转身就是一脚远射，球弹地后直接飞进了球网！！                   49'阿森纳第49分钟扩大比分，维尔贝克头球摆渡，拉卡泽特拿球内切至20码处抽射，里姆封堵不及，皮球弹地后入左下角，2-1
51'塞里传球到禁区，米特洛维奇争抢头球时犯规了                   49'阿森纳第49分钟扩大比分，维尔贝克头球摆渡，拉卡泽特拿球内切至20码处抽射，里姆封堵不及，皮球弹地后入左下角，2-1
67'阿森纳进行换人，伊沃比下场                   67'阿森纳第67分钟拉开差距，姆希塔良直传，奥巴梅扬禁区左侧传中，刚刚替补出场的拉姆塞小禁区边缘脚后跟破门，3-1
67'富勒姆左路进攻，失误了                   67'阿森纳第67分钟拉开差距，姆希塔良直传，奥巴梅扬禁区左侧传中，刚刚替补出场的拉姆塞小禁区边缘脚后跟破门，3-1
67'反击！！！                   67'阿森纳第67分钟拉开差距，姆希塔良直传，奥巴梅扬禁区左侧传中，刚刚替补出场的拉姆塞小禁区边缘脚后跟破门，3-1
67'阿森纳反击                   67'阿森纳第67分钟拉开差距，姆希塔良直传，奥巴梅扬禁区左侧传中，刚刚替补出场的拉姆塞小禁区边缘脚后跟破门，3-1
67'进球了！！拉姆塞！！！                   67'阿森纳第67分钟拉开差距，姆希塔良直传，奥巴梅扬禁区左侧传中，刚刚替补出场的拉姆塞小禁区边缘脚后跟破门，3-1
68'阿森纳从后场到前场，连续一脚出球，贝莱林脚后跟一挑，奥巴梅扬再次一脚传，最后传到了拉姆塞的脚下，后者脚后跟把球打进！！本年度最佳进球之一                   67'阿森纳第67分钟拉开差距，姆希塔良直传，奥巴梅扬禁区左侧传中，刚刚替补出场的拉姆塞小禁区边缘脚后跟破门，3-1
70'阿森纳左侧角球开出来，传到了中路的贝莱林                   67'阿森纳第67分钟拉开差距，姆希塔良直传，奥巴梅扬禁区左侧传中，刚刚替补出场的拉姆塞小禁区边缘脚后跟破门，3-1
70'贝莱林刚才拉开了杂耍般的传球序幕，太精彩了                   67'阿森纳第67分钟拉开差距，姆希塔良直传，奥巴梅扬禁区左侧传中，刚刚替补出场的拉姆塞小禁区边缘脚后跟破门，3-1
91'进球了！！！奥巴梅扬！！                   91'第91分钟，拉姆塞直传，奥巴梅扬禁区边缘内低射左下角入网，5-1
91'这场比赛将补时3分钟                   91'第91分钟，拉姆塞直传，奥巴梅扬禁区边缘内低射左下角入网，5-1
92'拉姆塞中路一个直塞，奥巴梅扬斜跑，转身一脚推射把球打进了！                   91'第91分钟，拉姆塞直传，奥巴梅扬禁区边缘内低射左下角入网，5-1
92'这场比赛胜利之后，临时排名将登上第三名                   91'第91分钟，拉姆塞直传，奥巴梅扬禁区边缘内低射左下角入网，5-1
93'奥巴梅扬左路进攻，不着急了，没有着急推进                   91'第91分钟，拉姆塞直传，奥巴梅扬禁区边缘内低射左下角入网，5-1
