5'拜仁前场右路的角球机会                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
5'阿隆索发出角球被默德萨克顶出禁区                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
5'拜仁来到自己后场倒脚                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
6'阿隆索大范围转移到左路，科斯塔胸部停球下来被贝莱林捅走                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
6'博阿滕中路的直传，科斯切尔尼与默德萨克关门将球让给切赫                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
7'厄齐尔右路护球失误，比达尔传球也是力量大了                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
7'卡索拉转移到左路，默德萨克传左路                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
8'桑切斯高速突进斜传，厄齐尔扣过了贝尔纳特打远角被诺伊尔扑出                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
8'沃尔科特再补射，角度太小被博阿滕封出底线                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
8'阿森纳的角球没有太大的威胁                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
8'还是阿森纳进攻，拉姆塞传丢了                   5'抗议客场昂贵球票的拜仁球迷在开场5分钟后才纷纷入场
12'拜仁漂亮的中路配合，蒂亚戈与穆勒二过一到禁区内打门比较正被切赫扑出                   11'拜仁第11分钟还以颜色，穆勒直传，无人防守的蒂亚戈10码处第一时间扫射被切赫扑出
12'穆勒的做墙传球无论时机还是线路都是世界级的                   11'拜仁第11分钟还以颜色，穆勒直传，无人防守的蒂亚戈10码处第一时间扫射被切赫扑出
14'拉姆带球切入横传，中后卫阿拉巴也压到前场远射打在后卫身上出了底线                   11'拜仁第11分钟还以颜色，穆勒直传，无人防守的蒂亚戈10码处第一时间扫射被切赫扑出
14'科斯塔角球低传禁区，没有队友插前点                   11'拜仁第11分钟还以颜色，穆勒直传，无人防守的蒂亚戈10码处第一时间扫射被切赫扑出
34'桑切斯左路的护球一顺，蒙雷尔传中，沃尔科特俯身头球攻门被诺伊尔神奇扑出                   33'阿森纳第33分钟险些破门，蒙雷亚尔左路传中，无人防守的沃尔科特小禁区边缘头球攻门被诺伊尔在门线上神勇救出，拉姆塞小禁区右侧的补射滑门而出
34'拉姆塞补射打偏了                   33'阿森纳第33分钟险些破门，蒙雷亚尔左路传中，无人防守的沃尔科特小禁区边缘头球攻门被诺伊尔在门线上神勇救出，拉姆塞小禁区右侧的补射滑门而出
