1'上半场比赛开始！！                   1'曼联第1分钟展开积极攻势，瓦伦西亚和拉什福德的外围射门均被封堵
1'红衣白裤的曼联开球，从画面的右侧向左进攻！！                   1'曼联第1分钟展开积极攻势，瓦伦西亚和拉什福德的外围射门均被封堵
1'马夏尔前场拿球，分球给鲁尼                   1'曼联第1分钟展开积极攻势，瓦伦西亚和拉什福德的外围射门均被封堵
1'鲁尼斜传球到禁区，摩根抢下大脚解围！！                   1'曼联第1分钟展开积极攻势，瓦伦西亚和拉什福德的外围射门均被封堵
2'瓦尔迪本场继续被禁赛，看看莱斯特城的进攻如何！                   1'曼联第1分钟展开积极攻势，瓦伦西亚和拉什福德的外围射门均被封堵
3'鲁尼左路拿球，直塞找马夏尔                   1'曼联第1分钟展开积极攻势，瓦伦西亚和拉什福德的外围射门均被封堵
3'马夏尔停球内切，被后卫出脚破坏出边线！                   1'曼联第1分钟展开积极攻势，瓦伦西亚和拉什福德的外围射门均被封堵
3'布林德中场拿球，强突后左脚传中到禁区                   1'曼联第1分钟展开积极攻势，瓦伦西亚和拉什福德的外围射门均被封堵
4'第一点被莱斯特城球员头球解围！！                   1'曼联第1分钟展开积极攻势，瓦伦西亚和拉什福德的外围射门均被封堵
4'林加德右路拿球，内切后的斜传到后点！！                   1'曼联第1分钟展开积极攻势，瓦伦西亚和拉什福德的外围射门均被封堵
4'拉什福德接应，边裁举旗，越位在先！！                   1'曼联第1分钟展开积极攻势，瓦伦西亚和拉什福德的外围射门均被封堵
4'第一点被莱斯特城球员头球解围！！                   4'莱斯特城4分钟后有望扳平，马赫雷斯任意球传中，但冈崎慎司小禁区右侧的头球攻门偏出近角
4'林加德右路拿球，内切后的斜传到后点！！                   4'莱斯特城4分钟后有望扳平，马赫雷斯任意球传中，但冈崎慎司小禁区右侧的头球攻门偏出近角
4'拉什福德接应，边裁举旗，越位在先！！                   4'莱斯特城4分钟后有望扳平，马赫雷斯任意球传中，但冈崎慎司小禁区右侧的头球攻门偏出近角
5'布林德后场拿球，分球右侧给林加德                   4'莱斯特城4分钟后有望扳平，马赫雷斯任意球传中，但冈崎慎司小禁区右侧的头球攻门偏出近角
5'林加德直塞找前场拉什福德，球被胡特解围出边线！                   4'莱斯特城4分钟后有望扳平，马赫雷斯任意球传中，但冈崎慎司小禁区右侧的头球攻门偏出近角
6'瓦伦西亚右路拿球，面对逼抢，回传斯莫林                   4'莱斯特城4分钟后有望扳平，马赫雷斯任意球传中，但冈崎慎司小禁区右侧的头球攻门偏出近角
6'斯莫林再给林加德，林加德过顶交给卡里克                   4'莱斯特城4分钟后有望扳平，马赫雷斯任意球传中，但冈崎慎司小禁区右侧的头球攻门偏出近角
7'卡里克的斜传找左侧的马夏尔                   4'莱斯特城4分钟后有望扳平，马赫雷斯任意球传中，但冈崎慎司小禁区右侧的头球攻门偏出近角
7'马夏尔强突下底，脚后跟回传，被福克斯拦截！！                   4'莱斯特城4分钟后有望扳平，马赫雷斯任意球传中，但冈崎慎司小禁区右侧的头球攻门偏出近角
7'坎特中场拿球反击，费莱尼放铲，犯规！！                   4'莱斯特城4分钟后有望扳平，马赫雷斯任意球传中，但冈崎慎司小禁区右侧的头球攻门偏出近角
22'马夏尔禁区弧顶争抢头球，被德林克沃特撞翻在地！！                   22'第22分钟出现争议，胡特争顶时拉扯费莱尼头发，比利时人肘击回敬侥幸逃脱处罚
22'曼联获得大禁区弧顶的任意球机会！！                   22'第22分钟出现争议，胡特争顶时拉扯费莱尼头发，比利时人肘击回敬侥幸逃脱处罚
22'费莱尼刚刚禁区内抢点，背身拿球，肘击了防守他的胡特                   22'第22分钟出现争议，胡特争顶时拉扯费莱尼头发，比利时人肘击回敬侥幸逃脱处罚
23'好在裁判没看到，不过这动作确实够大                   22'第22分钟出现争议，胡特争顶时拉扯费莱尼头发，比利时人肘击回敬侥幸逃脱处罚
23'鲁尼准备主罚任意球，直接攻门，打在人墙上弹出！！                   22'第22分钟出现争议，胡特争顶时拉扯费莱尼头发，比利时人肘击回敬侥幸逃脱处罚
24'马赫雷斯中场拿球，罗霍上抢犯规！！                   22'第22分钟出现争议，胡特争顶时拉扯费莱尼头发，比利时人肘击回敬侥幸逃脱处罚
24'莱斯特获得前场中路的任意球机会！！                   22'第22分钟出现争议，胡特争顶时拉扯费莱尼头发，比利时人肘击回敬侥幸逃脱处罚
24'德林克沃特任意球斜传禁区，费莱尼头球解围！！                   22'第22分钟出现争议，胡特争顶时拉扯费莱尼头发，比利时人肘击回敬侥幸逃脱处罚
25'鲁尼中场拿球，斜传右路给瓦伦西亚                   22'第22分钟出现争议，胡特争顶时拉扯费莱尼头发，比利时人肘击回敬侥幸逃脱处罚
79'德赫亚的门球直接传给了坎特，好在卡里克和布林德防守到位，拦截成功                   79'曼联第79分钟又险些破门，鲁尼左路斜传远点，斯马林10码处头球攻门擦中近角立柱外侧弹出
80'乌罗阿前场抢断，分球左侧给奥尔布莱顿                   79'曼联第79分钟又险些破门，鲁尼左路斜传远点，斯马林10码处头球攻门擦中近角立柱外侧弹出
80'奥尔布莱顿左路传中，第一点被后卫解围！！                   79'曼联第79分钟又险些破门，鲁尼左路斜传远点，斯马林10码处头球攻门擦中近角立柱外侧弹出
80'莱斯特前场再攻，马赫雷斯右路的强突，传中到后点                   79'曼联第79分钟又险些破门，鲁尼左路斜传远点，斯马林10码处头球攻门擦中近角立柱外侧弹出
81'乌罗阿胸部停球，凌空打门，踢茨了！！                   79'曼联第79分钟又险些破门，鲁尼左路斜传远点，斯马林10码处头球攻门擦中近角立柱外侧弹出
82'鲁尼前场中路拿球，分球右侧给瓦伦西亚                   79'曼联第79分钟又险些破门，鲁尼左路斜传远点，斯马林10码处头球攻门擦中近角立柱外侧弹出
82'瓦伦西亚下底传中到后点！！                   79'曼联第79分钟又险些破门，鲁尼左路斜传远点，斯马林10码处头球攻门擦中近角立柱外侧弹出
82'马塔和摩根争抢头球，球出底线！！                   79'曼联第79分钟又险些破门，鲁尼左路斜传远点，斯马林10码处头球攻门擦中近角立柱外侧弹出
82'曼联第三次换人：7号德佩上，换下39号拉什福德！                   79'曼联第79分钟又险些破门，鲁尼左路斜传远点，斯马林10码处头球攻门擦中近角立柱外侧弹出
87'布林德带球到前场，直塞找德佩                   87'第87分钟，德林沃特禁区左侧边缘内拉扯德佩犯规累计两张黄牌被罚下，裁判却判罚禁区边缘外任意球，鲁尼小角度任意球直接射门被小舒梅切尔扑出
87'德佩拿球内切，德林克沃特回防身后拉人犯规！！                   87'第87分钟，德林沃特禁区左侧边缘内拉扯德佩犯规累计两张黄牌被罚下，裁判却判罚禁区边缘外任意球，鲁尼小角度任意球直接射门被小舒梅切尔扑出
87'德林克沃特被主裁判出示第二张黄牌，两黄变一红，出场啦！！                   87'第87分钟，德林沃特禁区左侧边缘内拉扯德佩犯规累计两张黄牌被罚下，裁判却判罚禁区边缘外任意球，鲁尼小角度任意球直接射门被小舒梅切尔扑出
88'裁判给了曼联大禁区左侧的任意球机会！！                   87'第87分钟，德林沃特禁区左侧边缘内拉扯德佩犯规累计两张黄牌被罚下，裁判却判罚禁区边缘外任意球，鲁尼小角度任意球直接射门被小舒梅切尔扑出
