3'泽林斯基拿球，加利亚尔迪尼有个拉人犯规                   3'开场3分钟，卡列洪分球，马尔右路底线传中，梅尔滕斯前点距门7米处推射高出
3'卡列洪拿球分右路，马库伊特下底倒三角去门前                   3'开场3分钟，卡列洪分球，马尔右路底线传中，梅尔滕斯前点距门7米处推射高出
4'默滕斯跟上打门高出了横梁                   3'开场3分钟，卡列洪分球，马尔右路底线传中，梅尔滕斯前点距门7米处推射高出
4'阿萨莫阿斜传前场，被阿尔比奥尔解围                   3'开场3分钟，卡列洪分球，马尔右路底线传中，梅尔滕斯前点距门7米处推射高出
5'阿萨莫阿长传去中路，纳英戈兰争顶                   3'开场3分钟，卡列洪分球，马尔右路底线传中，梅尔滕斯前点距门7米处推射高出
5'波利塔诺右路拿球，横走敲给队友                   3'开场3分钟，卡列洪分球，马尔右路底线传中，梅尔滕斯前点距门7米处推射高出
6'纳英戈兰拿球转身到禁区前                   3'开场3分钟，卡列洪分球，马尔右路底线传中，梅尔滕斯前点距门7米处推射高出
6'小范围配合回到纳英戈兰脚下，远射被封堵                   3'开场3分钟，卡列洪分球，马尔右路底线传中，梅尔滕斯前点距门7米处推射高出
6'古拉姆左路推进，传中大了一点                   3'开场3分钟，卡列洪分球，马尔右路底线传中，梅尔滕斯前点距门7米处推射高出
61'库利巴利过半场，直塞禁区没找到队友                   61'下半时，伊卡尔迪和贝西诺先后登场，换下波利塔诺和加利亚尔迪尼，但国米第61分钟再丢一球
61'那不勒斯进球了！！！                   61'下半时，伊卡尔迪和贝西诺先后登场，换下波利塔诺和加利亚尔迪尼，但国米第61分钟再丢一球
61'默滕斯！！！                   61'下半时，伊卡尔迪和贝西诺先后登场，换下波利塔诺和加利亚尔迪尼，但国米第61分钟再丢一球
61'那不勒斯右路配合传中去门前，默滕斯插上头球破门                   61'下半时，伊卡尔迪和贝西诺先后登场，换下波利塔诺和加利亚尔迪尼，但国米第61分钟再丢一球
62'那不勒斯2-0领先国米                   61'下半时，伊卡尔迪和贝西诺先后登场，换下波利塔诺和加利亚尔迪尼，但国米第61分钟再丢一球
62'来自卡列洪的传中助攻                   61'下半时，伊卡尔迪和贝西诺先后登场，换下波利塔诺和加利亚尔迪尼，但国米第61分钟再丢一球
63'佩里西奇右路拼抢，绊倒了古拉姆                   61'下半时，伊卡尔迪和贝西诺先后登场，换下波利塔诺和加利亚尔迪尼，但国米第61分钟再丢一球
63'库利巴利受伤倒地                   61'下半时，伊卡尔迪和贝西诺先后登场，换下波利塔诺和加利亚尔迪尼，但国米第61分钟再丢一球
64'把球传出去之后，自己有些拉伤大腿后侧                   61'下半时，伊卡尔迪和贝西诺先后登场，换下波利塔诺和加利亚尔迪尼，但国米第61分钟再丢一球
71'阿萨莫阿前场上抢，推倒了卡列洪                   71'那不勒斯第71分钟扩大战果，梅尔滕斯左路传中，米利克禁区后点零角度射门被汉达诺维奇扑出，马尔屈底线回敲，鲁伊斯在门前8米处左脚推进左下角，3比0
71'默滕斯左路拿球传后点                   71'那不勒斯第71分钟扩大战果，梅尔滕斯左路传中，米利克禁区后点零角度射门被汉达诺维奇扑出，马尔屈底线回敲，鲁伊斯在门前8米处左脚推进左下角，3比0
71'那不勒斯又进一球！                   71'那不勒斯第71分钟扩大战果，梅尔滕斯左路传中，米利克禁区后点零角度射门被汉达诺维奇扑出，马尔屈底线回敲，鲁伊斯在门前8米处左脚推进左下角，3比0
71'鲁伊斯！！！                   71'那不勒斯第71分钟扩大战果，梅尔滕斯左路传中，米利克禁区后点零角度射门被汉达诺维奇扑出，马尔屈底线回敲，鲁伊斯在门前8米处左脚推进左下角，3比0
72'默滕斯传后点，米利克第一脚被汉达诺维奇扑出，二点球马库伊特传门前，鲁伊斯打空门得手                   71'那不勒斯第71分钟扩大战果，梅尔滕斯左路传中，米利克禁区后点零角度射门被汉达诺维奇扑出，马尔屈底线回敲，鲁伊斯在门前8米处左脚推进左下角，3比0
72'那不勒斯3-0领先国米                   71'那不勒斯第71分钟扩大战果，梅尔滕斯左路传中，米利克禁区后点零角度射门被汉达诺维奇扑出，马尔屈底线回敲，鲁伊斯在门前8米处左脚推进左下角，3比0
73'纳英戈兰带球到禁区前，和劳塔罗踢墙配合                   71'那不勒斯第71分钟扩大战果，梅尔滕斯左路传中，米利克禁区后点零角度射门被汉达诺维奇扑出，马尔屈底线回敲，鲁伊斯在门前8米处左脚推进左下角，3比0
73'自己远射被挡出底线，角球                   71'那不勒斯第71分钟扩大战果，梅尔滕斯左路传中，米利克禁区后点零角度射门被汉达诺维奇扑出，马尔屈底线回敲，鲁伊斯在门前8米处左脚推进左下角，3比0
74'角球到劳塔罗脚下，抽射打中横梁弹出底线                   71'那不勒斯第71分钟扩大战果，梅尔滕斯左路传中，米利克禁区后点零角度射门被汉达诺维奇扑出，马尔屈底线回敲，鲁伊斯在门前8米处左脚推进左下角，3比0
78'丹布罗西奥右路进禁区，传后点                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
78'伊卡尔迪头球攻门被扑住                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
79'那不勒斯又来一个                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
79'鲁伊斯！                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
79'默滕斯禁区前做球给左路插上的鲁伊斯，后者小角度直接抽射破门                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
79'那不勒斯4-0领先国米                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
79'国米换人，坎德雷瓦换下佩里西奇                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
80'那不勒斯也换人，默滕斯被尤尼斯换下                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
80'坎德雷瓦右路传中进禁区，伊卡尔迪被绊倒                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
81'裁判给了点球                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
81'阿尔比奥尔绊倒了伊卡尔迪                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
81'伊卡尔迪来主罚点球                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
81'打进！                   78'那不勒斯第78分钟锁定胜局，梅尔滕斯分球，鲁伊斯左路突入禁区距门7米处左脚小角度抽射入近角，4比0
81'裁判给了点球                   81'国米第81分钟打进安慰球，伊卡尔迪禁区内转身拿球被阿尔比奥尔绊倒，主裁判多维里吹罚点球，伊卡尔迪亲自操刀推进右下角，1比4
81'阿尔比奥尔绊倒了伊卡尔迪                   81'国米第81分钟打进安慰球，伊卡尔迪禁区内转身拿球被阿尔比奥尔绊倒，主裁判多维里吹罚点球，伊卡尔迪亲自操刀推进右下角，1比4
81'伊卡尔迪来主罚点球                   81'国米第81分钟打进安慰球，伊卡尔迪禁区内转身拿球被阿尔比奥尔绊倒，主裁判多维里吹罚点球，伊卡尔迪亲自操刀推进右下角，1比4
81'打进！                   81'国米第81分钟打进安慰球，伊卡尔迪禁区内转身拿球被阿尔比奥尔绊倒，主裁判多维里吹罚点球，伊卡尔迪亲自操刀推进右下角，1比4
