4'皇马对阵德国球队，上一场胜利还要延续到2000年                   4'第4分钟，C罗左路被误判为越位
4'再者之后的14年，面对德国球队，10战不胜，非常尴尬的记录                   4'第4分钟，C罗左路被误判为越位
4'皇马后场起球到前场找C罗，边裁举旗，越位                   4'第4分钟，C罗左路被误判为越位
4'不过慢镜头回放显示，这球好球一个啊                   4'第4分钟，C罗左路被误判为越位
5'贝尔左路拿球，直塞打身后找本泽马                   4'第4分钟，C罗左路被误判为越位
5'边裁再次举旗，本泽马越位在先                   4'第4分钟，C罗左路被误判为越位
5'这次慢镜头回放清楚显示，本泽马确实越位半个身位                   4'第4分钟，C罗左路被误判为越位
7'上半场开始6分钟，皇马在顶住沙尔克前2分钟的猛攻之后，逐渐掌握了主动                   4'第4分钟，C罗左路被误判为越位
7'拉莫斯后场拿球，直传找C罗                   4'第4分钟，C罗左路被误判为越位
7'C罗面对逼抢，回传后场给马塞洛                   4'第4分钟，C罗左路被误判为越位
13'进球啦！！！                   13'皇马第13分钟取得领先
13'本泽马为皇马先拔头筹！！                   13'皇马第13分钟取得领先
14'贝尔右路拿球，内切后横传交给C罗，C罗禁区弧顶背身拿球直塞想和贝尔配合，结果球被后卫一挡，到了本泽马的脚下，后者得球顺势一脚低射，打进球门                   13'皇马第13分钟取得领先
15'圣卡西再现，立功了                   13'皇马第13分钟取得领先
15'沙尔克斜传球到禁区，德拉克斯勒门前俯身冲顶，卡西在球门线上将球挡出，神奇的扑救                   13'皇马第13分钟取得领先
16'YaoyuChn:今天皇马什么阵型（433强攻）                   13'皇马第13分钟取得领先
16'沙尔克前场进攻，赢得右侧任意球机会                   13'皇马第13分钟取得领先
16'任意球斜传到禁区弧顶，被皇马球员抢先解围                   13'皇马第13分钟取得领先
46'可惜劳尔因为有事，未能前往现场观看                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
46'又是法赫曼，面度C罗的低射，直接倒地用腿挡出                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
46'皇马右侧角球机会，开出被沙尔克球员解围                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
46'下半场比赛开始，皇马开球                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
46'双方下半场并没有人员上的变化                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
47'迪玛利亚前场拿球，横传找莫德里奇时被沙尔克球员拦截                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
47'沙尔克后场的过顶球找前插的梅耶尔                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
47'可惜没能过掉马塞洛的防线                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
48'沙尔克前场抢断，德拉克斯勒禁区远射，卡西将球扑出                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
48'沙尔克右路再传禁区，佩佩头球解围                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
48'皇马右路的反击，贝尔拿球，变向内切，横传门前                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
48'马蒂普转身回防，在C罗之前将球解围                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
49'马塞洛左路拿球，横切后大范围转移球往右路走，被断啦                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
49'法尔范拿球反击，右边路变向扣球过掉马塞洛                   46'沙尔克1分钟后错过扳平机会，法尔范右路传中，德拉克斯勒在门前3米处半凌空推射被卡西利亚斯不可思议封出，迈尔小禁区前沿补射打高
21'贝尔回传分边交给卡瓦哈尔，卡瓦哈尔再给佩佩                   21'皇马成为欧冠淘汰赛首支做客德国前21分钟打进2球的球队，连续8场欧冠至少进2球，欧冠历史上仅次于塞维利亚(10场)和巴塞罗那(9场)
21'佩佩的后场过顶长传                   21'皇马成为欧冠淘汰赛首支做客德国前21分钟打进2球的球队，连续8场欧冠至少进2球，欧冠历史上仅次于塞维利亚(10场)和巴塞罗那(9场)
21'进球啦！！！                   21'皇马成为欧冠淘汰赛首支做客德国前21分钟打进2球的球队，连续8场欧冠至少进2球，欧冠历史上仅次于塞维利亚(10场)和巴塞罗那(9场)
21'贝尔禁区内的低射得手                   21'皇马成为欧冠淘汰赛首支做客德国前21分钟打进2球的球队，连续8场欧冠至少进2球，欧冠历史上仅次于塞维利亚(10场)和巴塞罗那(9场)
22'本泽马前场抢断，过度给到贝尔，贝尔拿球内切，连过沙尔克三名球员，突入禁区面对补防的赫韦德斯，右脚的低射，打进球门右下角！！！                   21'皇马成为欧冠淘汰赛首支做客德国前21分钟打进2球的球队，连续8场欧冠至少进2球，欧冠历史上仅次于塞维利亚(10场)和巴塞罗那(9场)
23'主场0-2落后，这下沙尔克的压力大了啊                   21'皇马成为欧冠淘汰赛首支做客德国前21分钟打进2球的球队，连续8场欧冠至少进2球，欧冠历史上仅次于塞维利亚(10场)和巴塞罗那(9场)
24'刚刚后场拿球失误的是桑塔纳，被本泽马抢断，横传给贝尔完成进球                   21'皇马成为欧冠淘汰赛首支做客德国前21分钟打进2球的球队，连续8场欧冠至少进2球，欧冠历史上仅次于塞维利亚(10场)和巴塞罗那(9场)
32'C罗在争抢中倒地，不过韦伯没表示，C罗跪地仰天长叹，现场嘘声四起啊                   32'第32分钟，阿隆索断球传出，迪马里亚交给C罗，C罗变线闪开科拉希纳茨，禁区边缘低射击中左门柱弹回场内
