1'上半场比赛开始！                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
1'首先开球的是利物浦                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
1'查德利前场抢球犯规了                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
2'禁区前沿，库蒂尼奥推射没有打上力量                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
2'利物浦的机会啊                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
2'热刺传球送右路                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
3'中场的拿球被利物浦抢断                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
4'格伦-约翰逊中场拿球将球回敲                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
4'索尔达多中场附近铲抢犯规了                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
4'保利尼奥中场断球                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
4'直塞分到边路                   1'开场仅1分钟，苏亚雷斯传球，但库蒂尼奥错过禁区边缘内的射门机会
12'利物浦前场右边路突破赢得任意球机会                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
12'库蒂尼奥任意球扫向禁区内                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
12'这球被洛里斯单拳击出                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
12'利物浦卷土重来                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
12'还是右路的进攻                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
13'传球送禁区内，乔阿伦侧身凌空将球打高                   12'第12分钟，乔-艾伦禁区内射门被挡，斯特林射门偏出
