7'雷纳尔迪尼奥右路突破，池忠国把球铲出底线，角球                   7'第7分钟巴兰特斯从右路启动到中路，杀到禁区边缘转移到左路，吴毅臻怒射踢高
8'巴兰特斯中路拿球，分晚了                   7'第7分钟巴兰特斯从右路启动到中路，杀到禁区边缘转移到左路，吴毅臻怒射踢高
8'吴毅臻禁区左侧拿球，抽射打高                   7'第7分钟巴兰特斯从右路启动到中路，杀到禁区边缘转移到左路，吴毅臻怒射踢高
9'胡鸣飞右路护球，阿隆推人了                   7'第7分钟巴兰特斯从右路启动到中路，杀到禁区边缘转移到左路，吴毅臻怒射踢高
9'汪嵩中路拿球分右边                   7'第7分钟巴兰特斯从右路启动到中路，杀到禁区边缘转移到左路，吴毅臻怒射踢高
10'雷纳尔迪尼奥做球，卢琳斜射被张一诺扑出                   7'第7分钟巴兰特斯从右路启动到中路，杀到禁区边缘转移到左路，吴毅臻怒射踢高
10'富力有角球机会                   7'第7分钟巴兰特斯从右路启动到中路，杀到禁区边缘转移到左路，吴毅臻怒射踢高
10'角球到第一点被乔尼顶出去                   7'第7分钟巴兰特斯从右路启动到中路，杀到禁区边缘转移到左路，吴毅臻怒射踢高
18'汪嵩做球，阿隆接应被绊倒，任意球                   18'第18分钟富力获得30米外任意球机会，姜至鹏直接起脚远射打偏
19'黄威接受治疗，比赛继续                   18'第18分钟富力获得30米外任意球机会，姜至鹏直接起脚远射打偏
19'姜至鹏任意球远射打偏                   18'第18分钟富力获得30米外任意球机会，姜至鹏直接起脚远射打偏
21'申鑫右路进攻，拿到一个任意球机会                   18'第18分钟富力获得30米外任意球机会，姜至鹏直接起脚远射打偏
21'申鑫进球了！！！                   18'第18分钟富力获得30米外任意球机会，姜至鹏直接起脚远射打偏
21'丹尼尔！！！                   18'第18分钟富力获得30米外任意球机会，姜至鹏直接起脚远射打偏
25'peterwang78：难以奢求                   25'领先后的申鑫毫不松劲，第25分钟池忠国中场妙传，巴兰特斯拿球后处理不当，直接在禁区边缘吊射偏出
25'于涛左路做球，吴毅臻没有接应到                   25'领先后的申鑫毫不松劲，第25分钟池忠国中场妙传，巴兰特斯拿球后处理不当，直接在禁区边缘吊射偏出
26'雷纳尔迪尼奥转身摆脱乔尼，与队友2过1没打成                   25'领先后的申鑫毫不松劲，第25分钟池忠国中场妙传，巴兰特斯拿球后处理不当，直接在禁区边缘吊射偏出
26'巴兰特斯左路反越位，停球没停好                   25'领先后的申鑫毫不松劲，第25分钟池忠国中场妙传，巴兰特斯拿球后处理不当，直接在禁区边缘吊射偏出
26'拿球调整再切入，射远角偏了                   25'领先后的申鑫毫不松劲，第25分钟池忠国中场妙传，巴兰特斯拿球后处理不当，直接在禁区边缘吊射偏出
27'巴兰特斯中路做球，给小了                   25'领先后的申鑫毫不松劲，第25分钟池忠国中场妙传，巴兰特斯拿球后处理不当，直接在禁区边缘吊射偏出
27'姜至鹏左路斜传，乔尼破坏了博基拉的停球                   25'领先后的申鑫毫不松劲，第25分钟池忠国中场妙传，巴兰特斯拿球后处理不当，直接在禁区边缘吊射偏出
28'卢琳左路拿球，姜至鹏助攻上来                   25'领先后的申鑫毫不松劲，第25分钟池忠国中场妙传，巴兰特斯拿球后处理不当，直接在禁区边缘吊射偏出
28'姜至鹏的传中被乔尼头球解围                   25'领先后的申鑫毫不松劲，第25分钟池忠国中场妙传，巴兰特斯拿球后处理不当，直接在禁区边缘吊射偏出
30'姜至鹏左路给底线，球先出界                   30'第30分钟巴兰特斯前场传出穿档球，丹尼尔得球后分到一侧，巴兰特斯跟进怒射被金洋洋奋力封堵
30'申鑫换人，张文涛换下黄威                   30'第30分钟巴兰特斯前场传出穿档球，丹尼尔得球后分到一侧，巴兰特斯跟进怒射被金洋洋奋力封堵
31'张贤秀中场争顶扛倒了丹尼尔犯规                   30'第30分钟巴兰特斯前场传出穿档球，丹尼尔得球后分到一侧，巴兰特斯跟进怒射被金洋洋奋力封堵
31'姜至鹏后场出球失误                   30'第30分钟巴兰特斯前场传出穿档球，丹尼尔得球后分到一侧，巴兰特斯跟进怒射被金洋洋奋力封堵
31'巴兰特斯和丹尼尔做踢墙配合，射门被封堵                   30'第30分钟巴兰特斯前场传出穿档球，丹尼尔得球后分到一侧，巴兰特斯跟进怒射被金洋洋奋力封堵
32'汪嵩中场拿球被绊倒                   30'第30分钟巴兰特斯前场传出穿档球，丹尼尔得球后分到一侧，巴兰特斯跟进怒射被金洋洋奋力封堵
32'阿隆禁区左侧转身，但是球被破坏                   30'第30分钟巴兰特斯前场传出穿档球，丹尼尔得球后分到一侧，巴兰特斯跟进怒射被金洋洋奋力封堵
33'姜至鹏左路拿球，转移                   30'第30分钟巴兰特斯前场传出穿档球，丹尼尔得球后分到一侧，巴兰特斯跟进怒射被金洋洋奋力封堵
33'雷纳尔迪尼奥肋部拿球，回敲                   30'第30分钟巴兰特斯前场传出穿档球，丹尼尔得球后分到一侧，巴兰特斯跟进怒射被金洋洋奋力封堵
33'汪嵩回防战术犯规绊倒了叶重秋                   30'第30分钟巴兰特斯前场传出穿档球，丹尼尔得球后分到一侧，巴兰特斯跟进怒射被金洋洋奋力封堵
33'姜至鹏左路拿球，转移                   33'第33分钟丹尼尔在和张耀坤拼抢后痛苦倒地不起，看上去肩膀有点脱臼
33'雷纳尔迪尼奥肋部拿球，回敲                   33'第33分钟丹尼尔在和张耀坤拼抢后痛苦倒地不起，看上去肩膀有点脱臼
33'汪嵩回防战术犯规绊倒了叶重秋                   33'第33分钟丹尼尔在和张耀坤拼抢后痛苦倒地不起，看上去肩膀有点脱臼
