1'上半场比赛开始！！                   1'阿森纳第1分钟反客为主展开攻势，厄齐尔禁区右侧的射门被封堵
1'主队厄斯特松德从画面的左侧向右进攻！                   1'阿森纳第1分钟反客为主展开攻势，厄齐尔禁区右侧的射门被封堵
2'阿森纳中场抢断，左路的反击                   1'阿森纳第1分钟反客为主展开攻势，厄齐尔禁区右侧的射门被封堵
4'蒙雷亚尔左路拿球，面对逼抢                   1'阿森纳第1分钟反客为主展开攻势，厄齐尔禁区右侧的射门被封堵
4'回传给到埃尔内尼，再给厄齐尔                   1'阿森纳第1分钟反客为主展开攻势，厄齐尔禁区右侧的射门被封堵
4'分球姆希塔良，球被防守球员破坏                   1'阿森纳第1分钟反客为主展开攻势，厄齐尔禁区右侧的射门被封堵
13'阿森纳进球了！！                   13'阿森纳第13分钟取得领先，伊沃比角球混战中禁区右侧射门被封堵后再射被扑出，蒙雷亚尔近距离补射入网
13'蒙雷亚尔的进球！！！                   13'阿森纳第13分钟取得领先，伊沃比角球混战中禁区右侧射门被封堵后再射被扑出，蒙雷亚尔近距离补射入网
14'姆希塔良右路拿球，横传到禁区，伊沃比停球调整一下，起脚打门被挡出，蒙雷亚尔跟进补射，打进！                   13'阿森纳第13分钟取得领先，伊沃比角球混战中禁区右侧射门被封堵后再射被扑出，蒙雷亚尔近距离补射入网
15'阿森纳前场进攻，右路的横传                   13'阿森纳第13分钟取得领先，伊沃比角球混战中禁区右侧射门被封堵后再射被扑出，蒙雷亚尔近距离补射入网
15'伊沃比中路拿球，再分左侧找维尔贝克                   13'阿森纳第13分钟取得领先，伊沃比角球混战中禁区右侧射门被封堵后再射被扑出，蒙雷亚尔近距离补射入网
15'维尔贝克接应慢了点，球被破坏出来                   13'阿森纳第13分钟取得领先，伊沃比角球混战中禁区右侧射门被封堵后再射被扑出，蒙雷亚尔近距离补射入网
15'厄齐尔左侧拿球，内切横传                   13'阿森纳第13分钟取得领先，伊沃比角球混战中禁区右侧射门被封堵后再射被扑出，蒙雷亚尔近距离补射入网
15'姆希塔良跟进，点球点附近的起脚打门                   13'阿森纳第13分钟取得领先，伊沃比角球混战中禁区右侧射门被封堵后再射被扑出，蒙雷亚尔近距离补射入网
16'在防守球员干扰下，踢茨了                   13'阿森纳第13分钟取得领先，伊沃比角球混战中禁区右侧射门被封堵后再射被扑出，蒙雷亚尔近距离补射入网
16'奈尔斯前场拿球，分球姆希塔良                   13'阿森纳第13分钟取得领先，伊沃比角球混战中禁区右侧射门被封堵后再射被扑出，蒙雷亚尔近距离补射入网
24'贝莱林前场右路拿球，强突下底                   24'阿森纳第24分钟扩大比分，主队后卫禁区内传球失误，姆希塔良拦截皮球后禁区右侧传射，皮球打在索蒂里斯身上偏转入网
24'横传球到门前                   24'阿森纳第24分钟扩大比分，主队后卫禁区内传球失误，姆希塔良拦截皮球后禁区右侧传射，皮球打在索蒂里斯身上偏转入网
24'被防守球员拦截                   24'阿森纳第24分钟扩大比分，主队后卫禁区内传球失误，姆希塔良拦截皮球后禁区右侧传射，皮球打在索蒂里斯身上偏转入网
24'彼得松的断球，解围球直接踢给了姆希塔良                   24'阿森纳第24分钟扩大比分，主队后卫禁区内传球失误，姆希塔良拦截皮球后禁区右侧传射，皮球打在索蒂里斯身上偏转入网
24'进球了！！2-0！！                   24'阿森纳第24分钟扩大比分，主队后卫禁区内传球失误，姆希塔良拦截皮球后禁区右侧传射，皮球打在索蒂里斯身上偏转入网
25'帕帕吉安诺普洛斯的乌龙球                   24'阿森纳第24分钟扩大比分，主队后卫禁区内传球失误，姆希塔良拦截皮球后禁区右侧传射，皮球打在索蒂里斯身上偏转入网
26'贝莱林右路强突横传，彼得松解围球踢给姆希塔良，小角度横传门前，球打在了帕帕身上，折射进网！！                   24'阿森纳第24分钟扩大比分，主队后卫禁区内传球失误，姆希塔良拦截皮球后禁区右侧传射，皮球打在索蒂里斯身上偏转入网
26'阿森纳的两个进球，全部来自对方防守的失误                   24'阿森纳第24分钟扩大比分，主队后卫禁区内传球失误，姆希塔良拦截皮球后禁区右侧传射，皮球打在索蒂里斯身上偏转入网
27'维尔贝克前场拿球，禁区线上的起脚打门                   24'阿森纳第24分钟扩大比分，主队后卫禁区内传球失误，姆希塔良拦截皮球后禁区右侧传射，皮球打在索蒂里斯身上偏转入网
27'太正了，被凯塔轻松拿到                   24'阿森纳第24分钟扩大比分，主队后卫禁区内传球失误，姆希塔良拦截皮球后禁区右侧传射，皮球打在索蒂里斯身上偏转入网
27'格罗前场左路拿球，内切被破坏                   24'阿森纳第24分钟扩大比分，主队后卫禁区内传球失误，姆希塔良拦截皮球后禁区右侧传射，皮球打在索蒂里斯身上偏转入网
58'凯塔出击，将球封堵出来                   58'阿森纳第58分钟锁定胜局，姆希塔良传球，厄齐尔小禁区前劲射偏转入网，3-0
58'维尔贝克的抢点，跑过了                   58'阿森纳第58分钟锁定胜局，姆希塔良传球，厄齐尔小禁区前劲射偏转入网，3-0
58'彼得松将球大脚解围                   58'阿森纳第58分钟锁定胜局，姆希塔良传球，厄齐尔小禁区前劲射偏转入网，3-0
59'阿森纳再进一球！！                   58'阿森纳第58分钟锁定胜局，姆希塔良传球，厄齐尔小禁区前劲射偏转入网，3-0
59'厄齐尔！！                   58'阿森纳第58分钟锁定胜局，姆希塔良传球，厄齐尔小禁区前劲射偏转入网，3-0
60'厄齐尔前场中路拿球，分球左侧给姆希塔良，内切横传再找厄齐尔，脚下一扣摆脱彼得松，起脚打门打进近角！！                   58'阿森纳第58分钟锁定胜局，姆希塔良传球，厄齐尔小禁区前劲射偏转入网，3-0
61'全场比赛60分钟，阿森纳客场3-0领先厄斯特松德！！！                   58'阿森纳第58分钟锁定胜局，姆希塔良传球，厄齐尔小禁区前劲射偏转入网，3-0
92'带球到禁区弧顶，分球左侧找插上的特基                   92'奥斯特桑斯第92分钟错过机会，贝莱林禁区边缘内铲球犯规，彼得松点球低射被奥斯皮纳稳稳没收
92'贝莱林身后回防，放铲铲翻了特基，犯规                   92'奥斯特桑斯第92分钟错过机会，贝莱林禁区边缘内铲球犯规，彼得松点球低射被奥斯皮纳稳稳没收
92'厄斯特松德获得了点球机会！                   92'奥斯特桑斯第92分钟错过机会，贝莱林禁区边缘内铲球犯规，彼得松点球低射被奥斯皮纳稳稳没收
92'彼得松主罚，推射球门左下角，被奥斯皮纳侧扑封堵！                   92'奥斯特桑斯第92分钟错过机会，贝莱林禁区边缘内铲球犯规，彼得松点球低射被奥斯皮纳稳稳没收
92'直接压在了身下，补射的机会都没啊                   92'奥斯特桑斯第92分钟错过机会，贝莱林禁区边缘内铲球犯规，彼得松点球低射被奥斯皮纳稳稳没收
93'厄斯特松德错失了取得进球的良机啊                   92'奥斯特桑斯第92分钟错过机会，贝莱林禁区边缘内铲球犯规，彼得松点球低射被奥斯皮纳稳稳没收
93'阿森纳中场传倒，裁判鸣哨                   92'奥斯特桑斯第92分钟错过机会，贝莱林禁区边缘内铲球犯规，彼得松点球低射被奥斯皮纳稳稳没收
