9'门将大脚开球到前场右侧！                   8'第8分钟，阿尔维斯右路传中，内马尔凌空抽射被门将贝尼特斯挡出
9'阿尔维斯带球推进过来！                   8'第8分钟，阿尔维斯右路传中，内马尔凌空抽射被门将贝尼特斯挡出
9'禁区右侧弧线球传中！                   8'第8分钟，阿尔维斯右路传中，内马尔凌空抽射被门将贝尼特斯挡出
9'点球点附近内马尔凌空一脚打门！！                   8'第8分钟，阿尔维斯右路传中，内马尔凌空抽射被门将贝尼特斯挡出
9'皮球被贝尼特斯扑出去！                   8'第8分钟，阿尔维斯右路传中，内马尔凌空抽射被门将贝尼特斯挡出
9'球员赶紧把球解围！                   8'第8分钟，阿尔维斯右路传中，内马尔凌空抽射被门将贝尼特斯挡出
46'主裁判吹响了上半场比赛结束的哨音！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
46'下半场比赛开始了！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
47'开球回给后场埃雷勒！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
47'长传球给前场左侧！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
47'皮球被马尔基尼奥斯踢出边线！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
47'尼斯前场左侧边线球！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
47'发球给前场左侧比尔内！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
47'传中球给禁区内左侧！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
47'加纳戈跟进打门！！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
47'GOOOOOOOOAL！！！球进了！！！0-1！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
48'加纳戈禁区内破门！尼斯1-0客场领先巴黎圣日耳曼！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
48'巴黎圣日耳曼中场开球给右侧阿尔维斯！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
48'回给中圈里面的金彭贝！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
48'给左侧德拉克斯勒！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
49'低平球给中路维拉蒂！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
49'再给前场左侧贝尔纳特！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
49'半高球传中被萨尔解围！                   46'1分钟后，阿塔勒突入禁区面对阿雷奥拉单刀推射，球被阿雷奥拉封出
57'德拉克斯勒左路得球内切！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
57'禁区内左脚打门！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
57'被丹特挡下来！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
57'马尔基尼奥斯斜传球给中路卡瓦尼！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
57'卡瓦尼的球被萨尔断走！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
57'萨尔快速带球推进过来！！！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
57'右路切入禁区内！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
57'倒三角回给中路圣马克西曼！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
58'圣马克西曼爆射打门！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
58'皮球击中横梁弹出去！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
58'贝尔纳特把球带走！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
58'长传球给前场左侧内马尔！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
58'低平球给身前贝尔纳特！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
58'迪马利亚禁区附近被比尔内铲倒！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
58'迪马利亚这是摔倒在了禁区内！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
59'主裁判判定给了巴黎圣日耳曼点球！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
59'巴黎圣日耳曼的点球机会！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
59'内马尔来罚这个点球！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
60'内马尔助跑！右脚推射打球门左侧！！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
60'OOOOOOOOOAL！！球进了！！！1-1！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
60'迪马利亚造点，内马尔点球破门，巴黎圣日耳曼1-1扳平尼斯！                   57'第57分钟，尼斯险些扩大比分，尼斯右路倒三角传中，圣马克西曼面对空门推射竟然打在门框上弹出
62'继续看比赛！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
62'巴黎圣日耳曼后场的球权！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
62'阿尔维斯分球给中路马尔基尼奥斯！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
62'直传球给中圈前沿维拉蒂！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
63'长传球给前场左侧找内马尔！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
63'直传球给禁区内左侧迪马利亚！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
63'迪马利亚的分球被达尼洛解围出边线！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
63'巴黎圣日耳曼前场左侧边线球！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
63'发球给前场左侧德拉克斯勒！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
63'德拉克斯勒一脚直塞球给禁区内卡瓦尼！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
64'卡瓦尼越位接球！转身绕开出击的门将W-贝尼特斯，把球推入大门！但是越位进球无效。                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
65'W-贝尼特斯大脚开球到中场右侧！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
65'马尔基尼奥斯把球顶到！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
65'皮球落到塔梅泽脚下！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
65'斜传球给前场左侧里斯-米罗！                   62'第62分钟，卡瓦尼晃过贝尼特斯后破门，但是越位在先进球无效
