1'上半场比赛开始了                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
1'今天阿奎罗、图雷、孔帕尼都上不了                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
1'整个曼城的中轴线啊                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
2'还好曼奇尼还有席尔瓦                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
2'埃弗顿右边路的传球出现了失误                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
2'加西亚转移到左路，特维斯利用速度摆脱了防守                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
2'特维斯传中球打在了科尔曼的鞋底上                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
3'曼城制造了一个边路定位球                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
3'传中找前点，被埃弗顿的后卫解围出了禁区                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
3'冰嘉爹地:车子差曼城几分呀？---7分                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
4'埃弗顿继续在右路做文章                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
4'科尔曼跟队友的配合，球出了边线                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
4'哲科争抢头球，捂着自己的头倒在地上                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
4'慢动作来看，他被迪斯丁的手肘击中了后脑勺                   1'双方第1分钟拼抢激烈，费莱尼边路铲倒米尔纳被罚黄牌
23'定位球传中到禁区，都没有人顶到！                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
23'穆哈将球接住                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
23'求迷101号:他们三个做替补了吗？球心哥哥---谁？                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
23'特维斯左路带球内切，突然一脚远射！                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
24'穆哈注意力够集中，将球抱住了                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
24'曼城连续发动进攻，右路的长传！                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
24'海廷加头球点给了穆哈                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
24'曼城的攻势也开始起来了                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
24'哲科机会！                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
24'禁区内的转身打门！太正了                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
24'曼城连续在中场断球反击                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
24'哲科左脚一扣，没能过了对方中卫                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
25'席尔瓦抢断，交给了哲科                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
25'哲科又是一脚禁区角上的兜射！                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
25'还是太正，被穆哈接住                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
25'曼城的反扑也来得很猛啊                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
25'埃弗顿还是远射，米纳拉斯将球打偏了                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
26'游客6123: YY伤了没--赛前训练受伤，没有进入大名单                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
26'皮纳尔在中场铲抢犯规                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
26'裁判给了皮纳尔一张黄牌                   23'曼城首次射门出现在第23分钟，席尔瓦传球，特维斯左路25码处劲射被穆查没收
25'席尔瓦抢断，交给了哲科                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
25'哲科又是一脚禁区角上的兜射！                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
25'还是太正，被穆哈接住                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
25'曼城的反扑也来得很猛啊                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
25'埃弗顿还是远射，米纳拉斯将球打偏了                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
26'游客6123: YY伤了没--赛前训练受伤，没有进入大名单                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
26'皮纳尔在中场铲抢犯规                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
26'裁判给了皮纳尔一张黄牌                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
27'埃弗顿已经有了两张黄牌，费莱尼还有一张                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
27'科拉罗夫直接打门！击中了人墙                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
28'巴里在对方禁区内抢头球犯规                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
28'迪斯丁在空中失去了平衡重重落地                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
28'巴里这个犯规有些报复的意思                   25'第25分钟，席尔瓦传球，哲科禁区左侧弧线球射门又被穆查轻松摘下
