3'绿城左侧倒三角回传到禁区弧顶                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
3'黄希扬禁区外围迎球远射将球打高                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
3'辽宁队左侧带球突破，波利将球回敲                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
4'杨运边路上抢造成对方失误                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
4'辽宁队将球转移到了右路                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
4'长传直接打身后                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
5'杨运这边没有追上                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
5'绿城这边反击的机会，杨善平将球破坏                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
5'绿城这边获得角球机会                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
5'角球送前点，队友蹭了一下到中路                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
6'绿城这边还有机会，没有拿到啊                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
6'再抢的时候，裁判吹了进攻犯规                   3'第3分钟，绿城左侧倒三角回传到禁区弧顶，黄希扬禁区外围迎球远射将球打高了
11'王皓前场拿球给到禁区弧顶                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
11'杨运停球后直接打门                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
11'球打在防守球员的手臂上                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
11'裁判这边没有吹罚                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
12'孙世林中场争抢的时候被拉蒙放倒                   11'第11分钟，王皓前场拿球给到禁区弧顶，杨运停球后直接打门打在防守队员手臂上，但是裁判没有吹罚
