1'上半场比赛开始                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
1'上港开球                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
1'后场控制球                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
1'埃尔克森背身做球左路，出边线                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
2'塞巴拿球回敲                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
2'姜嘉俊给右路被断                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
2'石柯拿球，被塞巴推倒了                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
3'上港右路断球，挑传另一侧                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
3'上港进球了！！                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
3'武磊！                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
3'奥斯卡禁区左侧接应右路挑传，射门被门将扑出，武磊跟进补射得手                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
3'重庆0-1落后上港了                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
4'唐家庶后场拿球，又险些被胡尔克上抢                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
4'中场斜传右路，被于海顶出                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
4'外围卡尔德克拼抢，放倒了雷文杰                   1'第1分钟上港的前场紧逼，让重庆队显得很不习惯
17'重庆右路送长传，被颜骏凌没收                   17'第17分钟于海左路冲击制造任意球机会，埃尔克森离门21米直接怒射近角，此球力量巨大，超过邓小飞的扑救速度，可惜皮球打在边网上
18'王燊超右路横敲，奥斯卡接应                   17'第17分钟于海左路冲击制造任意球机会，埃尔克森离门21米直接怒射近角，此球力量巨大，超过邓小飞的扑救速度，可惜皮球打在边网上
18'于海左路助攻，传中到禁区被解围                   17'第17分钟于海左路冲击制造任意球机会，埃尔克森离门21米直接怒射近角，此球力量巨大，超过邓小飞的扑救速度，可惜皮球打在边网上
18'外围于海拿球再突，禁区被绊倒了，任意球                   17'第17分钟于海左路冲击制造任意球机会，埃尔克森离门21米直接怒射近角，此球力量巨大，超过邓小飞的扑救速度，可惜皮球打在边网上
19'埃尔克森任意球直接打门                   17'第17分钟于海左路冲击制造任意球机会，埃尔克森离门21米直接怒射近角，此球力量巨大，超过邓小飞的扑救速度，可惜皮球打在边网上
19'偏出了近门柱                   17'第17分钟于海左路冲击制造任意球机会，埃尔克森离门21米直接怒射近角，此球力量巨大，超过邓小飞的扑救速度，可惜皮球打在边网上
20'中场争顶，元敏诚压人犯规                   17'第17分钟于海左路冲击制造任意球机会，埃尔克森离门21米直接怒射近角，此球力量巨大，超过邓小飞的扑救速度，可惜皮球打在边网上
20'右路王燊超下底，也是先出了底线                   17'第17分钟于海左路冲击制造任意球机会，埃尔克森离门21米直接怒射近角，此球力量巨大，超过邓小飞的扑救速度，可惜皮球打在边网上
27'颜骏凌大脚去右路，到了彭欣力脚下                   27'第27分钟胡尔克禁区外右侧突然送球到禁区内左侧，雷文杰抢在姜嘉俊之前飞身够射没踢倒皮球
27'王燊超右路拦截了，给身前                   27'第27分钟胡尔克禁区外右侧突然送球到禁区内左侧，雷文杰抢在姜嘉俊之前飞身够射没踢倒皮球
27'于海半高球去禁区前，被顶出                   27'第27分钟胡尔克禁区外右侧突然送球到禁区内左侧，雷文杰抢在姜嘉俊之前飞身够射没踢倒皮球
28'右路斜传后门柱，雷文杰插上没打上                   27'第27分钟胡尔克禁区外右侧突然送球到禁区内左侧，雷文杰抢在姜嘉俊之前飞身够射没踢倒皮球
28'姜嘉俊右路起球，被贺惯顶出                   27'第27分钟胡尔克禁区外右侧突然送球到禁区内左侧，雷文杰抢在姜嘉俊之前飞身够射没踢倒皮球
30'后场长传，于海也是传出了边线                   27'第27分钟胡尔克禁区外右侧突然送球到禁区内左侧，雷文杰抢在姜嘉俊之前飞身够射没踢倒皮球
30'石柯中场拼抢，抬脚过高                   27'第27分钟胡尔克禁区外右侧突然送球到禁区内左侧，雷文杰抢在姜嘉俊之前飞身够射没踢倒皮球
30'后场长传，于海也是传出了边线                   30'第30分钟进入短暂的补水时间
30'石柯中场拼抢，抬脚过高                   30'第30分钟进入短暂的补水时间
31'雷文杰中场让球转身，姜嘉俊上抢犯规了                   30'第30分钟进入短暂的补水时间
31'进入补水时间                   30'第30分钟进入短暂的补水时间
33'比赛继续                   30'第30分钟进入短暂的补水时间
33'埃尔克森左路拿球，下底有角球机会                   30'第30分钟进入短暂的补水时间
33'角球直接旋门，被邓小飞击出                   30'第30分钟进入短暂的补水时间
40'上港后场控制下节奏                   39'第39分钟胡尔克中路转移，奥斯卡再送到左路，无人看守的埃尔克森得球打远角稍稍偏出
40'奥斯卡禁区前搓传禁区左侧空当                   39'第39分钟胡尔克中路转移，奥斯卡再送到左路，无人看守的埃尔克森得球打远角稍稍偏出
41'埃尔克森停好球，射远角打偏                   39'第39分钟胡尔克中路转移，奥斯卡再送到左路，无人看守的埃尔克森得球打远角稍稍偏出
42'上港右路又上来，横敲禁区前                   39'第39分钟胡尔克中路转移，奥斯卡再送到左路，无人看守的埃尔克森得球打远角稍稍偏出
42'埃尔克森一漏，雷文杰后点拿到                   39'第39分钟胡尔克中路转移，奥斯卡再送到左路，无人看守的埃尔克森得球打远角稍稍偏出
42'趟一步禁区，被出击的门将破坏                   39'第39分钟胡尔克中路转移，奥斯卡再送到左路，无人看守的埃尔克森得球打远角稍稍偏出
42'禁区前，奥斯卡又有射门机会被封堵                   39'第39分钟胡尔克中路转移，奥斯卡再送到左路，无人看守的埃尔克森得球打远角稍稍偏出
44'胡尔克右路强行突进禁区                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
44'被唐家庶解围                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
44'埃尔克森撤出禁区做球，塞奥斯卡                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
44'元敏诚解围，角球                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
45'角球高度不够，被顶出来                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
45'重庆反击，塞巴横敲                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
45'费尔南迪尼奥带了几步，远射打偏                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
46'雷文杰前场背身，姜嘉俊拉人了                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
46'上半场补时3分钟                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
46'王燊超右路连续转身，起球被封堵                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
46'胡尔克有些受伤，倒地                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
47'接受队医治疗                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
46'下半场比赛开始                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
46'重庆开球                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
46'彭欣力中场拿球，回敲                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
46'卡尔德克中场争高球，挑传身前                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
47'给小了，蔡惠康拦截破坏                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
47'元敏诚右路长传被顶出                   44'第44分钟重庆队难得打出流畅快攻，可惜费尔南迪尼奥着急远射偏出
48'应该没有大碍                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
48'上港右侧角球开出                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
48'奥斯卡晃动下底，传中被顶出                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
48'石柯外围长传出了底线                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
49'彭欣力前场争下，给左路塞巴                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
49'重庆进球了！！！                   48'第48分钟重庆队终于进球，塞巴左路送球，上港禁区内乱战成一团，上港后卫连续解围不利，最后是彭欣力左侧送球，费尔南迪尼奥近距离推射得分，1比1，重庆半场前扳平比分
