6'王大龙后场打球，自己带过中线                   6'第6分钟，上港后场长传球，李浩文与王大龙拼速度后倒地，裁判并未有任何表示
6'直塞找前点的多利，多利横传转移球失误                   6'第6分钟，上港后场长传球，李浩文与王大龙拼速度后倒地，裁判并未有任何表示
6'双方球到前场后的失误以来我往，不相上下                   6'第6分钟，上港后场长传球，李浩文与王大龙拼速度后倒地，裁判并未有任何表示
7'李浩文前场拿球，王大龙回防身后明显拉人                   6'第6分钟，上港后场长传球，李浩文与王大龙拼速度后倒地，裁判并未有任何表示
7'不过主裁判马力并没有表示，球被毅腾控制                   6'第6分钟，上港后场长传球，李浩文与王大龙拼速度后倒地，裁判并未有任何表示
8'罗德瑞格中场拿球，横传转移球到右路给赵伟                   6'第6分钟，上港后场长传球，李浩文与王大龙拼速度后倒地，裁判并未有任何表示
8'赵伟的右路强突，起球打在蔡慧康身上出边线                   6'第6分钟，上港后场长传球，李浩文与王大龙拼速度后倒地，裁判并未有任何表示
9'王佳玉右路拿球，看到前边没有队友，控制下，回传给到伊班                   6'第6分钟，上港后场长传球，李浩文与王大龙拼速度后倒地，裁判并未有任何表示
9'伊班后场大脚过顶长传找前场的麦克布林                   6'第6分钟，上港后场长传球，李浩文与王大龙拼速度后倒地，裁判并未有任何表示
15'双方的中前场连续放铲，动作都不小啊                   15'第15分钟，双方在连续凶狠飞铲后发生冲突，里卡多对于裁判的判罚十分不满，裁判向麦克布林和多利各出示一张黄牌息事宁人
15'先是亚当休斯和蔡慧康争抢放铲，形成对脚                   15'第15分钟，双方在连续凶狠飞铲后发生冲突，里卡多对于裁判的判罚十分不满，裁判向麦克布林和多利各出示一张黄牌息事宁人
16'接着王佳玉再抢，放铲后和上来争抢的里卡多相撞                   15'第15分钟，双方在连续凶狠飞铲后发生冲突，里卡多对于裁判的判罚十分不满，裁判向麦克布林和多利各出示一张黄牌息事宁人
16'主裁判马力给了上港的前场任意球                   15'第15分钟，双方在连续凶狠飞铲后发生冲突，里卡多对于裁判的判罚十分不满，裁判向麦克布林和多利各出示一张黄牌息事宁人
16'场上出现混乱，比赛暂时中断                   15'第15分钟，双方在连续凶狠飞铲后发生冲突，里卡多对于裁判的判罚十分不满，裁判向麦克布林和多利各出示一张黄牌息事宁人
17'毅腾这边还有球员坐在地上半天没起来                   15'第15分钟，双方在连续凶狠飞铲后发生冲突，里卡多对于裁判的判罚十分不满，裁判向麦克布林和多利各出示一张黄牌息事宁人
17'在主裁判鸣哨死球的情况下，麦克布林和多利还在争夺球权，发生推搡                   15'第15分钟，双方在连续凶狠飞铲后发生冲突，里卡多对于裁判的判罚十分不满，裁判向麦克布林和多利各出示一张黄牌息事宁人
18'主裁判马力在第四官员的提醒下，麦克布林和多利各打五十大板，送上黄袍一件！！！                   15'第15分钟，双方在连续凶狠飞铲后发生冲突，里卡多对于裁判的判罚十分不满，裁判向麦克布林和多利各出示一张黄牌息事宁人
18'上港的前场中路任意球机会                   15'第15分钟，双方在连续凶狠飞铲后发生冲突，里卡多对于裁判的判罚十分不满，裁判向麦克布林和多利各出示一张黄牌息事宁人
18'王佳玉传至禁区，第一点被后卫解围出底线，角球                   15'第15分钟，双方在连续凶狠飞铲后发生冲突，里卡多对于裁判的判罚十分不满，裁判向麦克布林和多利各出示一张黄牌息事宁人
18'上港左侧角球开出，还是没什么威胁                   15'第15分钟，双方在连续凶狠飞铲后发生冲突，里卡多对于裁判的判罚十分不满，裁判向麦克布林和多利各出示一张黄牌息事宁人
27'吕文君过顶球打身后，李浩文前插接应                   27'第27分钟，李浩文利用速度优势为上港拼得一粒角球
27'李浩文左路拿球，强行下底横传，被福福解围出底线                   27'第27分钟，李浩文利用速度优势为上港拼得一粒角球
28'上港获得左侧角球机会，王佳玉主罚                   27'第27分钟，李浩文利用速度优势为上港拼得一粒角球
28'角球开出到禁区，出击的王敬平轻松拿到                   27'第27分钟，李浩文利用速度优势为上港拼得一粒角球
28'哎呀，差一点啊，麦克布林！！！                   27'第27分钟，李浩文利用速度优势为上港拼得一粒角球
29'傅欢右后场过顶长传到禁区                   27'第27分钟，李浩文利用速度优势为上港拼得一粒角球
29'麦克布林争顶，球打在福福身上变向，擦着立柱出底线                   27'第27分钟，李浩文利用速度优势为上港拼得一粒角球
29'上港再次获得右侧角球机会，开出被毅腾球员解围                   27'第27分钟，李浩文利用速度优势为上港拼得一粒角球
30'罗德瑞格拿球反击，蔡慧康战术犯规，放倒了罗德瑞格                   27'第27分钟，李浩文利用速度优势为上港拼得一粒角球
46'上半场补时2分钟                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
46'伊班后场横传转移找傅欢，力量过大，直接出了边线                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
47'吕文君右路拿球，直塞打身后                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
47'李浩文前插接应，边裁举旗，越位在先                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
47'上港左侧的进攻，李健将球破坏出边线                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
46'下半场比赛开始                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
46'蓝衣蓝裤的毅腾开球，从左向右进攻                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
46'早晚要买梅西来中超 :武磊今年怎么了（要留洋的）                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
46'毅腾左路的进攻，许东直塞找里卡多                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
47'里卡多回带，转身再传，失误了                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
47'下半场双方并没有人员上的变化                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
48'上港队进攻，右边路的传中到禁区                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
48'可惜麦克布林的前插跑太快，越位在先                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
49'里卡多前场拿球，中路强突，禁区内面对伊班的上抢，倒在禁区啦                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
49'主裁判马力鸣哨，看看怎么判                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
49'马力吹罚了里卡多的假摔，送上黄袍一件                   46'1分钟后，福福在解围时险些自摆乌龙，王敬平力保球门不失
34'傅欢的转移球找靠近左侧的麦克布林                   34'上海上港在第34分钟取得进球，王佳玉前场斜传李浩文，李浩文单刀球突入禁区晃开上前封堵的毅腾门将铲射空门得手
34'可惜后者在韩旭的干扰下，球出了边线                   34'上海上港在第34分钟取得进球，王佳玉前场斜传李浩文，李浩文单刀球突入禁区晃开上前封堵的毅腾门将铲射空门得手
34'上港进球了！！                   34'上海上港在第34分钟取得进球，王佳玉前场斜传李浩文，李浩文单刀球突入禁区晃开上前封堵的毅腾门将铲射空门得手
34'李浩文打空门得手！！！                   34'上海上港在第34分钟取得进球，王佳玉前场斜传李浩文，李浩文单刀球突入禁区晃开上前封堵的毅腾门将铲射空门得手
35'上港前场抢断，王佳玉中路拿球，送出直塞给前插的李浩文，李浩文单刀赴会，面对出击的王敬平，扣过，小禁区左侧的倒地铲射打进空门！！！                   34'上海上港在第34分钟取得进球，王佳玉前场斜传李浩文，李浩文单刀球突入禁区晃开上前封堵的毅腾门将铲射空门得手
36'颜骏凌出击和上来抢点的韩旭相撞，双方都倒地受伤                   34'上海上港在第34分钟取得进球，王佳玉前场斜传李浩文，李浩文单刀球突入禁区晃开上前封堵的毅腾门将铲射空门得手
37'两队的队医进场紧急处理伤情                   34'上海上港在第34分钟取得进球，王佳玉前场斜传李浩文，李浩文单刀球突入禁区晃开上前封堵的毅腾门将铲射空门得手
42'王佳玉右边路拿球，突破时被身后上来的赵伟撞倒在地，犯规                   42'第42分钟，上海上港边路策动攻势，埋伏在禁区弧顶处的球员尝试远射被毅腾后卫挡出
42'上半场比赛进入尾声，比分1-0，李浩文进球，上港领先                   42'第42分钟，上海上港边路策动攻势，埋伏在禁区弧顶处的球员尝试远射被毅腾后卫挡出
43'汪佳捷前场中路拿球，横传给到吕文君                   42'第42分钟，上海上港边路策动攻势，埋伏在禁区弧顶处的球员尝试远射被毅腾后卫挡出
43'吕文君再给麦克布林，麦克布林转身突破                   42'第42分钟，上海上港边路策动攻势，埋伏在禁区弧顶处的球员尝试远射被毅腾后卫挡出
43'结果球被王大龙抢先一脚捅出，双方相撞后倒地                   42'第42分钟，上海上港边路策动攻势，埋伏在禁区弧顶处的球员尝试远射被毅腾后卫挡出
44'里卡多中场争抢中，和蔡慧康相撞，后者倒地                   42'第42分钟，上海上港边路策动攻势，埋伏在禁区弧顶处的球员尝试远射被毅腾后卫挡出
45'蔡慧康半天没起来，上港球员将球踢出界外                   42'第42分钟，上海上港边路策动攻势，埋伏在禁区弧顶处的球员尝试远射被毅腾后卫挡出
45'慢镜回放显示，蔡慧康在和里卡多争抢时，好像碰在了里卡多的左肘伤                   42'第42分钟，上海上港边路策动攻势，埋伏在禁区弧顶处的球员尝试远射被毅腾后卫挡出
47'吕文君右路拿球，直塞打身后                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
47'李浩文前插接应，边裁举旗，越位在先                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
47'上港左侧的进攻，李健将球破坏出边线                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
47'里卡多回带，转身再传，失误了                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
47'下半场双方并没有人员上的变化                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
48'上港队进攻，右边路的传中到禁区                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
48'可惜麦克布林的前插跑太快，越位在先                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
49'里卡多前场拿球，中路强突，禁区内面对伊班的上抢，倒在禁区啦                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
49'主裁判马力鸣哨，看看怎么判                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
49'马力吹罚了里卡多的假摔，送上黄袍一件                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
50'下半场开始来看，毅腾进攻的人数上投入明显增加，但球员心态略显着急                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
50'哎呀，李浩文，可惜了                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
50'王燊超左边路拿球，横传给到李浩文                   47'经过2分钟的伤停补时，两队上半场比赛结束，上海上港凭借小将李浩文的进球暂1-0领先哈尔滨毅腾
47'吕文君右路拿球，直塞打身后                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
47'李浩文前插接应，边裁举旗，越位在先                   47'第47分钟，里卡多在毅腾禁区内跌跌撞撞摔倒，裁判马力判罚里卡多假摔向其出示黄牌
