3'延边后场控球，裴育文长甩一脚，斯蒂夫前面越位了                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
3'辽宁快速的进攻，中路疾驰而入，分给套边的胡延强                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
3'胡延强内切射门，打高了                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
3'池文一大脚开出                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
4'中场左路胡延强回敲王亮，再回给石笑天                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
4'金承大奋力的逼抢，石笑天匆忙解围出去                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
4'辽宁再次觅得进攻机会，这次是图雷，外围远射，打偏                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
5'辽宁今天攻击欲望很强，开场已经两次远射了                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
5'阿萨尼后场给到杨善平，在给麦克                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
5'撞墙配合，金泰延在给孙世林                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
5'李浩杰中场犀利的拼抢被吹了犯规                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
6'延边的防守非常硬朗，完全是韩国队风格                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
6'崔仁右路突破，胡延强和王亮夹抢犯规                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
6'吹了胡延强手上拉人，胡延强有些不服气                   3'第3分钟，辽宁宏运队打反击，胡延强边路内切后打门高出横梁
10'但在最为关键之际，阿萨尼黑影一闪，铲断下来                   10'第10分钟，尹比加兰送出直塞，左侧斯蒂夫插上越位了
10'延边再次发难，中路又是尹比加兰送出直塞，左侧斯蒂夫插上，又是越位了                   10'第10分钟，尹比加兰送出直塞，左侧斯蒂夫插上越位了
11'金承大回敲一脚，右路同伴上来斜吊禁区                   10'第10分钟，尹比加兰送出直塞，左侧斯蒂夫插上越位了
11'后点斯蒂夫把球得到，在推到中间，杨善平把球挡出                   10'第10分钟，尹比加兰送出直塞，左侧斯蒂夫插上越位了
11'外围延边一脚抽射，石笑天奋勇扑出，危险啊                   10'第10分钟，尹比加兰送出直塞，左侧斯蒂夫插上越位了
12'延边这阵攻势不错，辽宁比较被动                   10'第10分钟，尹比加兰送出直塞，左侧斯蒂夫插上越位了
12'孙世林后场护球被断，节拍器孙世林面对延边的逼抢，有点不适应                   10'第10分钟，尹比加兰送出直塞，左侧斯蒂夫插上越位了
13'斯蒂夫中路一脚直塞，金承大插上，石笑天出击没收                   10'第10分钟，尹比加兰送出直塞，左侧斯蒂夫插上越位了
