1'上半场比赛开化寺                   1'赛前，看台上展开一面巨幅法国国旗，所有人在钢琴演奏的马赛曲中默哀1分钟
1'首先由客队巴萨开球，从画面的右侧向左进攻                   1'赛前，看台上展开一面巨幅法国国旗，所有人在钢琴演奏的马赛曲中默哀1分钟
1'阿尔巴左路拿球，面对逼抢，回传布拉沃                   1'赛前，看台上展开一面巨幅法国国旗，所有人在钢琴演奏的马赛曲中默哀1分钟
1'布拉沃抢在本泽马之前，大脚将球解围                   1'赛前，看台上展开一面巨幅法国国旗，所有人在钢琴演奏的马赛曲中默哀1分钟
2'拉莫斯后场防守苏亚雷斯，两人相撞后，苏亚雷斯倒地                   1'赛前，看台上展开一面巨幅法国国旗，所有人在钢琴演奏的马赛曲中默哀1分钟
2'开场火药味很足啊                   1'赛前，看台上展开一面巨幅法国国旗，所有人在钢琴演奏的马赛曲中默哀1分钟
3'克罗斯左路拿球，面对逼抢，横传莫德里奇                   1'赛前，看台上展开一面巨幅法国国旗，所有人在钢琴演奏的马赛曲中默哀1分钟
3'莫德里奇再给克罗斯，克罗斯直塞马塞洛                   1'赛前，看台上展开一面巨幅法国国旗，所有人在钢琴演奏的马赛曲中默哀1分钟
3'马塞洛横传给到C罗，C罗强突下底                   1'赛前，看台上展开一面巨幅法国国旗，所有人在钢琴演奏的马赛曲中默哀1分钟
4'遭遇三人围抢，下底横传被挡出底线                   1'赛前，看台上展开一面巨幅法国国旗，所有人在钢琴演奏的马赛曲中默哀1分钟
4'皇马获得左侧角球机会，并未形成威胁                   1'赛前，看台上展开一面巨幅法国国旗，所有人在钢琴演奏的马赛曲中默哀1分钟
11'巴萨进球啦！！！                   11'巴萨第11分钟取得领先
11'苏亚雷斯的进球！！！                   11'巴萨第11分钟取得领先
11'上半场10分钟，巴萨客场先进球，取得领先                   11'巴萨第11分钟取得领先
12'伊涅斯塔中场拿球，直塞给到罗贝托，罗贝托斜塞禁区找苏亚雷斯，苏亚雷斯前插外脚背弹射，打进远角                   11'巴萨第11分钟取得领先
13'巴萨后场倒球，突然起速，打了皇马一个措手不及啊                   11'巴萨第11分钟取得领先
13'失球后，镜头给到C罗，一脸失望                   11'巴萨第11分钟取得领先
14'巴萨后场起球到前场找内马尔，传球力量太大，直接出边线                   11'巴萨第11分钟取得领先
14'阿尔维斯后场抢断，分球给到罗贝托                   11'巴萨第11分钟取得领先
14'罗贝托再回传交给阿尔维斯，阿尔维斯回敲皮克                   11'巴萨第11分钟取得领先
84'任意球开出，控制节奏啦                   84'巴萨第39分钟扩大比分
84'伊斯科后场防守中，直接从身后踢到了内马尔的膝盖上                   84'巴萨第39分钟扩大比分
84'替补登场的伊斯科直接被红牌罚出了场外！！！                   84'巴萨第39分钟扩大比分
85'巴萨再次获得前场左路的任意球机会                   84'巴萨第39分钟扩大比分
85'这样踢下去，皇马真的是输球输人啊                   84'巴萨第39分钟扩大比分
86'巴萨前场再攻，左路的横传球到中路                   84'巴萨第39分钟扩大比分
86'哈达迪跟进抽射，打飞                   84'巴萨第39分钟扩大比分
87'皇马前场进攻，本泽马的抽射，打偏                   84'巴萨第39分钟扩大比分
47'皇马稍显被动，巴萨攻势一浪高过一浪啊                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
47'哎呀，拉基蒂奇，基本空门啊                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
48'内马尔穿裆过人，内切后横传苏亚雷斯                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
48'苏亚雷斯和内马尔的踢墙配合，内马尔下底，倒三角回传中路                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
48'苏亚雷斯跟进抢点铲射，马塞洛门线上将球解围                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
48'拉基蒂奇跟进再打，几乎是个空门，打飞啦                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
47'莫德里奇中圈拿球，横传给到克罗斯                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
47'克罗斯再给拉莫斯，拉莫斯长传找马塞洛                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
48'马塞洛得球内切，趟过阿尔维斯，面对马蒂厄的放铲                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
48'马塞洛将球一趟，跳过，左脚劲射，打在了边网上，可惜啦                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
49'贝尔前场左路拿球，横切后分球给J罗                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
49'J罗禁区弧内停球转身，起脚劲射，被布拉沃封堵出底线                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
49'皇马获得左侧角球机会，开出到禁区，第一点被巴萨球员解围                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
50'贝尔外围得球，直接起脚打门，高射炮！！！                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
50'皇马的这两次进攻有进步，看看能否尽快取得进球吧                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
50'梅西在场边做热身，准备出场啦                   47'上半时补时第2分钟，苏亚雷斯和内马尔左肋踢墙配合，内马尔禁区左侧下底回传，苏亚雷斯在门前6米处铲射，马塞洛球门线上头球解围
