1'伊瓜因中场开球！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
1'给到后场鲁加尼！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
1'直接起脚长传前场！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
1'出界了！佩德罗发出边线球！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
1'直接给后场！挑传身前！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
2'迪巴拉前场接球被放倒了！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
2'尤文获得禁区外左侧任意球！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
3'皮亚尼奇右脚直接打门！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
3'一脚弧线球稍稍偏出球门！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
3'门球开出来！中圈争顶！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
3'前场右路伊瓜因拿下来！分身后夸德雷多！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
3'被断了！卡利亚里反击！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
4'前场巴雷拉放铲！断下来！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
4'给到中圈夸德拉多！没停住！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
4'直接起脚到前场！基耶利尼这边犯规了！                   1'第1分钟，皮亚尼奇左侧距门25米处主罚任意球贴近角而出
35'被上抢的后卫破坏！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
35'卡普亚诺带球往前走！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
35'分身旁约尼察！边路倒三角回敲！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
35'法里亚斯一脚抽射！布冯侧扑出去！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
36'法拉戈跟上补射！飞了！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
36'布冯门球出来！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
36'给到前场左路！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
36'法拉戈斜长传吊向禁区！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
37'法里亚斯拿球！找到禁区中路乔普！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
37'回做一下！法里亚斯跟上抽射！高了啊！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
37'裁判给了个角球！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
37'右侧角球出来！                   35'卡利亚里第35分钟险些追平，巴雷拉左路突破回传，法里亚斯在门前12米处抽射被布冯侧扑封出，法拉戈右侧距门6米处左脚铲射打飞
46'约尼察右路起球！被帕多因碰出边线！                   46'上半时补时第1分钟，尤文通过反击扩大比分
46'帕多因中路拿到！直接被迪巴拉断了！                   46'上半时补时第1分钟，尤文通过反击扩大比分
47'分左路夸德拉多！过顶直塞！                   46'上半时补时第1分钟，尤文通过反击扩大比分
47'给到迪巴拉！单刀了！                   46'上半时补时第1分钟，尤文通过反击扩大比分
47'杀入禁区！一脚抽射！                   46'上半时补时第1分钟，尤文通过反击扩大比分
47'进了进了进了进了！                   46'上半时补时第1分钟，尤文通过反击扩大比分
47'尤文新10号把比分改写成2-0！                   46'上半时补时第1分钟，尤文通过反击扩大比分
48'应该是马尔基西奥的过顶直塞助攻！                   46'上半时补时第1分钟，尤文通过反击扩大比分
48'半场比赛也结束了！                   46'上半时补时第1分钟，尤文通过反击扩大比分
48'尤文图斯凭借着曼朱基奇和迪巴拉的进球，主场2-0领先卡利亚里！！                   46'上半时补时第1分钟，尤文通过反击扩大比分
46'下半场比赛开始！                   46'上半时补时第1分钟，尤文通过反击扩大比分
46'安德雷奥利一脚斜长传！！到前场右侧！！                   46'上半时补时第1分钟，尤文通过反击扩大比分
46'法拉戈顶到！但是顶出了边线！！                   46'上半时补时第1分钟，尤文通过反击扩大比分
46'尤文这边边线球！                   46'上半时补时第1分钟，尤文通过反击扩大比分
46'基耶利尼斜传中场！                   46'上半时补时第1分钟，尤文通过反击扩大比分
46'夸德拉多拿球往前带！分球桑德罗！                   46'上半时补时第1分钟，尤文通过反击扩大比分
47'马尔基西奥中场分球给桑德罗！                   46'上半时补时第1分钟，尤文通过反击扩大比分
47'摆脱之后推给皮亚尼奇！                   46'上半时补时第1分钟，尤文通过反击扩大比分
