6'桑切斯前场拼抢，将球挡出了边线                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
6'桑切斯已经连续六场没有进球了                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
6'今天一上来也是全力以赴                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
7'贝莱林套边下底传中~~                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
7'吉鲁右脚射门~~没踢上力量                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
7'后卫在门前解围出去                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
8'球还在阿森纳的控制之下                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
8'斯旺西有段时间没法通过中场了                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
9'拉姆塞接到左边路的低平球传中~~直接左脚射门                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
9'打在了后卫的身上                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
9'裁判鸣哨了，吹了吉鲁越位                   6'第6分钟，吉鲁在禁区内再次射门，结果依然被对方球员封堵
14'啊锦誒 主播辛苦了---谢谢~作为球迷这么晚看球也很辛苦！                   14'第14分钟，阿森纳率先打破僵局，桑切斯在禁区前挑传，坎贝尔禁区内到底扫射破门，1-0
14'阿森纳继续在中后场控球                   14'第14分钟，阿森纳率先打破僵局，桑切斯在禁区前挑传，坎贝尔禁区内到底扫射破门，1-0
15'坎贝尔带球内切~~远射！                   14'第14分钟，阿森纳率先打破僵局，桑切斯在禁区前挑传，坎贝尔禁区内到底扫射破门，1-0
15'被后卫挡出                   14'第14分钟，阿森纳率先打破僵局，桑切斯在禁区前挑传，坎贝尔禁区内到底扫射破门，1-0
15'坎贝尔！！！                   14'第14分钟，阿森纳率先打破僵局，桑切斯在禁区前挑传，坎贝尔禁区内到底扫射破门，1-0
15'Goooooooooooooooooooooooal~~~~                   14'第14分钟，阿森纳率先打破僵局，桑切斯在禁区前挑传，坎贝尔禁区内到底扫射破门，1-0
16'坎贝尔的射门被后卫挡出之后，被桑切斯拿到~一脚挑传！坎贝尔插上倒地铲射~~~将球扫入网窝                   14'第14分钟，阿森纳率先打破僵局，桑切斯在禁区前挑传，坎贝尔禁区内到底扫射破门，1-0
16'阿森纳开局不错                   14'第14分钟，阿森纳率先打破僵局，桑切斯在禁区前挑传，坎贝尔禁区内到底扫射破门，1-0
