10'巴顿将球处理出底线,西布朗获得角球.                   10'第10分钟，波科诺利开出角球，塞塞尼翁头球摆渡，莱斯科特近距离头球破门
10'进球啦！！！西布朗球员莱斯科特球门线跟前头球,球从中路偏上飞进球门,球进了!助攻的是斯瑟格农. 女王公园 0-1 西布朗.                   10'第10分钟，波科诺利开出角球，塞塞尼翁头球摆渡，莱斯科特近距离头球破门
11'女王公园球员萨莫拉拼抢犯规,对手获得控球权.                   10'第10分钟，波科诺利开出角球，塞塞尼翁头球摆渡，莱斯科特近距离头球破门
11'波科尼奥利为西布朗赢得一个任意球.                   10'第10分钟，波科诺利开出角球，塞塞尼翁头球摆渡，莱斯科特近距离头球破门
12'女王公园球员邓恩一脚直塞球给萨莫拉,但是边裁举旗显示后者已经越位.                   10'第10分钟，波科诺利开出角球，塞塞尼翁头球摆渡，莱斯科特近距离头球破门
48'女王公园球员Charlie Austin大禁区中央右脚射门,被防守球员封堵.给他传球的是巴尔加斯.                   48'女王公园连入3球逆转，第24分钟，莫里森禁区内对费尔犯规，奥斯丁主罚点球命中
48'女王公园球员巴尔加斯大禁区中央右脚射门,被防守球员封堵.                   48'女王公园连入3球逆转，第24分钟，莫里森禁区内对费尔犯规，奥斯丁主罚点球命中
48'波科尼奥利将球处理出底线,女王公园获得角球.                   48'女王公园连入3球逆转，第24分钟，莫里森禁区内对费尔犯规，奥斯丁主罚点球命中
48'射门!!!女王公园球员邓恩大禁区中央头球,被对方守门员横身扑出.给他传球的是巴顿.                   48'女王公园连入3球逆转，第24分钟，莫里森禁区内对费尔犯规，奥斯丁主罚点球命中
48'进球啦！！！女王公园球员Charlie Austin球门线跟前右脚射门,球从中路飞进球门,球进了!助攻的是萨莫拉. 女王公园 2-2 西布朗.                   48'女王公园连入3球逆转，第24分钟，莫里森禁区内对费尔犯规，奥斯丁主罚点球命中
51'邓恩将球处理出底线,西布朗获得角球.                   48'女王公园连入3球逆转，第24分钟，莫里森禁区内对费尔犯规，奥斯丁主罚点球命中
86'女王公园球员霍伊莱特大禁区右侧右脚射门,被防守球员封堵.给他传球的是巴顿.                   86'第86分钟，巴顿开出角球，奥斯丁小禁区边缘头球破门上演帽子戏法，这是他本赛季第11粒联赛入球
86'波科尼奥利将球处理出底线,女王公园获得角球.                   86'第86分钟，巴顿开出角球，奥斯丁小禁区边缘头球破门上演帽子戏法，这是他本赛季第11粒联赛入球
86'斯瑟格农将球处理出底线,女王公园获得角球.                   86'第86分钟，巴顿开出角球，奥斯丁小禁区边缘头球破门上演帽子戏法，这是他本赛季第11粒联赛入球
86'进球啦！！！女王公园球员Charlie Austin大禁区中央头球,球从右下角飞进球门,球进了!助攻的是巴顿. 女王公园 3-2 西布朗.                   86'第86分钟，巴顿开出角球，奥斯丁小禁区边缘头球破门上演帽子戏法，这是他本赛季第11粒联赛入球
89'奥努哈将球处理出底线,西布朗获得角球.                   86'第86分钟，巴顿开出角球，奥斯丁小禁区边缘头球破门上演帽子戏法，这是他本赛季第11粒联赛入球
89'考尔克将球处理出底线,西布朗获得角球.                   86'第86分钟，巴顿开出角球，奥斯丁小禁区边缘头球破门上演帽子戏法，这是他本赛季第11粒联赛入球
