25'战术任意球给出来！                   25'拜仁第25分钟取得领先
25'中场的传球失误了！                   25'拜仁第25分钟取得领先
25'科曼反抢成功！给左侧拉菲尼亚！                   25'拜仁第25分钟取得领先
25'短传托利索！回传给基米希！                   25'拜仁第25分钟取得领先
27'托利索分禁区右侧J罗！                   25'拜仁第25分钟取得领先
27'停球后从容推射！！！                   25'拜仁第25分钟取得领先
27'GOOOOOOOOOOOAL！！                   25'拜仁第25分钟取得领先
28'J罗破门了！                   25'拜仁第25分钟取得领先
49'马丁内斯长传前场右侧！被头球解围！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
49'J罗得球转移左侧科曼！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
49'交给拉菲尼亚！回传科曼！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
49'横传失误了！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
49'沙尔克反击！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
50'球给到纳斯塔西奇！分左侧科诺普扬卡！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
50'直塞禁区左侧！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
50'本塔莱布拼抢犯规了！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
51'基米希右侧推进！前场分右侧J罗！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
51'传中到门前！穆勒头球攻门！！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
51'打中右侧立柱弹出！！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
52'基米希右侧得球！分给J罗！                   49'仅过4分钟，卡利朱里掷入边线球，穆勒将球断下，莱万胸部回做，托利索及时转移到禁区右侧，J罗在门前12米处左脚推射入近角，2比0
