1'中圈拜仁慕尼黑开球！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
1'上半场比赛开始了！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
1'开球回给后场格雷茨卡！给左路阿拉巴！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
1'阿拉巴的球被卡利朱里捅出边线！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
3'拜仁慕尼黑左侧发球给接应的胡梅尔斯，回给身后博阿滕！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
3'博阿滕给右路基米希！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
3'长传球给前场左路！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
3'布鲁马把球破坏！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
3'哈梅斯-罗德里格斯中场被麦肯尼犯规！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
4'拜仁慕尼黑开球回给后场乌尔赖希！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
4'分球后场右路机密死！                   1'第1分钟拜仁气势不错，阿拉巴左路传中，莱万前点顺势勾射被费尔曼得到
25'拜仁慕尼黑的右侧角球！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
25'角球开到禁区内右侧！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
25'萨内头球顶出来！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
25'外围沙尔克04的反击！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
25'库图库前场接应！单刀球！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
25'库图库带球突破！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
25'起脚推射打门！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
25'GOOOOOOOOOOAL！！1-1！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
26'库图库破门！沙尔克04 1-1扳平拜仁慕尼黑！                   25'沙尔克第25分钟追平，麦肯尼反击直传，库图朱突入禁区右侧距门14米处推进远角，1比1
