1'上半场比赛开始！                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
1'尤文先开球！后场控制一下                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
1'德西奥利带球向前，球回给身后鲁加尼                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
2'科斯塔带球内切，转移球找到阿萨莫阿                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
2'给禁区里迪巴拉！左脚打门被封堵出去                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
2'乌迪内斯反击！！                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
2'基耶利尼后场犯规了！！                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
2'吃到一张黄牌！乌迪内斯前场右侧禁区线附近得到一个定位球                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
3'定位球直接打门了！什琴斯尼把球扑出底线                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
3'乌迪内斯前场角球！                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
4'禁区开到禁区里！被解围出去                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
4'乌迪内斯后场控制球！                   1'基耶利尼第1分钟吃到黄牌，阿德南小角度任意球被斯琴斯尼扑出底线
38'伊瓜因来主罚！                   38'尤文第38分钟赢得点球，安杰拉禁区左侧被安杰拉绊倒，主裁判贾科马西判罚极刑，伊瓜因主罚推射左下角却被老门将比萨里封出底线
38'伊瓜因左脚直接抽左下角！！                   38'尤文第38分钟赢得点球，安杰拉禁区左侧被安杰拉绊倒，主裁判贾科马西判罚极刑，伊瓜因主罚推射左下角却被老门将比萨里封出底线
38'被扑出去了！！                   38'尤文第38分钟赢得点球，安杰拉禁区左侧被安杰拉绊倒，主裁判贾科马西判罚极刑，伊瓜因主罚推射左下角却被老门将比萨里封出底线
38'比萨里立功了！                   38'尤文第38分钟赢得点球，安杰拉禁区左侧被安杰拉绊倒，主裁判贾科马西判罚极刑，伊瓜因主罚推射左下角却被老门将比萨里封出底线
39'比赛继续！！尤文前场左侧起球到禁区！                   38'尤文第38分钟赢得点球，安杰拉禁区左侧被安杰拉绊倒，主裁判贾科马西判罚极刑，伊瓜因主罚推射左下角却被老门将比萨里封出底线
39'被大脚解围出去！马尔基西奥中场得球                   38'尤文第38分钟赢得点球，安杰拉禁区左侧被安杰拉绊倒，主裁判贾科马西判罚极刑，伊瓜因主罚推射左下角却被老门将比萨里封出底线
40'两队中场的争抢！乌迪内斯球权                   38'尤文第38分钟赢得点球，安杰拉禁区左侧被安杰拉绊倒，主裁判贾科马西判罚极刑，伊瓜因主罚推射左下角却被老门将比萨里封出底线
40'贝赫拉米带球到禁区！给洛佩斯                   38'尤文第38分钟赢得点球，安杰拉禁区左侧被安杰拉绊倒，主裁判贾科马西判罚极刑，伊瓜因主罚推射左下角却被老门将比萨里封出底线
40'阿德南外围接球！直接一脚打门！                   38'尤文第38分钟赢得点球，安杰拉禁区左侧被安杰拉绊倒，主裁判贾科马西判罚极刑，伊瓜因主罚推射左下角却被老门将比萨里封出底线
41'被解围出去了！！！尤文反击大脚找伊瓜因                   38'尤文第38分钟赢得点球，安杰拉禁区左侧被安杰拉绊倒，主裁判贾科马西判罚极刑，伊瓜因主罚推射左下角却被老门将比萨里封出底线
41'比萨里出击！把球解围出去                   38'尤文第38分钟赢得点球，安杰拉禁区左侧被安杰拉绊倒，主裁判贾科马西判罚极刑，伊瓜因主罚推射左下角却被老门将比萨里封出底线
49'鲁加尼后场抢断！转移球找到禁区里伊瓜因                   49'下半时开始4分钟，尤文扩大优势
49'做给禁区里迪巴拉！                   49'下半时开始4分钟，尤文扩大优势
49'面对门将！！左脚推射！！                   49'下半时开始4分钟，尤文扩大优势
49'GOAL!!!!!!!!!!!!                   49'下半时开始4分钟，尤文扩大优势
49'迪巴拉梅开二度！！！                   49'下半时开始4分钟，尤文扩大优势
50'比赛继续！！                   49'下半时开始4分钟，尤文扩大优势
50'乌迪内斯中场控制球！                   49'下半时开始4分钟，尤文扩大优势
51'安杰拉后场大脚找巴拉克                   49'下半时开始4分钟，尤文扩大优势
51'球被斯图拉罗解围出去                   49'下半时开始4分钟，尤文扩大优势
52'斯图拉罗后场抢球犯规了！                   49'下半时开始4分钟，尤文扩大优势
52'乌迪内斯前场右侧得到一个定位球！                   49'下半时开始4分钟，尤文扩大优势
78'乌迪内斯中场抢断，萨米切接球                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
78'科斯塔抢断了！！右侧带球向前！                   78'迪巴拉第78分钟几乎上演帽子戏法，他接应分球，迪巴拉禁区左侧距门9米处左脚斜射被 比萨里封出近角
