1'曼联首先开球，从画面的右侧向左进攻！！                   1'曼联第1分钟占据主动
1'曼联中场传球失误，西布朗的反击                   1'曼联第1分钟占据主动
1'查德利右路拿球，强突被阿什利-杨成功拦截                   1'曼联第1分钟占据主动
2'费莱尼后场拿球，分球左侧给阿什利-杨                   1'曼联第1分钟占据主动
2'阿什利-杨横传给卡里克，卡里克回传后卫                   1'曼联第1分钟占据主动
3'曼联后场的过顶长传找拉什福德                   1'曼联第1分钟占据主动
3'道森回防卡位，球先出了边线！！                   1'曼联第1分钟占据主动
3'费莱尼中场抢断，回传给拜利                   1'曼联第1分钟占据主动
3'拜利再给右侧的瓦伦西亚                   1'曼联第1分钟占据主动
4'拜利后场过顶长传，尼奥姆的头球解围                   1'曼联第1分钟占据主动
29'林加德外围拿球，挑传到禁区                   29'曼联第29分钟险些破门，林加德右路传中远点，马夏尔小禁区边缘强力头球攻门偏出近角
29'高度不够，被防守球员解围！！                   29'曼联第29分钟险些破门，林加德右路传中远点，马夏尔小禁区边缘强力头球攻门偏出近角
29'瓦伦西亚右路拿球，斜传到门前                   29'曼联第29分钟险些破门，林加德右路传中远点，马夏尔小禁区边缘强力头球攻门偏出近角
29'马夏尔跟进头球轰门，顶偏啦！！                   29'曼联第29分钟险些破门，林加德右路传中远点，马夏尔小禁区边缘强力头球攻门偏出近角
30'弗莱彻后场拿球，回传给到埃文斯                   29'曼联第29分钟险些破门，林加德右路传中远点，马夏尔小禁区边缘强力头球攻门偏出近角
30'埃文斯分球左侧给尼奥姆，尼奥姆再给麦克林                   29'曼联第29分钟险些破门，林加德右路传中远点，马夏尔小禁区边缘强力头球攻门偏出近角
31'麦克林回传后场给麦考利                   29'曼联第29分钟险些破门，林加德右路传中远点，马夏尔小禁区边缘强力头球攻门偏出近角
31'麦考利分球右侧给道森，道森分球前插的麦克林                   29'曼联第29分钟险些破门，林加德右路传中远点，马夏尔小禁区边缘强力头球攻门偏出近角
31'麦克林传中到禁区，拜利回防卡位，球被德赫亚控制                   29'曼联第29分钟险些破门，林加德右路传中远点，马夏尔小禁区边缘强力头球攻门偏出近角
32'西布朗前场进攻，卡努背身拿球                   29'曼联第29分钟险些破门，林加德右路传中远点，马夏尔小禁区边缘强力头球攻门偏出近角
32'转身横切，被罗霍推翻在地！！                   29'曼联第29分钟险些破门，林加德右路传中远点，马夏尔小禁区边缘强力头球攻门偏出近角
51'费莱尼再给查德利，查德利横传左侧布伦特                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
51'布伦特再传禁区，被了出来！！                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
51'道森右路强突，底线内切，倒三角回传                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
52'布伦特跟进推射，被拜利挡出了底线                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
52'这球布伦特没踢好，没踢上力量啊                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
52'西布朗获得右侧角球机会，没能形成威胁！！                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
52'马夏尔前场左路拿球，内切后的斜传，直接出底线！！                   51'西布朗第51分钟制造险情，道森禁区右侧下底回传，弗莱彻10码处推射被拜利挡出底线
