1'主裁判一声哨响，上半场比赛开始了！                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
1'毕尔巴鄂竞技队开球率先进攻                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
1'毕尔巴鄂竞技控球                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
1'中场的拼抢中苏萨埃塔犯规了！                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
2'巴塞罗那队后场控球，转移到朗格莱的脚下，再分球到右侧                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
2'皮克控球，转移给布斯克茨，再斜长传                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
2'苏萨埃塔把球断了下来，低平球传到前场                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
2'右路横敲门前！对方两人夹击把球破坏出来                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
3'威廉姆斯传球被解围出了底线                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
3'毕尔巴鄂竞技队获得角球机会                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
3'角球开到禁区内，第一点被皮克抢到顶出来                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
3'外围毕尔巴鄂竞技队继续控球，德马科斯横向转移球被马丁内斯抢到                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
4'巴伦扎加中场控球，直接长传球！                   1'坐镇主场之利的毕尔巴鄂第1分钟利用紧逼压制巴萨
23'拉基蒂奇传球给库蒂尼奥，再分球到右侧                   22'巴萨第22分钟错过机会，梅西右路斜传，苏亚雷斯小禁区边缘试图头球攻门却稍稍错过皮球
23'塞梅多横敲球到门前，门将出击解围出来                   22'巴萨第22分钟错过机会，梅西右路斜传，苏亚雷斯小禁区边缘试图头球攻门却稍稍错过皮球
24'布斯克茨拦截，球转移给皮克，再对方的逼抢下回传给门将！                   22'巴萨第22分钟错过机会，梅西右路斜传，苏亚雷斯小禁区边缘试图头球攻门却稍稍错过皮球
24'毕尔巴鄂竞技中场控球，转移给威廉姆斯，再分球到德马科斯的脚下                   22'巴萨第22分钟错过机会，梅西右路斜传，苏亚雷斯小禁区边缘试图头球攻门却稍稍错过皮球
24'德马科斯传球打在朗格莱的腿上被挡出来                   22'巴萨第22分钟错过机会，梅西右路斜传，苏亚雷斯小禁区边缘试图头球攻门却稍稍错过皮球
24'苏尔加西亚倒勾打门被门将扑住                   22'巴萨第22分钟错过机会，梅西右路斜传，苏亚雷斯小禁区边缘试图头球攻门却稍稍错过皮球
50'库蒂尼奥分球给罗贝托，再转移到梅西的脚下                   49'第49分钟，罗伯托斜传，苏亚雷斯头球回摆，巴萨球员投诉德马科斯手球犯规，裁判拒绝判罚点球
50'直塞球给罗贝托，后者插上接球，横敲门前，对方后卫解围出来                   49'第49分钟，罗伯托斜传，苏亚雷斯头球回摆，巴萨球员投诉德马科斯手球犯规，裁判拒绝判罚点球
51'德马科斯与塞梅多撞在一起，双双倒地！                   49'第49分钟，罗伯托斜传，苏亚雷斯头球回摆，巴萨球员投诉德马科斯手球犯规，裁判拒绝判罚点球
51'巴塞罗那队获得任意球机会，梅西来主罚                   49'第49分钟，罗伯托斜传，苏亚雷斯头球回摆，巴萨球员投诉德马科斯手球犯规，裁判拒绝判罚点球
51'任意球开到禁区内，对方解围出来                   49'第49分钟，罗伯托斜传，苏亚雷斯头球回摆，巴萨球员投诉德马科斯手球犯规，裁判拒绝判罚点球
51'外围布斯克茨控球，再回敲球给塞梅多                   49'第49分钟，罗伯托斜传，苏亚雷斯头球回摆，巴萨球员投诉德马科斯手球犯规，裁判拒绝判罚点球
52'在对方的逼抢下回传给门将                   49'第49分钟，罗伯托斜传，苏亚雷斯头球回摆，巴萨球员投诉德马科斯手球犯规，裁判拒绝判罚点球
52'梅西带球推进，加西亚犯规，被主裁判黄牌警告                   49'第49分钟，罗伯托斜传，苏亚雷斯头球回摆，巴萨球员投诉德马科斯手球犯规，裁判拒绝判罚点球
52'巴塞罗那队获得任意球机会，梅西来主罚                   49'第49分钟，罗伯托斜传，苏亚雷斯头球回摆，巴萨球员投诉德马科斯手球犯规，裁判拒绝判罚点球
52'任意球直接打门，绕过人墙，飞出了底线                   49'第49分钟，罗伯托斜传，苏亚雷斯头球回摆，巴萨球员投诉德马科斯手球犯规，裁判拒绝判罚点球
80'朗格莱在争顶中被马丁内斯给带倒了                   79'第79分钟，穆尼亚因左路任意球传中，威廉姆斯近距离头球攻门偏出
80'缓了一下，朗格莱起来重新投入战斗！                   79'第79分钟，穆尼亚因左路任意球传中，威廉姆斯近距离头球攻门偏出
81'比赛进行80分钟了！                   79'第79分钟，穆尼亚因左路任意球传中，威廉姆斯近距离头球攻门偏出
81'穆尼亚因右路突破，横敲门前，威廉姆斯抽射，被门将单手给挡出来！                   79'第79分钟，穆尼亚因左路任意球传中，威廉姆斯近距离头球攻门偏出
93'巴塞罗那任意球开到禁区内，门将把球没收                   91'第91分钟，德马科斯手球犯规，阿尔瓦雷斯被罚黄牌，主裁在纠正判罚后将德马科斯罚下
93'登贝莱突入禁区内，左脚劲射，没有拉开角度，球被门将没收                   91'第91分钟，德马科斯手球犯规，阿尔瓦雷斯被罚黄牌，主裁在纠正判罚后将德马科斯罚下
93'毕尔巴鄂竞技队开球门球                   91'第91分钟，德马科斯手球犯规，阿尔瓦雷斯被罚黄牌，主裁在纠正判罚后将德马科斯罚下
94'苏亚雷斯飞身上来拦截，手球了！                   91'第91分钟，德马科斯手球犯规，阿尔瓦雷斯被罚黄牌，主裁在纠正判罚后将德马科斯罚下
94'苏亚雷斯很是积极呀                   91'第91分钟，德马科斯手球犯规，阿尔瓦雷斯被罚黄牌，主裁在纠正判罚后将德马科斯罚下
