1'上半场比赛开始了                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
1'上半场是由客场作战的毕尔巴鄂开球                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
1'毕巴还是传统的红白间条衫                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
2'今天巴萨又一次没有用皮克+普约尔的组合                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
2'巴萨队长坐在替补席，应该是正常的轮换                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
2'马斯切拉诺中场直传找小法，力量给大了                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
3'巴萨开场后显得很兴奋                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
3'这是以往难得一见的态度                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
3'伊涅斯塔的传球被后卫抢断了                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
3'布斯克茨中场反抢，梅西~直传球被后卫挡了一下                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
3'巴萨还在继续控球                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
4'哈维在中路交给梅西                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
4'挑给伊涅斯塔~球被后卫身体挡了一下                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
4'巴萨继续围攻对方的禁区                   1'巴萨第1分钟并未如愿控制比赛，毕尔巴鄂的逼抢让巴萨进攻受阻
22'梅西接到了后场长传，带球突破有单刀机会                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
22'可惜梅西趟球不太顺脚啊                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
22'失去了自己打门的机会，转身给伊涅斯塔                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
22'小白的打门被后卫挡了一下，角球                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
22'皮克！！！                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
22'Goooooooooooooooooal！！！                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
23'有多久没有看到带刀后卫进球了？                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
23'皮中锋这一次门前机警的抢点补射建功                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
23'而之前毕巴后卫解围球失误，弹到了小法面前，一脚抽射被伊莱索斯扑了一下                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
23'皮克的补射，几乎是个空门了                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
24'上个赛季在客场皮中锋不慎搞了个乌龙                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
24'这下还回来了                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
24'巴萨继续加强攻势                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
25'梅西！！！                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
25'Gooooooooooooooooooal！！！                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
25'但是这球会是个乌龙么？                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
25'阿莫雷比埃塔啊，解围失误了                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
25'还是算到了梅西的头上！！！                   22'巴萨第22分钟取得领先，梅西传球，伊涅斯塔禁区左侧小角度射门被拉马尔霍挡出
25'梅西！！！                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
25'Gooooooooooooooooooal！！！                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
25'但是这球会是个乌龙么？                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
25'阿莫雷比埃塔啊，解围失误了                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
25'还是算到了梅西的头上！！！                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
26'第83球！                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
26'毕巴中路防守失误啊，两名中卫之间站位太开了，梅西接到哈维的直传，杀入禁区挑射~越过了出击的门将！                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
26'这球被阿莫雷比埃塔门前解围的时候一脚踢入了自家球门                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
26'布斯克茨后场防守犯规，领到了黄牌                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
27'游客2412: ，，是不是乌龙都得这么半天才算---这不是我们能算的，必须得西甲官方统计认可才行啊                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
27'毕巴的崩盘来得太快了                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
28'梅西中路漂亮的穿裆过人，给了小法                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
28'佩刀左路内切尝试了一脚远射，球打得有些偏                   25'巴萨第25分钟扩大比分，哈维送出精准直传，梅西8码处单刀推射骗过伊莱索斯，阿莫雷比埃塔空门前铲球解围仍令皮球入网
28'梅西中路漂亮的穿裆过人，给了小法                   28'第28分钟，哈维传球，佩德罗左路禁区前劲射偏出
28'佩刀左路内切尝试了一脚远射，球打得有些偏                   28'第28分钟，哈维传球，佩德罗左路禁区前劲射偏出
29'阿尔巴抢头球的时候和埃基萨撞在一起                   28'第28分钟，哈维传球，佩德罗左路禁区前劲射偏出
29'阿尔巴的头有些疼，硬碰硬啊                   28'第28分钟，哈维传球，佩德罗左路禁区前劲射偏出
29'德马科斯禁区内接应队友的挑传球，没有停住                   28'第28分钟，哈维传球，佩德罗左路禁区前劲射偏出
30'游客9797: 如果为了破纪录，上一场球梅西就出场了---这个确实如此                   28'第28分钟，哈维传球，佩德罗左路禁区前劲射偏出
31'梅西中路带球突破~                   28'第28分钟，哈维传球，佩德罗左路禁区前劲射偏出
31'禁区线上的打门被后卫封堵出来                   28'第28分钟，哈维传球，佩德罗左路禁区前劲射偏出
31'小法跟上又是一脚远射~~~球打偏了                   28'第28分钟，哈维传球，佩德罗左路禁区前劲射偏出
31'西甲的官方统计现在给的是梅西进球                   28'第28分钟，哈维传球，佩德罗左路禁区前劲射偏出
36'也有些时间没能看见梅西任意球破门了                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
36'梅西~打门稍稍高出                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
36'这球弧度是够了，可惜下坠得还不够                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
37'埃基萨停球砸在了自己脸上~                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
37'毕巴的球员也开始有些手忙脚乱了                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
37'阿杜里斯回接~挑球被伊涅斯塔抢断                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
38'布斯克茨有些玩火了                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
38'中场带球被断，还好小马哥的站位不错，反抢成功                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
39'哈维施展自己的拿手绝技，原地转身~晃动对方的中场球员不知所措                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
39'哈维直塞梅西~这球差了一点                   36'第36分钟，伊图拉斯佩禁区前对伊涅斯塔犯规，梅西25码处任意球射门偏出
