7'绿城左路下底，可惜被逼出了底线                   7'第7分钟，汪嵩左路反击中巧妙拨给阿甘，阿甘下底传中被挡出
7'泰达开出球门球                   7'第7分钟，汪嵩左路反击中巧妙拨给阿甘，阿甘下底传中被挡出
7'泰达左路推进很快，绿城拦截了下                   7'第7分钟，汪嵩左路反击中巧妙拨给阿甘，阿甘下底传中被挡出
8'高迪转移到左路，下底可惜被泰达挡了出了边线                   7'第7分钟，汪嵩左路反击中巧妙拨给阿甘，阿甘下底传中被挡出
8'绿城边界球进场                   7'第7分钟，汪嵩左路反击中巧妙拨给阿甘，阿甘下底传中被挡出
8'汪嵩控球被推倒                   7'第7分钟，汪嵩左路反击中巧妙拨给阿甘，阿甘下底传中被挡出
8'绿城任意球机会                   7'第7分钟，汪嵩左路反击中巧妙拨给阿甘，阿甘下底传中被挡出
9'汪嵩任意球开到小禁区，很可惜，巴雷和曹轩争顶，巴雷带倒了后者，两人都没顶到                   7'第7分钟，汪嵩左路反击中巧妙拨给阿甘，阿甘下底传中被挡出
9'泰达左路下底被拦截                   7'第7分钟，汪嵩左路反击中巧妙拨给阿甘，阿甘下底传中被挡出
10'绿城战术都是在左路，又被泰达拦截                   7'第7分钟，汪嵩左路反击中巧妙拨给阿甘，阿甘下底传中被挡出
10'绿城战术都是在左路，又被泰达拦截                   10'第10分钟，天津队任意球被杭州顶出，周海滨再次将球挑入禁区，后点插上的瓦伦西亚头球攻门顶得太正，姜波虽然脱手但第二反应将球扑住
11'天津右路就地反抢又转身推进，金东进犯规                   10'第10分钟，天津队任意球被杭州顶出，周海滨再次将球挑入禁区，后点插上的瓦伦西亚头球攻门顶得太正，姜波虽然脱手但第二反应将球扑住
11'天津队开出任意球                   10'第10分钟，天津队任意球被杭州顶出，周海滨再次将球挑入禁区，后点插上的瓦伦西亚头球攻门顶得太正，姜波虽然脱手但第二反应将球扑住
12'任意球第一点被顶出，禁区外挑到禁区第二点，瓦伦西亚头球一蹭被姜波扑出                   10'第10分钟，天津队任意球被杭州顶出，周海滨再次将球挑入禁区，后点插上的瓦伦西亚头球攻门顶得太正，姜波虽然脱手但第二反应将球扑住
12'泰达还想补射，姜波飞身扑住                   10'第10分钟，天津队任意球被杭州顶出，周海滨再次将球挑入禁区，后点插上的瓦伦西亚头球攻门顶得太正，姜波虽然脱手但第二反应将球扑住
13'李玮锋受伤倒地半天没起来，队医进场                   10'第10分钟，天津队任意球被杭州顶出，周海滨再次将球挑入禁区，后点插上的瓦伦西亚头球攻门顶得太正，姜波虽然脱手但第二反应将球扑住
13'姜波将球交给队友，绿城还是选择阻路                   10'第10分钟，天津队任意球被杭州顶出，周海滨再次将球挑入禁区，后点插上的瓦伦西亚头球攻门顶得太正，姜波虽然脱手但第二反应将球扑住
