 随着主裁判一声哨响,上半场比赛开始.
3'热刺球员埃里克森大禁区外右脚射门,被防守球员封堵.给他传球的是Dele Alli.
4'西布朗球员雅各布拼抢犯规,对手获得控球权.
4'Dele Alli为热刺在对方半场,赢得一个任意球.
4'热刺球员埃里克森大禁区外右脚射门,被防守球员封堵.
5'加德纳将球处理出底线,热刺获得角球.
5'热刺球员维尔通亨大禁区中央左脚射门,被防守球员封堵.给他传球的是拉梅拉.
5'热刺球员阿尔德韦雷尔德大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.
6'西布朗球员弗莱彻拼抢犯规,对手获得控球权.
6'Dele Alli为热刺赢得一个任意球.
6'西布朗球员雅各布拼抢犯规,对手获得控球权.
6'Dele Alli为热刺在对方半场,赢得一个任意球.
7'射门!!!热刺球员凯恩大禁区中央右脚射门,被对方守门员横身扑出.给他传球的是Dele Alli.
8'C-道森将球处理出底线,热刺获得角球.
9'热刺球员维尔通亨大禁区中央尝试左脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉梅拉.
10'斯瑟格农将球处理出底线,热刺获得角球.
12'西布朗球员斯瑟格农拼抢犯规,对手获得控球权.
12'罗斯为热刺在对方半场,赢得一个任意球.
13'热刺球员埃里克森大禁区外右脚射门,命中门柱横梁.
15'西布朗球员乔纳斯-奥尔森一脚直塞球给加德纳,但是边裁举旗显示后者已经越位.
18'西布朗球员加德纳手球犯规,对手获得球权.
19'热刺球员阿尔德韦雷尔德大禁区外右脚射门,被防守球员封堵.给他传球的是埃里克森.
20'热刺球员凯恩球门左侧小角度右脚射门,被防守球员封堵.
20'射门!!!热刺球员凯恩大禁区外右脚射门,被对方守门员横身扑出.给他传球的是登贝莱.
20'迈希尔将球处理出底线,热刺获得角球.
21'热刺球员埃里克-迪尔小禁区左侧尝试头球,可惜皮球偏出球门.给他传球的是埃里克森.
22'隆东为西布朗在对方半场,赢得一个任意球.
22'热刺球员登贝莱拼抢犯规,对手获得控球权.
29'西布朗球员加德纳大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是C-道森.
32'西布朗球员加德纳拼抢犯规,对手获得控球权.
32'拉梅拉为热刺在右路,赢得一个任意球.
33'西布朗球员C-道森自摆乌龙,热刺 1-0 西布朗
34'热刺球员凯恩大禁区右侧右脚射门,被防守球员封堵.给他传球的是拉梅拉.
35'埃文斯将球处理出底线,热刺获得角球.
38'西布朗球员隆东大禁区外右脚射门,被防守球员封堵.
39'西布朗球员加德纳手球犯规,对手获得球权.
39'麦克林将球处理出底线,热刺获得角球.
43'西布朗球员雅各布大禁区外左脚射门,被防守球员封堵.
43'Dele Alli将球处理出底线,西布朗获得角球.
44'西布朗球员雅各布大禁区外右脚射门,被防守球员封堵.
44'西布朗球员雅各布大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.
45'西布朗球员麦克林大禁区外左脚射门,被防守球员封堵.给他传球的是弗莱彻.
45'罗斯将球处理出底线,西布朗获得角球.
45'+1'雅各布为西布朗在右路,赢得一个任意球.
45'+1'热刺球员凯恩拼抢犯规,对手获得控球权.
45'+2'上半场结束,热刺 1-0 西布朗,稍事休息,我们一会来看看下半场两队的表现.
 下半场比赛开始,热刺 1-0 西布朗
46'西布朗球员斯瑟格农大禁区外右脚射门,被防守球员封堵.给他传球的是隆东.
46'阿尔德韦雷尔德将球处理出底线,西布朗获得角球.
47'西布朗球员乔纳斯-奥尔森小禁区左侧尝试头球,可惜皮球偏出球门.给他传球的是加德纳.
50'斯瑟格农为西布朗在右路,赢得一个任意球.
50'热刺球员罗斯拼抢犯规,对手获得控球权.
51'西布朗球员乔纳斯-奥尔森拼抢犯规,对手获得控球权.
51'拉梅拉为热刺赢得一个任意球.
52'加德纳为西布朗在对方半场,赢得一个任意球.
52'热刺球员拉梅拉拼抢犯规,对手获得控球权.
53'射门!!!西布朗球员加德纳大禁区外右脚射门,被对方守门员横身扑出.
55'埃文斯为西布朗在对方半场,赢得一个任意球.
