9'角球开出，前点被马竞抢到，头球后蹭攻门，布拉沃精彩扑救挡出                   8'马竞第8分钟险些破门，希梅内斯前点接角球头球攻门被布拉沃神勇救出
10'马竞右路进攻，传中，被皮克破坏出界，角球                   8'马竞第8分钟险些破门，希梅内斯前点接角球头球攻门被布拉沃神勇救出
11'图兰将角球开到禁区，格列兹曼又一个机会，打门被扑出                   8'马竞第8分钟险些破门，希梅内斯前点接角球头球攻门被布拉沃神勇救出
11'马竞目前攻势很猛啊                   8'马竞第8分钟险些破门，希梅内斯前点接角球头球攻门被布拉沃神勇救出
20'球被巴萨碰触边界                   20'第20分钟，佩德罗传中，梅西头球攻门打在胡安弗兰手上，但裁判未予判罚点球
20'马竞界外球                   20'第20分钟，佩德罗传中，梅西头球攻门打在胡安弗兰手上，但裁判未予判罚点球
21'巴萨围堵抢断后快攻到前场，梅西抢点又是一个头球，打在了后卫身上                   20'第20分钟，佩德罗传中，梅西头球攻门打在胡安弗兰手上，但裁判未予判罚点球
23'巴萨中路进攻，梅西突破被犯规，戈丁绊人了                   20'第20分钟，佩德罗传中，梅西头球攻门打在胡安弗兰手上，但裁判未予判罚点球
23'巴萨前场转移右路进攻                   20'第20分钟，佩德罗传中，梅西头球攻门打在胡安弗兰手上，但裁判未予判罚点球
65'双方节奏不算快，但是对抗不少                   65'巴萨第65分钟打破僵局，梅西同佩德罗踢墙配合，阿根廷人面对数人防守突入禁区左肋10码处射入右下角
65'巴萨进攻，梅西传右路                   65'巴萨第65分钟打破僵局，梅西同佩德罗踢墙配合，阿根廷人面对数人防守突入禁区左肋10码处射入右下角
66'进球了，梅西！！巴萨1-0                   65'巴萨第65分钟打破僵局，梅西同佩德罗踢墙配合，阿根廷人面对数人防守突入禁区左肋10码处射入右下角
67'佩德罗和梅西的撞墙式配合，梅西前插同时接到佩德罗回敲的传球射门打入死角！                   65'巴萨第65分钟打破僵局，梅西同佩德罗踢墙配合，阿根廷人面对数人防守突入禁区左肋10码处射入右下角
67'佩德罗助攻，梅西进球，巴萨下半场1-0，形式不错                   65'巴萨第65分钟打破僵局，梅西同佩德罗踢墙配合，阿根廷人面对数人防守突入禁区左肋10码处射入右下角
68'马竞换人，4号马里奥苏亚雷斯下，8号劳尔加西亚上                   65'巴萨第65分钟打破僵局，梅西同佩德罗踢墙配合，阿根廷人面对数人防守突入禁区左肋10码处射入右下角
93'巴萨前场被犯规，赢得一个任意球                   93'第93分钟，内马尔和戈丁互起争执被双方劝解
94'场上一个小插曲，戈丁和内马尔有点争执，戈丁不依不饶，不过没有冲突                   93'第93分钟，内马尔和戈丁互起争执被双方劝解
95'这样时间耗掉不少，裁判准备吹响比赛结束的哨音了                   93'第93分钟，内马尔和戈丁互起争执被双方劝解
