14'目前巴萨还没有形成有威胁的进攻                   14'开场14分钟，苏亚雷斯左脚远射没有压住
14'梅西回撤接球，分给了苏亚雷斯                   14'开场14分钟，苏亚雷斯左脚远射没有压住
15'赫塔菲禁区前的防守做得不错，没有给巴萨任何机会                   14'开场14分钟，苏亚雷斯左脚远射没有压住
15'苏牙~前场反抢，自己带了两步                   14'开场14分钟，苏亚雷斯左脚远射没有压住
15'左脚远射！！！                   14'开场14分钟，苏亚雷斯左脚远射没有压住
15'苏牙将球踢向了看台                   14'开场14分钟，苏亚雷斯左脚远射没有压住
16'巴萨边路传中~                   14'开场14分钟，苏亚雷斯左脚远射没有压住
16'越位了吗？                   14'开场14分钟，苏亚雷斯左脚远射没有压住
16'慢动作来看，阿尔巴在接应哈维的传球时稍稍有些越位                   14'开场14分钟，苏亚雷斯左脚远射没有压住
16'边裁的判罚没有问题                   14'开场14分钟，苏亚雷斯左脚远射没有压住
17'巴萨前场反抢，有反击的机会                   14'开场14分钟，苏亚雷斯左脚远射没有压住
17'佩德罗禁区左上角想扣过来再打~~~                   14'开场14分钟，苏亚雷斯左脚远射没有压住
17'后卫并没有给他这种机会，伸腿将球解围                   14'开场14分钟，苏亚雷斯左脚远射没有压住
47'不过哈维跟拉基蒂奇同时回追防守将球重新控制了下来                   47'2分钟后，阿尔巴左路斜传，瓜伊塔抢在哈维前面击出，苏亚雷斯禁区前沿补射偏出左门柱
47'两队目前都还没有换人                   47'2分钟后，阿尔巴左路斜传，瓜伊塔抢在哈维前面击出，苏亚雷斯禁区前沿补射偏出左门柱
49'巴萨突然将球吊入禁区~                   47'2分钟后，阿尔巴左路斜传，瓜伊塔抢在哈维前面击出，苏亚雷斯禁区前沿补射偏出左门柱
49'哈维居然到了中锋位置抢点铲射，球没踢上啊                   47'2分钟后，阿尔巴左路斜传，瓜伊塔抢在哈维前面击出，苏亚雷斯禁区前沿补射偏出左门柱
49'随后拉菲塔的射门打得太正，被布拉沃轻松化解                   47'2分钟后，阿尔巴左路斜传，瓜伊塔抢在哈维前面击出，苏亚雷斯禁区前沿补射偏出左门柱
50'迷茫的人生78493 梅西打什么位置？---更像是前腰                   47'2分钟后，阿尔巴左路斜传，瓜伊塔抢在哈维前面击出，苏亚雷斯禁区前沿补射偏出左门柱
50'哈维直塞梅西~突入了禁区！                   47'2分钟后，阿尔巴左路斜传，瓜伊塔抢在哈维前面击出，苏亚雷斯禁区前沿补射偏出左门柱
33'拉菲塔再传~被阿尔巴头球解围                   33'第33分钟，亚历克西斯后场长传阿尔维斯身后，拉菲塔左路急停外脚背一拨骗过阿尔维斯，切入禁区距门12米处抽射被布拉沃指尖一托偏出右门柱
34'拉菲塔边路内切~~                   33'第33分钟，亚历克西斯后场长传阿尔维斯身后，拉菲塔左路急停外脚背一拨骗过阿尔维斯，切入禁区距门12米处抽射被布拉沃指尖一托偏出右门柱
34'连过阿尔维斯跟皮克，右脚抽射~~~                   33'第33分钟，亚历克西斯后场长传阿尔维斯身后，拉菲塔左路急停外脚背一拨骗过阿尔维斯，切入禁区距门12米处抽射被布拉沃指尖一托偏出右门柱
34'门将布拉沃做出了精彩的扑救                   33'第33分钟，亚历克西斯后场长传阿尔维斯身后，拉菲塔左路急停外脚背一拨骗过阿尔维斯，切入禁区距门12米处抽射被布拉沃指尖一托偏出右门柱
34'单掌将球托出了底线                   33'第33分钟，亚历克西斯后场长传阿尔维斯身后，拉菲塔左路急停外脚背一拨骗过阿尔维斯，切入禁区距门12米处抽射被布拉沃指尖一托偏出右门柱
34'这球险些就进了                   33'第33分钟，亚历克西斯后场长传阿尔维斯身后，拉菲塔左路急停外脚背一拨骗过阿尔维斯，切入禁区距门12米处抽射被布拉沃指尖一托偏出右门柱
34'赫塔菲的角球，前点头球后蹭顶出了底线                   33'第33分钟，亚历克西斯后场长传阿尔维斯身后，拉菲塔左路急停外脚背一拨骗过阿尔维斯，切入禁区距门12米处抽射被布拉沃指尖一托偏出右门柱
