6'曼丹达将球处理出底线,巴黎圣日耳曼获得角球.                   3'第3分钟，巴洛特利禁区弧处远射，球被阿雷奥拉抱住
25'射门!!!巴黎圣日耳曼球员穆尼耶大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是阿尔维斯.                   24'第24分钟，默尼耶从右路切入禁区后扣球闪出空间，起脚劲射被曼当达扑出
25'曼丹达将球处理出底线,巴黎圣日耳曼获得角球.                   24'第24分钟，默尼耶从右路切入禁区后扣球闪出空间，起脚劲射被曼当达扑出
26'为马赛赢得一个任意球.                   24'第24分钟，默尼耶从右路切入禁区后扣球闪出空间，起脚劲射被曼当达扑出
26'巴黎圣日耳曼球员拼抢犯规,对手获得控球权.                   24'第24分钟，默尼耶从右路切入禁区后扣球闪出空间，起脚劲射被曼当达扑出
26'巴黎圣日耳曼球员库尔萨瓦被主裁判出示了一张黄牌.                   24'第24分钟，默尼耶从右路切入禁区后扣球闪出空间，起脚劲射被曼当达扑出
49'马赛球员桑松拼抢犯规,对手获得控球权.                   49'第49分钟，巴黎获得前场左侧任意球，帕雷德斯直接射门将球打飞
49'迪马利亚为巴黎圣日耳曼在对方半场,赢得一个任意球.                   49'第49分钟，巴黎获得前场左侧任意球，帕雷德斯直接射门将球打飞
50'巴黎圣日耳曼球员Leandro Paredes大禁区外尝试右脚射门,可惜皮球高出球门.                   49'第49分钟，巴黎获得前场左侧任意球，帕雷德斯直接射门将球打飞
52'马赛球员托万拼抢犯规,对手获得控球权.                   49'第49分钟，巴黎获得前场左侧任意球，帕雷德斯直接射门将球打飞
52'姆巴佩为巴黎圣日耳曼在对方半场,赢得一个任意球.                   49'第49分钟，巴黎获得前场左侧任意球，帕雷德斯直接射门将球打飞
52'卡马拉将球处理出底线,巴黎圣日耳曼获得角球.                   49'第49分钟，巴黎获得前场左侧任意球，帕雷德斯直接射门将球打飞
62'裁判将马赛的曼丹达直接红牌罚下.                   62'第62分钟，巴黎快速反击，迪马利亚获得单刀球机会，出击到禁区外的曼当达用手将球挡出，被主裁判直接红牌罚下，马赛被迫用替补门将贝利换下巴洛特利，巴黎获得任意球，迪马利亚主罚，皮球绕过人墙飞入球门右侧，巴黎3-1领先马赛
65'马赛换人,约翰-贝利换下巴洛特利                   62'第62分钟，巴黎快速反击，迪马利亚获得单刀球机会，出击到禁区外的曼当达用手将球挡出，被主裁判直接红牌罚下，马赛被迫用替补门将贝利换下巴洛特利，巴黎获得任意球，迪马利亚主罚，皮球绕过人墙飞入球门右侧，巴黎3-1领先马赛
