1'上半场比赛开始啦！！                   1'开场不到1分钟，摩德里奇抢断马努-加西亚，C罗25码处射门高出
1'白衣白裤的皇马，从画面的左侧向右进攻！！                   1'开场不到1分钟，摩德里奇抢断马努-加西亚，C罗25码处射门高出
1'阿拉维斯右路的进攻，伊斯科回防将球破坏出边线！！                   1'开场不到1分钟，摩德里奇抢断马努-加西亚，C罗25码处射门高出
3'伊斯科中场拿球，分球左侧给纳乔                   1'开场不到1分钟，摩德里奇抢断马努-加西亚，C罗25码处射门高出
4'纳乔再给克罗斯，克罗斯分球莫德里奇                   1'开场不到1分钟，摩德里奇抢断马努-加西亚，C罗25码处射门高出
4'莫德里奇给到右侧的贝尔                   1'开场不到1分钟，摩德里奇抢断马努-加西亚，C罗25码处射门高出
4'贝尔的强突传中找本泽马，被防守球员破坏出边线！                   1'开场不到1分钟，摩德里奇抢断马努-加西亚，C罗25码处射门高出
31'皇马进球啦！！！                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
31'本泽马的进球！！                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
32'本泽马接到队友分球，转身再塞给插上的卡瓦哈尔，卡瓦哈尔强突下底，倒三角回传中路，本泽马跟进左脚挑射打进！！                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
32'不过慢镜头回放显示，本泽马之前接应队友传球，有越位回接的嫌疑！！                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
33'伊斯科左路拿球，直塞给到本泽马                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
33'本泽马背身拿球，转身内切，没机会，回传伊斯科                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
33'皇马中后场传倒，再寻求机会！！                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
34'达尼洛左路拿球，强突下底                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
34'内切被拉瓜迪亚拦截，达尼洛停球再回传本泽马                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
34'分球贝尔，贝尔内切打门，被挡出底线！！                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
34'皇马获得左侧角球机会！！                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
34'角球开出来，被门将抢先打出！！                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
34'门德斯再抢，手球违例！！                   31'皇马第31分钟打破僵局，本泽马直传，卡瓦哈尔禁区右侧突破传中，无人防守的本泽马10码处左脚抽射入网
48'托克罗右路拿球，斜传到后点                   48'阿拉维斯第48分钟险些扳平，托克罗右路传中，卡西利亚出击在马努-加西亚干扰下错过皮球，西奥禁区左侧传射，戴维森近距离头球顶空门高出
48'卡西利亚出击，和加西亚相撞                   48'阿拉维斯第48分钟险些扳平，托克罗右路传中，卡西利亚出击在马努-加西亚干扰下错过皮球，西奥禁区左侧传射，戴维森近距离头球顶空门高出
48'裁判没吹，特奥左路拿球                   48'阿拉维斯第48分钟险些扳平，托克罗右路传中，卡西利亚出击在马努-加西亚干扰下错过皮球，西奥禁区左侧传射，戴维森近距离头球顶空门高出
48'左脚传中到门前，迪维森的头球轰门，顶高了一点点                   48'阿拉维斯第48分钟险些扳平，托克罗右路传中，卡西利亚出击在马努-加西亚干扰下错过皮球，西奥禁区左侧传射，戴维森近距离头球顶空门高出
49'这球如果进了，估计皇马球员要不满了！                   48'阿拉维斯第48分钟险些扳平，托克罗右路传中，卡西利亚出击在马努-加西亚干扰下错过皮球，西奥禁区左侧传射，戴维森近距离头球顶空门高出
49'之前加西亚禁区抢点，直接冲撞了卡西利亚                   48'阿拉维斯第48分钟险些扳平，托克罗右路传中，卡西利亚出击在马努-加西亚干扰下错过皮球，西奥禁区左侧传射，戴维森近距离头球顶空门高出
51'卡瓦哈尔右路防守，身后踢倒了门德斯，犯规！！                   48'阿拉维斯第48分钟险些扳平，托克罗右路传中，卡西利亚出击在马努-加西亚干扰下错过皮球，西奥禁区左侧传射，戴维森近距离头球顶空门高出
51'皇马后场抢断，过顶长传前场打身后                   48'阿拉维斯第48分钟险些扳平，托克罗右路传中，卡西利亚出击在马努-加西亚干扰下错过皮球，西奥禁区左侧传射，戴维森近距离头球顶空门高出
51'球的力量太大，帕切科出击，抢在上来的贝尔之前，将球拿到                   48'阿拉维斯第48分钟险些扳平，托克罗右路传中，卡西利亚出击在马努-加西亚干扰下错过皮球，西奥禁区左侧传射，戴维森近距离头球顶空门高出
51'卡瓦哈尔中场争抢头球，撞翻了加西亚，犯规！                   48'阿拉维斯第48分钟险些扳平，托克罗右路传中，卡西利亚出击在马努-加西亚干扰下错过皮球，西奥禁区左侧传射，戴维森近距离头球顶空门高出
60'特奥左路拿球，斜传到后点                   60'阿拉维斯第60分钟再次错过机会，费达尔左路传中，无人防守的埃德加远点10码处射远角稍稍偏出，戴维森和伊拜近距离铲射均错过皮球
60'门德斯插上完全空挡，推射远角，打偏啦！！                   60'阿拉维斯第60分钟再次错过机会，费达尔左路传中，无人防守的埃德加远点10码处射远角稍稍偏出，戴维森和伊拜近距离铲射均错过皮球
60'这么好的机会，竟然直接踢出了底线！！                   60'阿拉维斯第60分钟再次错过机会，费达尔左路传中，无人防守的埃德加远点10码处射远角稍稍偏出，戴维森和伊拜近距离铲射均错过皮球
61'托克罗右路拿球，强突传中到后点                   60'阿拉维斯第60分钟再次错过机会，费达尔左路传中，无人防守的埃德加远点10码处射远角稍稍偏出，戴维森和伊拜近距离铲射均错过皮球
62'迪维森好卡瓦哈尔禁区抢点，前者摔倒在地                   60'阿拉维斯第60分钟再次错过机会，费达尔左路传中，无人防守的埃德加远点10码处射远角稍稍偏出，戴维森和伊拜近距离铲射均错过皮球
