1'比赛开始了，希洪竞技开球                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
1'希洪竞技从画面左侧向右侧进攻，巴萨从右侧向左侧进攻                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
1'巴萨后场倒脚，希洪的球员上抢非常快                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
2'后场皮克交给罗贝托，有人受伤倒地了。是谁，左后卫迪涅                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
2'乔普前场逼抢蹬踏了迪涅，迪涅一瘸一拐走下去                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
2'希洪竞技今天开场太猛了，不到1分钟啊，就把迪涅干掉了                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
3'希洪竞技左侧发动进攻，布斯克茨把球断下                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
3'后场给到图兰，给到左路内马尔                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
3'内马尔边线推进，在给到图兰，对手连拉带拽难以阻挡图兰                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
3'前场内马尔再度接应，突破遭遇包夹被断                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
3'内马尔反抢犯规                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
4'巴萨中场组织进攻，给到拉菲尼亚，在给马蒂厄，内马尔回撤接应                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
4'巴萨整体压上，右路皮克交给罗贝托，被布尔吉断下                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
4'布尔吉自己往前打反击，推进到前场，摔倒了，裁判没吹                   1'希洪第1分钟的紧逼给巴萨的进攻组织制造麻烦
21'大禁区线上，由罗德里格斯来踢                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
21'大力的爆射，球被人墙封堵出来                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
21'左侧劳拉把球拿好，在传中进去，前点被特尔施特根没收                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
22'镜头再次给到特尔施特根，小伙子要稳点嘛，哈                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
22'巴萨来回的转移，调动对手防线                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
22'皮克右侧直塞，拉菲尼亚下底制造角球                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
22'角球开出，前点被对手挡出                   21'第21分钟，特尔施特根出击接高球时在禁区边缘外手球犯规，维克托任意球射门被巴萨人墙挡出
