1'上半场比赛开始                   1'皇马第1分钟就展开积极攻势
1'首先由白衣白裤的皇马开球，从画面的左侧向右进攻                   1'皇马第1分钟就展开积极攻势
2'阿尔梅里亚中场的斜传球到禁区，第一点被瓦拉内头球解围                   1'皇马第1分钟就展开积极攻势
2'阿尔梅里亚目前排名积分榜第17位 ，保级压力很大哦                   1'皇马第1分钟就展开积极攻势
3'贝尔萨后场拿球，斜传球给到门德斯                   1'皇马第1分钟就展开积极攻势
3'门德斯背身停球，挑球过人，手球违例                   1'皇马第1分钟就展开积极攻势
3'J罗前场左路拿球，斜传球到后点找C罗                   1'皇马第1分钟就展开积极攻势
4'C罗稍微慢了点，没能在第一时间将球拿到                   1'皇马第1分钟就展开积极攻势
4'好在球出底线前，C罗还是拿球，回传阿韦洛亚                   1'皇马第1分钟就展开积极攻势
4'阿韦洛亚横传伊利亚拉门迪，伊利亚拉门迪斜传球到后点，被马丁内斯出击拿到                   1'皇马第1分钟就展开积极攻势
6'赫塞停球没停好，被后卫上前一步断掉                   6'6分钟后，C-罗纳尔多左路任意球直接射门仍然高出
6'J罗前场拿球，直塞给到小豌豆                   6'6分钟后，C-罗纳尔多左路任意球直接射门仍然高出
7'小豌豆背身拿球，脚后跟过度球找C罗                   6'6分钟后，C-罗纳尔多左路任意球直接射门仍然高出
7'C罗准备不足，球被后卫纳瓦诺控制                   6'6分钟后，C-罗纳尔多左路任意球直接射门仍然高出
7'阿韦洛亚中场抢断，过度球给到C罗                   6'6分钟后，C-罗纳尔多左路任意球直接射门仍然高出
7'C罗停球一晃，起脚打门，被马丁内斯扑出底线                   6'6分钟后，C-罗纳尔多左路任意球直接射门仍然高出
8'皇马获得左侧角球机会，J罗主罚                   6'6分钟后，C-罗纳尔多左路任意球直接射门仍然高出
8'J罗开出到禁区中路，C罗高高跃起，头球顶高                   6'6分钟后，C-罗纳尔多左路任意球直接射门仍然高出
9'伊利亚拉门迪中场拿球，斜塞右侧给阿韦洛亚                   6'6分钟后，C-罗纳尔多左路任意球直接射门仍然高出
9'阿韦洛亚面对逼抢，选择回传佩佩控制                   6'6分钟后，C-罗纳尔多左路任意球直接射门仍然高出
49'赫塞底线内切，接着起球，被后卫头球解围出底线                   49'皇马第49分钟扩大比分，克罗斯禁区右侧传中C-罗纳尔多，多斯-桑托斯封铲解围不慎自摆乌龙，2-0
49'皇马获得右侧角球机会，第一点被防守球员解围                   49'皇马第49分钟扩大比分，克罗斯禁区右侧传中C-罗纳尔多，多斯-桑托斯封铲解围不慎自摆乌龙，2-0
49'皇马再进一个，2-0！！！                   49'皇马第49分钟扩大比分，克罗斯禁区右侧传中C-罗纳尔多，多斯-桑托斯封铲解围不慎自摆乌龙，2-0
50'多斯桑托斯的乌龙大礼！！！                   49'皇马第49分钟扩大比分，克罗斯禁区右侧传中C-罗纳尔多，多斯-桑托斯封铲解围不慎自摆乌龙，2-0
51'克罗斯禁区右侧拿球，低平球横传门前，越过马丁内斯，C罗和多斯桑托斯争抢，后者铲球铲进自己大门！！！                   49'皇马第49分钟扩大比分，克罗斯禁区右侧传中C-罗纳尔多，多斯-桑托斯封铲解围不慎自摆乌龙，2-0
52'皇马进球后，字幕打出C罗的进球，C罗摇着手指示意不是自己进球，最后字幕也是改了，有意思哦                   49'皇马第49分钟扩大比分，克罗斯禁区右侧传中C-罗纳尔多，多斯-桑托斯封铲解围不慎自摆乌龙，2-0
52'皇马前场进攻，赢得左侧的任意球机会                   49'皇马第49分钟扩大比分，克罗斯禁区右侧传中C-罗纳尔多，多斯-桑托斯封铲解围不慎自摆乌龙，2-0
52'J罗任意球斜传禁区，并未形成威胁                   49'皇马第49分钟扩大比分，克罗斯禁区右侧传中C-罗纳尔多，多斯-桑托斯封铲解围不慎自摆乌龙，2-0
84'阿韦洛亚的倒地铲射破门！！！                   84'皇马第84分钟锁定胜局，伊斯科直传，埃尔南德斯禁区左侧传中，鲁文拦截落空，阿韦罗亚抢在C-罗纳尔多之前铲射空门入网，3-0
85'伊斯科禁区外直塞给到小豌豆，小豌豆小禁区左侧横传球到后点，阿韦洛亚抢在C罗之前铲射破门！！！                   84'皇马第84分钟锁定胜局，伊斯科直传，埃尔南德斯禁区左侧传中，鲁文拦截落空，阿韦罗亚抢在C-罗纳尔多之前铲射空门入网，3-0
85'之前多斯桑托斯的乌龙也是拦截了C罗的射门，这次又被阿韦洛亚抢先，C罗很是郁闷啊                   84'皇马第84分钟锁定胜局，伊斯科直传，埃尔南德斯禁区左侧传中，鲁文拦截落空，阿韦罗亚抢在C-罗纳尔多之前铲射空门入网，3-0
86'C罗前场拿球，斜传球找小豌豆                   84'皇马第84分钟锁定胜局，伊斯科直传，埃尔南德斯禁区左侧传中，鲁文拦截落空，阿韦罗亚抢在C-罗纳尔多之前铲射空门入网，3-0
86'小豌豆的凌空打门，踢飞                   84'皇马第84分钟锁定胜局，伊斯科直传，埃尔南德斯禁区左侧传中，鲁文拦截落空，阿韦罗亚抢在C-罗纳尔多之前铲射空门入网，3-0
87'阿尔梅里亚前场进攻，赢得右侧角球，并未形成威胁                   84'皇马第84分钟锁定胜局，伊斯科直传，埃尔南德斯禁区左侧传中，鲁文拦截落空，阿韦罗亚抢在C-罗纳尔多之前铲射空门入网，3-0
