4'1-0！！！                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
4'瓦伦西亚！！！                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
4'马蒂奇左路起球送禁区前沿，禁区外围瓦伦西亚停球后直接爆射一脚直挂死角！！                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
4'太漂亮了                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
6'卢卡库这边身体似乎有些不适                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
6'本场比赛博格巴因伤缺阵，拉什福德、费莱尼、琼斯、拜利和瓦伦西亚轮换出场                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
7'曼联前场左路拿球                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
7'马塔左路下底                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
7'禁区中路先被后卫顶出来                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
7'曼联中场重新控球                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
7'卢卡库左路拿球被破坏                   4'曼联第4分钟取得领先，马蒂奇横传，瓦伦西亚右路禁区边缘外第一时间抽射入网
26'直面门将，推射远角，打偏了！！                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
26'曼联也是错过了扩大比分的机会                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
26'埃弗顿这边前场又是获得任意球                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
26'任意球给到点球点附近                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
26'迈克尔-基恩头球攻门顶偏了                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
27'鲁尼前场拿球                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
27'传球没给过去                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
28'埃弗顿拿球给到右路                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
28'边路起球送禁区                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
28'汤姆-戴维斯禁区内俯身冲顶被德赫亚用腿挡出！！                   26'曼联第26分钟又错过扩大比分机会，迈克尔-基恩后场横传，马塔拦截后传球，卢卡库闪过威廉姆斯防守后10码处单刀射门偏出，穆里尼奥在场边非常懊恼
