3'伊比尼任意球开后点，划门而过出了底线                   3'第3分钟曹S定中路突破蔡慧康，但在过阿多时趟球过大，被颜骏凌抢先出击拿到
3'哈蒂布左路拿球回敲没有找到队友                   3'第3分钟曹S定中路突破蔡慧康，但在过阿多时趟球过大，被颜骏凌抢先出击拿到
4'申花把球转移后场，斯基亚维长传落点不佳                   3'第3分钟曹S定中路突破蔡慧康，但在过阿多时趟球过大，被颜骏凌抢先出击拿到
4'曹赟定前场反抢，但是趟球进禁区趟大了                   3'第3分钟曹S定中路突破蔡慧康，但在过阿多时趟球过大，被颜骏凌抢先出击拿到
4'蔡慧康把球转移右路，伊比尼突破被王长庆防守下来                   3'第3分钟曹S定中路突破蔡慧康，但在过阿多时趟球过大，被颜骏凌抢先出击拿到
5'莫雷诺后场让球转身，傅欢解围出边线                   3'第3分钟曹S定中路突破蔡慧康，但在过阿多时趟球过大，被颜骏凌抢先出击拿到
5'王长庆后场长传被蔡慧康头球顶出解围                   3'第3分钟曹S定中路突破蔡慧康，但在过阿多时趟球过大，被颜骏凌抢先出击拿到
6'托兰佐中场丢球，上港转移左路                   3'第3分钟曹S定中路突破蔡慧康，但在过阿多时趟球过大，被颜骏凌抢先出击拿到
6'王燊超左路突破被戴琳卡住身位，球让出了边线                   3'第3分钟曹S定中路突破蔡慧康，但在过阿多时趟球过大，被颜骏凌抢先出击拿到
10'王长庆斜传禁区，战怡麟斜插越位了                   10'第10分钟，武磊左路拿球，戴琳上前拦截，武磊漂亮闪过戴琳铲球，接着拉开架势一脚怒射，但早有准备的王大雷飞身把球扑出
10'托兰佐中场拿球斜传身后，球到禁区被颜俊凌没收                   10'第10分钟，武磊左路拿球，戴琳上前拦截，武磊漂亮闪过戴琳铲球，接着拉开架势一脚怒射，但早有准备的王大雷飞身把球扑出
11'伊比尼右路突破，传禁区前力量大了                   10'第10分钟，武磊左路拿球，戴琳上前拦截，武磊漂亮闪过戴琳铲球，接着拉开架势一脚怒射，但早有准备的王大雷飞身把球扑出
11'汪佳捷传左路身后，武磊拿好球内切                   10'第10分钟，武磊左路拿球，戴琳上前拦截，武磊漂亮闪过戴琳铲球，接着拉开架势一脚怒射，但早有准备的王大雷飞身把球扑出
11'武磊禁区前拉开空当，拔脚怒射被王大雷倒地扑出！                   10'第10分钟，武磊左路拿球，戴琳上前拦截，武磊漂亮闪过戴琳铲球，接着拉开架势一脚怒射，但早有准备的王大雷飞身把球扑出
12'托兰佐中场护球，交给后防线的队友                   10'第10分钟，武磊左路拿球，戴琳上前拦截，武磊漂亮闪过戴琳铲球，接着拉开架势一脚怒射，但早有准备的王大雷飞身把球扑出
13'上港左路小范围传接，孙凯球传出了界外                   10'第10分钟，武磊左路拿球，戴琳上前拦截，武磊漂亮闪过戴琳铲球，接着拉开架势一脚怒射，但早有准备的王大雷飞身把球扑出
13'战怡麟中路接应没有停好，上港反击                   10'第10分钟，武磊左路拿球，戴琳上前拦截，武磊漂亮闪过戴琳铲球，接着拉开架势一脚怒射，但早有准备的王大雷飞身把球扑出
13'武磊找右路的伊比尼，后者球没有停好                   10'第10分钟，武磊左路拿球，戴琳上前拦截，武磊漂亮闪过戴琳铲球，接着拉开架势一脚怒射，但早有准备的王大雷飞身把球扑出
14'托兰佐大范围转移左路，莫雷诺拿球                   14'第14分钟，上港沿左路快速反击，王龀带球中突然斜传到右路，武磊闪电跟进第一时间起脚射门，皮球稍稍偏出，王大雷对后卫的盯防表示不满
14'莫雷诺传中被挡，自己拿球再突被关门了                   14'第14分钟，上港沿左路快速反击，王龀带球中突然斜传到右路，武磊闪电跟进第一时间起脚射门，皮球稍稍偏出，王大雷对后卫的盯防表示不满
15'上港反击，王燊超斜传禁区前，武磊迎球直接抽射近角稍稍偏出！                   14'第14分钟，上港沿左路快速反击，王龀带球中突然斜传到右路，武磊闪电跟进第一时间起脚射门，皮球稍稍偏出，王大雷对后卫的盯防表示不满
15'王大雷球门球直接开出了边线                   14'第14分钟，上港沿左路快速反击，王龀带球中突然斜传到右路，武磊闪电跟进第一时间起脚射门，皮球稍稍偏出，王大雷对后卫的盯防表示不满
16'申花后场捣球控制节奏                   14'第14分钟，上港沿左路快速反击，王龀带球中突然斜传到右路，武磊闪电跟进第一时间起脚射门，皮球稍稍偏出，王大雷对后卫的盯防表示不满
16'莫雷诺斜传右路身后，孙凯头球解围                   14'第14分钟，上港沿左路快速反击，王龀带球中突然斜传到右路，武磊闪电跟进第一时间起脚射门，皮球稍稍偏出，王大雷对后卫的盯防表示不满
17'傅欢右路拿球推进，找伊比尼配合                   14'第14分钟，上港沿左路快速反击，王龀带球中突然斜传到右路，武磊闪电跟进第一时间起脚射门，皮球稍稍偏出，王大雷对后卫的盯防表示不满
17'麦克布雷恩回撤出来拿球，伊比尼接应再走内线突破被断                   14'第14分钟，上港沿左路快速反击，王龀带球中突然斜传到右路，武磊闪电跟进第一时间起脚射门，皮球稍稍偏出，王大雷对后卫的盯防表示不满
17'莫雷诺后场长传禁区前，颜俊凌出击把球解围                   14'第14分钟，上港沿左路快速反击，王龀带球中突然斜传到右路，武磊闪电跟进第一时间起脚射门，皮球稍稍偏出，王大雷对后卫的盯防表示不满
25'伊比尼右路内切，起左脚传被斯基亚维头球解围                   25'第25分钟本场状态回升不少的伊比尼从右路开始突破内切，在连续摆脱两名申花队员横向拦截之后，伊比尼突然起左脚怒射，可惜打得太正，被王大雷轻松接住
26'戴琳右路挑传球先出了边线                   25'第25分钟本场状态回升不少的伊比尼从右路开始突破内切，在连续摆脱两名申花队员横向拦截之后，伊比尼突然起左脚怒射，可惜打得太正，被王大雷轻松接住
26'伊比尼右路转身突破，低平球传中被李建滨解围                   25'第25分钟本场状态回升不少的伊比尼从右路开始突破内切，在连续摆脱两名申花队员横向拦截之后，伊比尼突然起左脚怒射，可惜打得太正，被王大雷轻松接住
