11'多利拉传中，汪嵩回防把球断下！                   11'第11分钟，拉蒙为绿城赢得中路任意球，汪嵩远射打偏
11'曹海清带球，斜传马塞纳                   11'第11分钟，拉蒙为绿城赢得中路任意球，汪嵩远射打偏
12'阿甘前场带球突破，被两人包夹把球断下                   11'第11分钟，拉蒙为绿城赢得中路任意球，汪嵩远射打偏
12'陈中流中场带球斜传，找到王林                   11'第11分钟，拉蒙为绿城赢得中路任意球，汪嵩远射打偏
12'绿城再找阿甘，被破坏                   11'第11分钟，拉蒙为绿城赢得中路任意球，汪嵩远射打偏
13'拉蒙背身拿球，被放倒再低                   11'第11分钟，拉蒙为绿城赢得中路任意球，汪嵩远射打偏
13'汪嵩前场主罚任意球，可惜打偏了！                   11'第11分钟，拉蒙为绿城赢得中路任意球，汪嵩远射打偏
13'回忆过去痛苦的相思难忘了 :唉,两边都可怜,都那一分吧————真是都不容易                   11'第11分钟，拉蒙为绿城赢得中路任意球，汪嵩远射打偏
15'绿城过顶传球找到马塞纳，马塞纳有射门机会，但是选择了传中！没有人接应，球被破坏！                   14'第14分钟，拉蒙挑传右翼空档，马塞纳切入禁区后传中过急，皮球划过毅腾门前
15'这个球应该选择射门的啊~                   14'第14分钟，拉蒙挑传右翼空档，马塞纳切入禁区后传中过急，皮球划过毅腾门前
16'毅腾右路传中，10号多利头球冲顶！                   14'第14分钟，拉蒙挑传右翼空档，马塞纳切入禁区后传中过急，皮球划过毅腾门前
16'还好门将发挥出色！这个球很有威胁啊~                   14'第14分钟，拉蒙挑传右翼空档，马塞纳切入禁区后传中过急，皮球划过毅腾门前
17'门将顾超在门线上飞身把球救出                   14'第14分钟，拉蒙挑传右翼空档，马塞纳切入禁区后传中过急，皮球划过毅腾门前
17'门将顾超在门线上飞身把球救出                   17'此后毅腾持续冲击逐步形成优势局面，第17分钟，毅腾右路传中再度制造威胁，但里卡多门前抢点攻门未能打正部位，绿城防线解围后亚当-休斯外围得球又迅速斜传禁区，多利侧身攻门仍未打上力量
18'汪嵩前场突破直塞打身后，阿甘越位了！                   17'此后毅腾持续冲击逐步形成优势局面，第17分钟，毅腾右路传中再度制造威胁，但里卡多门前抢点攻门未能打正部位，绿城防线解围后亚当-休斯外围得球又迅速斜传禁区，多利侧身攻门仍未打上力量
19'毅腾刚在绿城门前制造了很大的混乱啊，可惜都没能把握住机会，连续三脚射门都毫无威胁                   17'此后毅腾持续冲击逐步形成优势局面，第17分钟，毅腾右路传中再度制造威胁，但里卡多门前抢点攻门未能打正部位，绿城防线解围后亚当-休斯外围得球又迅速斜传禁区，多利侧身攻门仍未打上力量
19'用户vxfb0f8qgr :顾超这个赛季表现出色，应该进国家队的节奏啊————希望新星涌现啊~                   17'此后毅腾持续冲击逐步形成优势局面，第17分钟，毅腾右路传中再度制造威胁，但里卡多门前抢点攻门未能打正部位，绿城防线解围后亚当-休斯外围得球又迅速斜传禁区，多利侧身攻门仍未打上力量
20'毅腾前场断球后快攻！谭龙漂亮的晃人，但是射门的一脚软了！                   17'此后毅腾持续冲击逐步形成优势局面，第17分钟，毅腾右路传中再度制造威胁，但里卡多门前抢点攻门未能打正部位，绿城防线解围后亚当-休斯外围得球又迅速斜传禁区，多利侧身攻门仍未打上力量
25'回忆过去痛苦的相思难忘了 :一个是年龄上的年轻,一个是比赛历练年轻,两支稚嫩的队伍。。————看哪支球队能把握住机会                   25'第25分钟，阿甘与拉蒙强行渗透入毅腾禁区，但传递过多最终被福福解围
25'奋斗fighting90 :临门一脚还有所欠缺啊————是啊，之前倒脚配合都很不错                   25'第25分钟，阿甘与拉蒙强行渗透入毅腾禁区，但传递过多最终被福福解围
26'绿城突入禁区，禁区内一片乱战                   25'第25分钟，阿甘与拉蒙强行渗透入毅腾禁区，但传递过多最终被福福解围
26'阿甘背身拿球，没有转身射门机会，球被破坏                   25'第25分钟，阿甘与拉蒙强行渗透入毅腾禁区，但传递过多最终被福福解围
27'马塞纳前场连过两人，直塞给队友，可惜没能拿住球                   25'第25分钟，阿甘与拉蒙强行渗透入毅腾禁区，但传递过多最终被福福解围
46'太大力了。。！今天双方前锋都太想进球了，力量十足！球飞出底线！                   46'1分钟后罗德瑞格再度策动毅腾快攻，但多利禁区线附近趟球失误，刘小龙外围再射被封堵
46'毅腾反击射门被门将没收                   46'1分钟后罗德瑞格再度策动毅腾快攻，但多利禁区线附近趟球失误，刘小龙外围再射被封堵
46'上半场补时1分钟                   46'1分钟后罗德瑞格再度策动毅腾快攻，但多利禁区线附近趟球失误，刘小龙外围再射被封堵
47'绿城前场获得一个任意球，这是上半场最后一次进攻了吧                   46'1分钟后罗德瑞格再度策动毅腾快攻，但多利禁区线附近趟球失误，刘小龙外围再射被封堵
47'球没开出来，被毅腾把球挡出！                   46'1分钟后罗德瑞格再度策动毅腾快攻，但多利禁区线附近趟球失误，刘小龙外围再射被封堵
47'裁判哨响！                   46'1分钟后罗德瑞格再度策动毅腾快攻，但多利禁区线附近趟球失误，刘小龙外围再射被封堵
47'上半场比赛结束！                   46'1分钟后罗德瑞格再度策动毅腾快攻，但多利禁区线附近趟球失误，刘小龙外围再射被封堵
48'双方上半场都没能把握住机会，0-0的比分                   46'1分钟后罗德瑞格再度策动毅腾快攻，但多利禁区线附近趟球失误，刘小龙外围再射被封堵
48'毅腾是上个赛季中甲第几名呢？[qiangda]                   46'1分钟后罗德瑞格再度策动毅腾快攻，但多利禁区线附近趟球失误，刘小龙外围再射被封堵
44'许东拿着冰敷袋到场边休息                   44'胶着至第44分钟，绿城形成上半场最具威胁的攻势，拉蒙将球打入毅腾禁区左侧后，阿甘扣球摆脱防守，面对门将小角度劲射将球打飞
45'绿城前场断球，反击中阿甘连过两人，拔脚怒射！                   44'胶着至第44分钟，绿城形成上半场最具威胁的攻势，拉蒙将球打入毅腾禁区左侧后，阿甘扣球摆脱防守，面对门将小角度劲射将球打飞
46'太大力了。。！今天双方前锋都太想进球了，力量十足！球飞出底线！                   44'胶着至第44分钟，绿城形成上半场最具威胁的攻势，拉蒙将球打入毅腾禁区左侧后，阿甘扣球摆脱防守，面对门将小角度劲射将球打飞
46'毅腾反击射门被门将没收                   44'胶着至第44分钟，绿城形成上半场最具威胁的攻势，拉蒙将球打入毅腾禁区左侧后，阿甘扣球摆脱防守，面对门将小角度劲射将球打飞
46'上半场补时1分钟                   44'胶着至第44分钟，绿城形成上半场最具威胁的攻势，拉蒙将球打入毅腾禁区左侧后，阿甘扣球摆脱防守，面对门将小角度劲射将球打飞
47'绿城前场获得一个任意球，这是上半场最后一次进攻了吧                   44'胶着至第44分钟，绿城形成上半场最具威胁的攻势，拉蒙将球打入毅腾禁区左侧后，阿甘扣球摆脱防守，面对门将小角度劲射将球打飞
47'球没开出来，被毅腾把球挡出！                   44'胶着至第44分钟，绿城形成上半场最具威胁的攻势，拉蒙将球打入毅腾禁区左侧后，阿甘扣球摆脱防守，面对门将小角度劲射将球打飞
47'裁判哨响！                   44'胶着至第44分钟，绿城形成上半场最具威胁的攻势，拉蒙将球打入毅腾禁区左侧后，阿甘扣球摆脱防守，面对门将小角度劲射将球打飞
