4'萨索洛的反击，分到右路，桑德罗的上抢                   4'尤文第4分钟取得梦幻开局
4'中路洛伦佐的分球，传中，被基耶利尼破坏，角球                   4'尤文第4分钟取得梦幻开局
5'战术角球开出，皮亚尼奇断球了，直塞伊瓜因！                   4'尤文第4分钟取得梦幻开局
5'高速带球！进入禁区打门！球进了近角，1：0                   4'尤文第4分钟取得梦幻开局
6'刚刚是皮亚尼奇中路的断球，给到迪巴拉，迪巴拉的直塞                   4'尤文第4分钟取得梦幻开局
6'萨索洛的进攻，直塞找前场，博努奇的铲球破坏                   4'尤文第4分钟取得梦幻开局
7'开场才6分钟，尤文已经1：0领先了                   4'尤文第4分钟取得梦幻开局
7'分到左路，利希斯泰纳的破坏，界外球掷出，直接出了界，门球                   4'尤文第4分钟取得梦幻开局
27'分到左路，波利塔纳分到左路，没能停好球                   27'尤文第27分钟再添一分，迪巴拉右路反越位单刀突入禁区被绊倒，主裁判没有中断比赛，利希施泰纳右路传中，皮亚尼奇在门前10米处甩头攻门击中横梁弹回，但他接着推射入网，3比0
27'中路的挑传，迪巴拉进入禁区，内切，倒地了                   27'尤文第27分钟再添一分，迪巴拉右路反越位单刀突入禁区被绊倒，主裁判没有中断比赛，利希施泰纳右路传中，皮亚尼奇在门前10米处甩头攻门击中横梁弹回，但他接着推射入网，3比0
28'裁判没吹，后卫解围没解围远，传中，头球！顶在门梁，皮亚尼奇补射！3：0                   27'尤文第27分钟再添一分，迪巴拉右路反越位单刀突入禁区被绊倒，主裁判没有中断比赛，利希施泰纳右路传中，皮亚尼奇在门前10米处甩头攻门击中横梁弹回，但他接着推射入网，3比0
28'才27分钟，已经3：0了，萨索洛的球员有点不知所措的感觉                   27'尤文第27分钟再添一分，迪巴拉右路反越位单刀突入禁区被绊倒，主裁判没有中断比赛，利希施泰纳右路传中，皮亚尼奇在门前10米处甩头攻门击中横梁弹回，但他接着推射入网，3比0
29'尤文继续吊入禁区，一片混战，被解围出，布冯出击得到                   27'尤文第27分钟再添一分，迪巴拉右路反越位单刀突入禁区被绊倒，主裁判没有中断比赛，利希施泰纳右路传中，皮亚尼奇在门前10米处甩头攻门击中横梁弹回，但他接着推射入网，3比0
30'分到右路，二过一，失败了，中场迪巴拉反抢，犯规了                   27'尤文第27分钟再添一分，迪巴拉右路反越位单刀突入禁区被绊倒，主裁判没有中断比赛，利希施泰纳右路传中，皮亚尼奇在门前10米处甩头攻门击中横梁弹回，但他接着推射入网，3比0
68'直塞禁区，伊瓜因没能拿到，可惜了                   68'尤文第68分钟错失必进球，阿莱士-桑德罗左路低传，伊瓜因前点左脚扫射没打上力量，但这脚射门却变成助攻，利希施泰纳在门前7米处单刀左脚推射被孔西利封出，得球再射又遭后卫围堵
69'萨索洛的反击，佩鲁索没能拿到                   68'尤文第68分钟错失必进球，阿莱士-桑德罗左路低传，伊瓜因前点左脚扫射没打上力量，但这脚射门却变成助攻，利希施泰纳在门前7米处单刀左脚推射被孔西利封出，得球再射又遭后卫围堵
69'换下了伊瓜因，换上曼朱！                   68'尤文第68分钟错失必进球，阿莱士-桑德罗左路低传，伊瓜因前点左脚扫射没打上力量，但这脚射门却变成助攻，利希施泰纳在门前7米处单刀左脚推射被孔西利封出，得球再射又遭后卫围堵
70'尤文直塞前场，赫迪拉分到右路，很空啊，利希斯泰纳传中，被挡出                   68'尤文第68分钟错失必进球，阿莱士-桑德罗左路低传，伊瓜因前点左脚扫射没打上力量，但这脚射门却变成助攻，利希施泰纳在门前7米处单刀左脚推射被孔西利封出，得球再射又遭后卫围堵
70'赫迪拉抢断，手球了                   68'尤文第68分钟错失必进球，阿莱士-桑德罗左路低传，伊瓜因前点左脚扫射没打上力量，但这脚射门却变成助攻，利希施泰纳在门前7米处单刀左脚推射被孔西利封出，得球再射又遭后卫围堵
71'中路直塞，好球，打门，打在门柱上!尤文的反击                   68'尤文第68分钟错失必进球，阿莱士-桑德罗左路低传，伊瓜因前点左脚扫射没打上力量，但这脚射门却变成助攻，利希施泰纳在门前7米处单刀左脚推射被孔西利封出，得球再射又遭后卫围堵
88'直塞禁区，单刀了，晃开布冯打门！师太门前解围！门线解围啊！                   88'皮亚察换下迪巴拉，随即卸下过顶球横传，迪巴拉准备推射空门，但阿切尔比抢先破坏，萨索洛第88分钟险些再追1球，马尼亚内利直传过顶，波利塔诺禁区右侧趟过布冯，小角度射门被回追到门线附近的利希施泰纳破坏
88'尤文的反击，直塞前场，基耶利尼被踢到了，任意球，皮亚尼奇                   88'皮亚察换下迪巴拉，随即卸下过顶球横传，迪巴拉准备推射空门，但阿切尔比抢先破坏，萨索洛第88分钟险些再追1球，马尼亚内利直传过顶，波利塔诺禁区右侧趟过布冯，小角度射门被回追到门线附近的利希施泰纳破坏
89'后点，被顶出                   88'皮亚察换下迪巴拉，随即卸下过顶球横传，迪巴拉准备推射空门，但阿切尔比抢先破坏，萨索洛第88分钟险些再追1球，马尼亚内利直传过顶，波利塔诺禁区右侧趟过布冯，小角度射门被回追到门线附近的利希施泰纳破坏
89'桑德罗拿球，两人围抢，被断了                   88'皮亚察换下迪巴拉，随即卸下过顶球横传，迪巴拉准备推射空门，但阿切尔比抢先破坏，萨索洛第88分钟险些再追1球，马尼亚内利直传过顶，波利塔诺禁区右侧趟过布冯，小角度射门被回追到门线附近的利希施泰纳破坏
90'后场大脚，中路勒米纳的犯规                   88'皮亚察换下迪巴拉，随即卸下过顶球横传，迪巴拉准备推射空门，但阿切尔比抢先破坏，萨索洛第88分钟险些再追1球，马尼亚内利直传过顶，波利塔诺禁区右侧趟过布冯，小角度射门被回追到门线附近的利希施泰纳破坏
90'直塞到禁区，布冯得到，师太的大脚解围                   88'皮亚察换下迪巴拉，随即卸下过顶球横传，迪巴拉准备推射空门，但阿切尔比抢先破坏，萨索洛第88分钟险些再追1球，马尼亚内利直传过顶，波利塔诺禁区右侧趟过布冯，小角度射门被回追到门线附近的利希施泰纳破坏
91'伤停补时6分钟                   88'皮亚察换下迪巴拉，随即卸下过顶球横传，迪巴拉准备推射空门，但阿切尔比抢先破坏，萨索洛第88分钟险些再追1球，马尼亚内利直传过顶，波利塔诺禁区右侧趟过布冯，小角度射门被回追到门线附近的利希施泰纳破坏
91'传中，米西罗利头球，稍稍偏出                   88'皮亚察换下迪巴拉，随即卸下过顶球横传，迪巴拉准备推射空门，但阿切尔比抢先破坏，萨索洛第88分钟险些再追1球，马尼亚内利直传过顶，波利塔诺禁区右侧趟过布冯，小角度射门被回追到门线附近的利希施泰纳破坏
91'皮亚尼奇分边，直塞失误了                   88'皮亚察换下迪巴拉，随即卸下过顶球横传，迪巴拉准备推射空门，但阿切尔比抢先破坏，萨索洛第88分钟险些再追1球，马尼亚内利直传过顶，波利塔诺禁区右侧趟过布冯，小角度射门被回追到门线附近的利希施泰纳破坏
