1'随着主裁判一声哨响，上半场比赛开始                   1'绿城队第1分钟便占据优势
1'力帆率先进攻                   1'绿城队第1分钟便占据优势
1'今天力帆穿的客场球衣红色                   1'绿城队第1分钟便占据优势
1'绿城身穿绿色球衣                   1'绿城队第1分钟便占据优势
1'吴庆突破传球，球被防守球员大脚解围                   1'绿城队第1分钟便占据优势
2'王栋前场停球，么停稳，失误                   1'绿城队第1分钟便占据优势
2'绿城反击，打到前场找加比奥内塔                   1'绿城队第1分钟便占据优势
3'没机会再给中场陈中流，球被力帆球员破坏出去                   1'绿城队第1分钟便占据优势
3'绿城后场倒球                   1'绿城队第1分钟便占据优势
3'力帆积极上抢，吉利奥蒂断球，反击gogogo                   1'绿城队第1分钟便占据优势
3'吉利奥蒂自己带球，带到禁区前沿，远射                   1'绿城队第1分钟便占据优势
4'球打得太正，直接被张磊抱住                   1'绿城队第1分钟便占据优势
4'陈柏良想直塞球找卡希尔，球力量大了，出了底线                   1'绿城队第1分钟便占据优势
4'邓小飞大脚开出来，头球争顶                   1'绿城队第1分钟便占据优势
4'球出界，力帆球权                   1'绿城队第1分钟便占据优势
13'开场12分钟左右，双方还是在试探                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
13'边路进攻，吴范锡给到卡希尔，再给陈柏良，打门了                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
13'打偏了，不过这球打的还是非常有自信的                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
13'邓小飞大脚开出来，头球争抢                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
14'球来到张磊脚下，后后卫之间传球                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
14'陈中流带球突破，内切后来一脚射门                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
14'弧线不够，稍稍偏出                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
14'这段时间绿城进攻打的有声有色呀                   13'第13分钟绿城队左路传中，后点卡希尔将球卸下来回做，陈柏良跟进大力抽射稍稍偏出
