1'上半场比赛开始！                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
1'首先开球的是天津泰达                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
1'国安队中场拦截的时候犯规                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
1'马季奇上来拼的很凶                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
1'马季奇以前也是在天津泰达效力过                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
2'泰达前场拿球给到左路                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
2'禁区前沿的撞墙配合被断                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
3'徐云龙后场拿球给到中场                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
3'陈志钊停球有些失误，球被抢断                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
3'国安队很快在中场将球反抢回来                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
3'国安队大范围转移到右路失误了                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
3'普拉利甘吉后场大脚送到前场                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
4'马季奇出球有些犹豫                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
4'国安队禁区内停球出现了失误                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
4'直接停到了对方的脚下                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
4'禁区内倒三角传回来                   1'第1分钟泰达采取中前场高压逼抢，开局阶段对国安形成持续压制
11'国安队左路挑传到禁区内                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
11'于大宝没有停球直接侧后方抽射将球打高了                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
11'河大成中场拿球给到左路                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
11'禁区外围，德扬远射将球打偏                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
12'赵和靖中场拿球没有什么机会                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
12'这段时间国安队稍微占据主动                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
13'德扬前场停球停大了                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
13'泰达的反击机会                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
13'右路送直塞到了底线                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
13'下底给到了后点                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
13'周挺的头球解围只是蹭了一下                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
13'泰达前场再转移出了变形                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
13'泰达前场再转移出了边线                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
14'于大宝左路拿球内切后送直塞                   11'第11分钟，德扬将球挑入禁区左侧空档，于大宝凌空垫射打高
