1'上半场比赛开始！                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
1'首先开球的是巴萨                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
1'马斯切拉诺后场控球到了中场                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
1'转移到了左路给到阿德里亚诺                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
2'阿德里亚诺边路拿球没有机会将球回敲                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
2'内马尔前场拿球转移到了右路                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
2'佩德罗带球到了禁区内                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
2'晃开空挡后一脚低射，球是被迭戈-马里诺拿到                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
3'巴萨前场挑传直接送出了底线                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
3'莱万特左路拿球转移                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
4'今天莱万特身穿绿色比赛队服                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
4'长传打身后被蒙托亚头球解围                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
4'内马尔左路拿球，也是没有往前走                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
4'巴萨右路策动攻势                   1'巴萨第1分钟就控制局面，佩德罗切入禁区右侧的射门被马里尼奥救下
17'巴萨进球了！！                   17'巴萨第17分钟取得领先，梅西右路内切后斜传，反越位成功的内马尔小禁区边缘凌空垫射，皮球吊过马里尼奥飞向远角，佩德罗在门线前护送皮球入网
17'内马尔！！                   17'巴萨第17分钟取得领先，梅西右路内切后斜传，反越位成功的内马尔小禁区边缘凌空垫射，皮球吊过马里尼奥飞向远角，佩德罗在门线前护送皮球入网
19'梅西右路拿球内切后传球送禁区后点，内马尔插上后推射，球是没有踢实，但球还是飞入了球门！门线上佩德罗已经包抄到位，但并没有碰球！                   17'巴萨第17分钟取得领先，梅西右路内切后斜传，反越位成功的内马尔小禁区边缘凌空垫射，皮球吊过马里尼奥飞向远角，佩德罗在门线前护送皮球入网
38'巴萨前场反抢给到了内马尔                   38'巴萨第38分钟扩大比分，巴尔特拉前场抢断后直传，梅西禁区右肋10码处低射远角入网，2-0
38'巴萨又进球了！！                   38'巴萨第38分钟扩大比分，巴尔特拉前场抢断后直传，梅西禁区右肋10码处低射远角入网，2-0
38'梅西！！                   38'巴萨第38分钟扩大比分，巴尔特拉前场抢断后直传，梅西禁区右肋10码处低射远角入网，2-0
38'又是右脚进球                   38'巴萨第38分钟扩大比分，巴尔特拉前场抢断后直传，梅西禁区右肋10码处低射远角入网，2-0
39'梅西本赛季右脚进球进了几个？A13、B14[qiangda]                   38'巴萨第38分钟扩大比分，巴尔特拉前场抢断后直传，梅西禁区右肋10码处低射远角入网，2-0
39'巴尔特拉前场上抢断球，直接塞禁区内，梅西得球后冷静推射远角得分！                   38'巴萨第38分钟扩大比分，巴尔特拉前场抢断后直传，梅西禁区右肋10码处低射远角入网，2-0
41'巴萨前场挑传送禁区内                   38'巴萨第38分钟扩大比分，巴尔特拉前场抢断后直传，梅西禁区右肋10码处低射远角入网，2-0
41'阿德里亚诺禁区内不停球直接端中路                   38'巴萨第38分钟扩大比分，巴尔特拉前场抢断后直传，梅西禁区右肋10码处低射远角入网，2-0
41'佩德罗跟上打门被挡出                   38'巴萨第38分钟扩大比分，巴尔特拉前场抢断后直传，梅西禁区右肋10码处低射远角入网，2-0
59'巴萨又进球了！！                   59'第59分钟，布斯克茨挑传，佩德罗禁区右肋凌空垫传，梅西小禁区边缘凌空推射入网，3-0
59'3-0！！                   59'第59分钟，布斯克茨挑传，佩德罗禁区右肋凌空垫传，梅西小禁区边缘凌空推射入网，3-0
60'梅西再进一球！                   59'第59分钟，布斯克茨挑传，佩德罗禁区右肋凌空垫传，梅西小禁区边缘凌空推射入网，3-0
60'布斯克茨前场中路挑传到禁区里，佩德罗不停球直接将球打到中路，梅西跟上推射破门！                   59'第59分钟，布斯克茨挑传，佩德罗禁区右肋凌空垫传，梅西小禁区边缘凌空推射入网，3-0
61'在这之前，巴萨也还有一次机会，左路禁区内的推射稍稍偏了一点                   59'第59分钟，布斯克茨挑传，佩德罗禁区右肋凌空垫传，梅西小禁区边缘凌空推射入网，3-0
62'莱万特换人，乌切下，维克多上！                   59'第59分钟，布斯克茨挑传，佩德罗禁区右肋凌空垫传，梅西小禁区边缘凌空推射入网，3-0
