1'上半场比赛开始！！                   1'马竞第1分钟耐心控制比赛，莱斯特城则展开积极攻势
2'莱斯特后场拿球                   1'马竞第1分钟耐心控制比赛，莱斯特城则展开积极攻势
3'边路带球往前走                   1'马竞第1分钟耐心控制比赛，莱斯特城则展开积极攻势
3'马竞这边抢的很凶                   1'马竞第1分钟耐心控制比赛，莱斯特城则展开积极攻势
3'莱斯特城(4-4-2)：1-舒梅切尔；17-辛普森，5-摩根，29-贝纳罗阿尼，28-富克斯；26-马赫雷斯，4-德林沃特，25-恩迪迪，11-阿尔布莱顿；20-冈崎慎司，9-瓦尔迪                   1'马竞第1分钟耐心控制比赛，莱斯特城则展开积极攻势
4'马竞(4-5-1)：13-奥布拉克；20-胡安弗兰，15-萨维奇，2-戈丁，3-菲利佩；8-萨乌尔，14-加比，24-希门内斯，6-科凯，10-卡拉斯科；7-格列兹曼                   1'马竞第1分钟耐心控制比赛，莱斯特城则展开积极攻势
4'同首回合相比，莱斯特城中卫摩根替换胡特首发                   1'马竞第1分钟耐心控制比赛，莱斯特城则展开积极攻势
4'马竞则用希门内斯替换托雷斯出场                   1'马竞第1分钟耐心控制比赛，莱斯特城则展开积极攻势
21'莱斯特后场拿球控一下                   21'莱斯特城第21分钟错过机会，瓦尔迪禁区左侧下底传中，冈崎慎司前点小禁区前的射门偏出近角
21'攻了20分钟，莱斯特这边也是放缓了节奏                   21'莱斯特城第21分钟错过机会，瓦尔迪禁区左侧下底传中，冈崎慎司前点小禁区前的射门偏出近角
21'左路送直塞到禁区                   21'莱斯特城第21分钟错过机会，瓦尔迪禁区左侧下底传中，冈崎慎司前点小禁区前的射门偏出近角
22'瓦尔迪底线将球回敲                   21'莱斯特城第21分钟错过机会，瓦尔迪禁区左侧下底传中，冈崎慎司前点小禁区前的射门偏出近角
22'冈崎慎司跟进推射将球打偏                   21'莱斯特城第21分钟错过机会，瓦尔迪禁区左侧下底传中，冈崎慎司前点小禁区前的射门偏出近角
22'冈崎慎司打门的时候也是被干扰                   21'莱斯特城第21分钟错过机会，瓦尔迪禁区左侧下底传中，冈崎慎司前点小禁区前的射门偏出近角
23'莱斯特中场拿球给到边路                   21'莱斯特城第21分钟错过机会，瓦尔迪禁区左侧下底传中，冈崎慎司前点小禁区前的射门偏出近角
24'马赫雷斯右路带球突破被侵犯                   21'莱斯特城第21分钟错过机会，瓦尔迪禁区左侧下底传中，冈崎慎司前点小禁区前的射门偏出近角
24'莱斯特前场右路的任意球                   21'莱斯特城第21分钟错过机会，瓦尔迪禁区左侧下底传中，冈崎慎司前点小禁区前的射门偏出近角
24'任意球给到禁区                   21'莱斯特城第21分钟错过机会，瓦尔迪禁区左侧下底传中，冈崎慎司前点小禁区前的射门偏出近角
51'跟进的队友有打空门的机会                   51'莱斯特城第51分钟错过机会，齐维尔禁区左侧12码处凌空抽射稍稍高出
51'被后卫干扰了啊                   51'莱斯特城第51分钟错过机会，齐维尔禁区左侧12码处凌空抽射稍稍高出
52'马竞这边反击到是非常的犀利                   51'莱斯特城第51分钟错过机会，齐维尔禁区左侧12码处凌空抽射稍稍高出
53'莱斯特右路起球送禁区                   51'莱斯特城第51分钟错过机会，齐维尔禁区左侧12码处凌空抽射稍稍高出
53'后点齐维尔头球攻门顶偏了                   51'莱斯特城第51分钟错过机会，齐维尔禁区左侧12码处凌空抽射稍稍高出
66'莱斯特这边连续给马竞施压                   65'莱斯特城第65分钟险些反超，乌略亚混战中10码处凌空抽射被卢卡斯-埃尔南德斯在门线前封堵挡出
66'禁区外围抽射有一个折射                   65'莱斯特城第65分钟险些反超，乌略亚混战中10码处凌空抽射被卢卡斯-埃尔南德斯在门线前封堵挡出
67'乌略亚之前在禁区内抽射被后卫挡出                   65'莱斯特城第65分钟险些反超，乌略亚混战中10码处凌空抽射被卢卡斯-埃尔南德斯在门线前封堵挡出
67'乌略亚这脚打门也是非常有威胁                   65'莱斯特城第65分钟险些反超，乌略亚混战中10码处凌空抽射被卢卡斯-埃尔南德斯在门线前封堵挡出
68'马竞这边又要准备换人                   65'莱斯特城第65分钟险些反超，乌略亚混战中10码处凌空抽射被卢卡斯-埃尔南德斯在门线前封堵挡出
68'莱斯特右路突破到底线                   65'莱斯特城第65分钟险些反超，乌略亚混战中10码处凌空抽射被卢卡斯-埃尔南德斯在门线前封堵挡出
68'倒三角传回来                   65'莱斯特城第65分钟险些反超，乌略亚混战中10码处凌空抽射被卢卡斯-埃尔南德斯在门线前封堵挡出
68'瓦尔迪推射被后卫挡出                   65'莱斯特城第65分钟险些反超，乌略亚混战中10码处凌空抽射被卢卡斯-埃尔南德斯在门线前封堵挡出
68'莱斯特这边攻的很凶啊                   65'莱斯特城第65分钟险些反超，乌略亚混战中10码处凌空抽射被卢卡斯-埃尔南德斯在门线前封堵挡出
