13'那不勒斯球员阿尔比奥尔拼抢犯规,对手获得控球权.                   12'第12分钟，罗穆洛传球，托尼在费尔南德斯紧逼下打高
13'托尼为维罗纳在对方半场,赢得一个任意球.                   12'第12分钟，罗穆洛传球，托尼在费尔南德斯紧逼下打高
14'维罗纳球员托尼大禁区中央头球,被防守球员封堵.给他传球的是阿格斯蒂尼.                   12'第12分钟，罗穆洛传球，托尼在费尔南德斯紧逼下打高
14'维罗纳球员Juan Iturbe一脚直塞球给托尼,但是边裁举旗显示后者已经越位.                   12'第12分钟，罗穆洛传球，托尼在费尔南德斯紧逼下打高
27'进球啦！！！那不勒斯球员梅尔滕斯大禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是伊瓜因. 维罗纳 0-1 那不勒斯.                   27'第27分钟，伊瓜因带球突进20米传球，梅尔滕斯左路突入禁区，在门前11米处抽射撞远门柱内侧弹进，1比0
28'卡列洪为那不勒斯赢得一个任意球.                   27'第27分钟，伊瓜因带球突进20米传球，梅尔滕斯左路突入禁区，在门前11米处抽射撞远门柱内侧弹进，1比0
28'维罗纳球员霍尔弗雷德森拼抢犯规,对手获得控球权.                   27'第27分钟，伊瓜因带球突进20米传球，梅尔滕斯左路突入禁区，在门前11米处抽射撞远门柱内侧弹进，1比0
29'梅尔滕斯为那不勒斯在对方半场,赢得一个任意球.                   27'第27分钟，伊瓜因带球突进20米传球，梅尔滕斯左路突入禁区，在门前11米处抽射撞远门柱内侧弹进，1比0
29'维罗纳球员拼抢犯规,对手获得控球权.                   27'第27分钟，伊瓜因带球突进20米传球，梅尔滕斯左路突入禁区，在门前11米处抽射撞远门柱内侧弹进，1比0
30'那不勒斯球员梅尔滕斯拼抢犯规,对手获得控球权.                   27'第27分钟，伊瓜因带球突进20米传球，梅尔滕斯左路突入禁区，在门前11米处抽射撞远门柱内侧弹进，1比0
30'Juan Iturbe为维罗纳赢得一个任意球.                   27'第27分钟，伊瓜因带球突进20米传球，梅尔滕斯左路突入禁区，在门前11米处抽射撞远门柱内侧弹进，1比0
72'进球啦！！！那不勒斯球员因西涅大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是马乔. 维罗纳 0-2 那不勒斯.                   72'第72分钟，马乔与梅尔滕斯踢墙配合后禁区右侧低传，因西涅抢在卡恰托雷前面轻松推射破门，2比0
75'Juan Iturbe为维罗纳在对方半场,赢得一个任意球.                   72'第72分钟，马乔与梅尔滕斯踢墙配合后禁区右侧低传，因西涅抢在卡恰托雷前面轻松推射破门，2比0
75'那不勒斯球员因勒拼抢犯规,对手获得控球权.                   72'第72分钟，马乔与梅尔滕斯踢墙配合后禁区右侧低传，因西涅抢在卡恰托雷前面轻松推射破门，2比0
