1'上半场比赛开始了！                   1'双方第1分钟对抗激烈
1'阿森纳开球出来！                   1'双方第1分钟对抗激烈
1'分左侧奈尔斯！再横敲中路！                   1'双方第1分钟对抗激烈
1'中场控制！长传找埃尔纳尼！直塞禁区！                   1'双方第1分钟对抗激烈
2'门将出击直接拿到！                   1'双方第1分钟对抗激烈
2'门球出来！滨安路勒塔莱克斜传！奈尔斯中场拦截！                   1'双方第1分钟对抗激烈
2'回敲后场！分右路的德布希！                   1'双方第1分钟对抗激烈
3'再直传身前！被断了！博亚克耶拿球！回传！                   1'双方第1分钟对抗激烈
3'砍加这边倒在了地上！                   1'双方第1分钟对抗激烈
3'看看啥情况！                   1'双方第1分钟对抗激烈
4'阿森纳获得前场任意球！                   1'双方第1分钟对抗激烈
4'主罚至中路！埃尔纳尼分右侧的尼尔森！                   1'双方第1分钟对抗激烈
4'再回传中路的威尔洛克！                   1'双方第1分钟对抗激烈
4'再分边路奈尔斯！出界了！                   1'双方第1分钟对抗激烈
4'红星球权！                   1'双方第1分钟对抗激烈
4'边线球出来！                   1'双方第1分钟对抗激烈
26'起球传中！霍尔丁禁区内解围！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
26'红星右侧角球出来！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
26'博尔杨头球攻门！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
26'横梁啊！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
26'中路霍尔丁出脚解围！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
26'红星继续左侧角球！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
26'克里斯蒂西奇！过顶直塞球！往前送！！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
27'这边红星队员越位了！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
27'阿森纳后场球出来！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
27'中路威尔洛克拿球！斜传右路的尼尔森！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
27'自己往前带！出脚了！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
27'红星球权！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
27'中圈争抢！埃尔纳尼争下来！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
28'禁区内博尔杨拿球！大脚开出！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
28'霍尔丁中场争抢碰出边线！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
29'红星边线球出来！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
29'直传找到博亚克耶！直接远射！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
29'皮球偏出底线！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
29'唐纳德！分球右侧！！斯托亚科维奇！！                   26'红星第26分钟险些破门，博阿基耶角球混战中后点小禁区前头球攻门，皮球弹地后击中横梁弹出
47'右路德布希争抢下来！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
47'上半场比赛结束！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
47'中圈左侧奈尔斯拿到球！回敲给德布希！再分右侧的尼尔森！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
47'埃尔纳尼低平球给霍尔丁！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
47'再分前场右侧威尔洛克！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
47'给到威尔希尔！斜传禁区！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
48'吉鲁跟上一脚打门！直接被门将拿到！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
48'大脚开出！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
48'前场右侧尼尔森！直传找到沃尔科特！再回敲！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
48'埃尔纳尼拿球！直塞！被拦截出去！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
49'唐纳德中场抢断成功！再长传边路！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
49'尼尔森边路拿球！下底突破！传中！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
49'被后卫出脚解围出去！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
50'外围奈尔斯继续拿到！自己带！传中禁区！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
50'尼尔森禁区右侧一脚抽射！被门将扑出底线！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
50'小禁区前沿争抢！犯规了！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
50'红星的后场任意球！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
50'前场右侧争抢！                   47'2分钟后，纳尔逊禁区右侧抢断后劲射近角被扑出
80'比赛已经来到了80分钟了！                   80'比赛转折点出现在第80分钟，罗迪克争顶时对科奎林犯规，他累计两张黄牌被罚下
80'啊！这边罗迪克被红牌罚下了！                   80'比赛转折点出现在第80分钟，罗迪克争顶时对科奎林犯规，他累计两张黄牌被罚下
81'罗迪克中圈争抢！动作太大！撞翻了科奎林！                   80'比赛转折点出现在第80分钟，罗迪克争顶时对科奎林犯规，他累计两张黄牌被罚下
81'科奎林有点痛苦！                   80'比赛转折点出现在第80分钟，罗迪克争顶时对科奎林犯规，他累计两张黄牌被罚下
81'看看什么情况！                   80'比赛转折点出现在第80分钟，罗迪克争顶时对科奎林犯规，他累计两张黄牌被罚下
82'红星换人！                   80'比赛转折点出现在第80分钟，罗迪克争顶时对科奎林犯规，他累计两张黄牌被罚下
83'红星后场边线球出来！                   80'比赛转折点出现在第80分钟，罗迪克争顶时对科奎林犯规，他累计两张黄牌被罚下
83'霍尔丁破坏出边线！                   80'比赛转折点出现在第80分钟，罗迪克争顶时对科奎林犯规，他累计两张黄牌被罚下
