4'富勒姆球员德贾加大禁区右侧右脚射门,被防守球员封堵.给他传球的是罗达莱加.                   4'第4分钟，罗达勒加传球，德贾加禁区右侧的射门被费迪南德封堵
5'富勒姆球员罗达莱加大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是鲁伊斯.                   4'第4分钟，罗达勒加传球，德贾加禁区右侧的射门被费迪南德封堵
6'富勒姆球员鲁伊斯拼抢犯规,对手获得控球权.                   4'第4分钟，罗达勒加传球，德贾加禁区右侧的射门被费迪南德封堵
6'埃文斯为曼联赢得一个任意球.                   4'第4分钟，罗达勒加传球，德贾加禁区右侧的射门被费迪南德封堵
7'曼联球员纳尼大禁区外右脚射门,被防守球员封堵.给他传球的是克莱维利.                   4'第4分钟，罗达勒加传球，德贾加禁区右侧的射门被费迪南德封堵
7'贝尔德将球处理出底线,曼联获得角球.                   4'第4分钟，罗达勒加传球，德贾加禁区右侧的射门被费迪南德封堵
8'卡拉古尼斯将球处理出底线,曼联获得角球.                   8'曼联第8分钟险些破门，皮球打在汉格兰德背上偏转弹回被施瓦泽勉强扑出，埃文斯近距离补射落空，埃弗拉5码处射门憾中横梁弹回，鲁尼小禁区左侧钩射又被里德尔空门前头球解围
8'曼联球员埃弗拉球门线跟前左脚射门,命中门柱横梁.                   8'曼联第8分钟险些破门，皮球打在汉格兰德背上偏转弹回被施瓦泽勉强扑出，埃文斯近距离补射落空，埃弗拉5码处射门憾中横梁弹回，鲁尼小禁区左侧钩射又被里德尔空门前头球解围
8'曼联球员鲁尼小禁区左侧右脚射门,被防守球员封堵.                   8'曼联第8分钟险些破门，皮球打在汉格兰德背上偏转弹回被施瓦泽勉强扑出，埃文斯近距离补射落空，埃弗拉5码处射门憾中横梁弹回，鲁尼小禁区左侧钩射又被里德尔空门前头球解围
9'射门!!!曼联球员埃弗拉大禁区中央左脚射门,被对方守门员横身扑出.                   8'曼联第8分钟险些破门，皮球打在汉格兰德背上偏转弹回被施瓦泽勉强扑出，埃文斯近距离补射落空，埃弗拉5码处射门憾中横梁弹回，鲁尼小禁区左侧钩射又被里德尔空门前头球解围
11'曼联球员鲁尼大禁区外左脚射门,被防守球员封堵.                   8'曼联第8分钟险些破门，皮球打在汉格兰德背上偏转弹回被施瓦泽勉强扑出，埃文斯近距离补射落空，埃弗拉5码处射门憾中横梁弹回，鲁尼小禁区左侧钩射又被里德尔空门前头球解围
12'射门!!!富勒姆球员里瑟左侧很远处左脚射门,被对方守门员横身扑出.给他传球的是鲁伊斯.                   12'第12分钟，布莱恩-鲁伊斯传球，前利物浦边卫里瑟左路30码处抽射被德赫亚漂亮扑出
12'德赫亚将球处理出底线,富勒姆获得角球.                   12'第12分钟，布莱恩-鲁伊斯传球，前利物浦边卫里瑟左路30码处抽射被德赫亚漂亮扑出
13'曼联球员拉斐尔一脚直塞球给瓦伦西亚,但是边裁举旗显示后者已经越位.                   12'第12分钟，布莱恩-鲁伊斯传球，前利物浦边卫里瑟左路30码处抽射被德赫亚漂亮扑出
14'富勒姆球员德贾加手球犯规,对手获得球权.                   12'第12分钟，布莱恩-鲁伊斯传球，前利物浦边卫里瑟左路30码处抽射被德赫亚漂亮扑出
15'射门!!!富勒姆球员鲁伊斯大禁区外左脚射门,被对方守门员横身扑出.给他传球的是里瑟.                   12'第12分钟，布莱恩-鲁伊斯传球，前利物浦边卫里瑟左路30码处抽射被德赫亚漂亮扑出
15'汉格兰德将球处理出底线,曼联获得角球.                   12'第12分钟，布莱恩-鲁伊斯传球，前利物浦边卫里瑟左路30码处抽射被德赫亚漂亮扑出
19'富勒姆球员汉格兰德拼抢犯规,对手获得控球权.                   19'第19分钟，范佩西传球，鲁尼禁区右侧的射门偏出远角
19'纳尼为曼联在对方半场,赢得一个任意球.                   19'第19分钟，范佩西传球，鲁尼禁区右侧的射门偏出远角
