5'鲁能泰山队右路进攻到中场，对方犯规                   5'开场5分钟，山东鲁能错失得分良机
5'任意球发出来，广州富力队断球转移到右路进攻                   5'开场5分钟，山东鲁能错失得分良机
5'鲁能泰山队长传球到前场，吴兴涵停下球回传                   5'开场5分钟，山东鲁能错失得分良机
5'王彤长传球，对方控下来！                   5'开场5分钟，山东鲁能错失得分良机
6'吴兴涵在前场抢断！带到禁区打门，被程月磊没收                   5'开场5分钟，山东鲁能错失得分良机
7'吉尔后场得球，大脚开到前场，被断                   5'开场5分钟，山东鲁能错失得分良机
7'吴兴涵右路突破，把球回传                   5'开场5分钟，山东鲁能错失得分良机
7'广州富力队客场作战！在一阵佯攻后，把阵形回拉！                   5'开场5分钟，山东鲁能错失得分良机
8'戴琳大脚开球到前场，王永珀越位啦！                   5'开场5分钟，山东鲁能错失得分良机
12'王永珀！！中路带球突破，左边和右边都有人啊！他选择了打门，被门将没收！                   12'第12分钟，王永珀带球突破中突然远射，球被程月磊没收
12'王永珀传球要比打门更好一些                   12'第12分钟，王永珀带球突破中突然远射，球被程月磊没收
13'广州富力队攻到前场，传中，戴琳把球解围                   12'第12分钟，王永珀带球突破中突然远射，球被程月磊没收
13'卢琳右路横带，鲁能泰山队断球长传，落点不好，塔尔德利没能接到                   12'第12分钟，王永珀带球突破中突然远射，球被程月磊没收
13'蒿俊闵左路直传球，塔尔德利回传，出边线                   12'第12分钟，王永珀带球突破中突然远射，球被程月磊没收
14'吴兴涵右路传球，对方破坏出边线                   12'第12分钟，王永珀带球突破中突然远射，球被程月磊没收
14'界外球发出来，姜至鹏接球，吴兴涵上抢犯规                   12'第12分钟，王永珀带球突破中突然远射，球被程月磊没收
15'比赛进行了15分钟！双方都没能进球，但鲁能泰山队占到一些优势                   12'第12分钟，王永珀带球突破中突然远射，球被程月磊没收
24'郑铮发任意球到禁区内，对方抢点顶出来                   24'第24分钟，唐淼放倒阿洛伊西奥，被黄牌警告
24'郑铮斜传球到禁区内，蒿俊闵左路横传，阿洛伊西奥没能顶到                   24'第24分钟，唐淼放倒阿洛伊西奥，被黄牌警告
24'王永珀右路再传禁区，皮球再到另一侧                   24'第24分钟，唐淼放倒阿洛伊西奥，被黄牌警告
24'蒿俊闵左路想人球分过，被唐淼断球                   24'第24分钟，唐淼放倒阿洛伊西奥，被黄牌警告
25'广州富力队进球啦！卢琳！1-0                   24'第24分钟，唐淼放倒阿洛伊西奥，被黄牌警告
26'广州富力队中场断球，转移到左路，再斜传右路吉安努打门被扑出来，肖智打门打在横梁上！卢琳抢点补射球进！                   24'第24分钟，唐淼放倒阿洛伊西奥，被黄牌警告
27'鲁能泰山队盯人不紧啊，吃大亏了！                   24'第24分钟，唐淼放倒阿洛伊西奥，被黄牌警告
27'鲁能泰山队攻到前场，逼得任意球机会                   24'第24分钟，唐淼放倒阿洛伊西奥，被黄牌警告
28'鲁能泰山队进球啦！戴琳！1-1！                   28'第28分钟，山东鲁能获得远距离任意球，在队友虚晃一枪后，戴琳跟进大力低射打出世界波，程月磊倒地扑救，虽然触到皮球仍未阻止皮球入网，山东鲁能1-1扳平比分
28'郑铮晃动，戴琳发任意球直接打门，地滚球直接进入球门！                   28'第28分钟，山东鲁能获得远距离任意球，在队友虚晃一枪后，戴琳跟进大力低射打出世界波，程月磊倒地扑救，虽然触到皮球仍未阻止皮球入网，山东鲁能1-1扳平比分
29'鲁能泰山队丢球后很快扳平！                   28'第28分钟，山东鲁能获得远距离任意球，在队友虚晃一枪后，戴琳跟进大力低射打出世界波，程月磊倒地扑救，虽然触到皮球仍未阻止皮球入网，山东鲁能1-1扳平比分
29'广州富力队右路横传，吉尔把球破坏                   28'第28分钟，山东鲁能获得远距离任意球，在队友虚晃一枪后，戴琳跟进大力低射打出世界波，程月磊倒地扑救，虽然触到皮球仍未阻止皮球入网，山东鲁能1-1扳平比分
30'中场广州富力队得球，右路直传，被塔尔德利抢断                   28'第28分钟，山东鲁能获得远距离任意球，在队友虚晃一枪后，戴琳跟进大力低射打出世界波，程月磊倒地扑救，虽然触到皮球仍未阻止皮球入网，山东鲁能1-1扳平比分
30'郑铮接塔尔德利回传球，吉安努上抢出界                   28'第28分钟，山东鲁能获得远距离任意球，在队友虚晃一枪后，戴琳跟进大力低射打出世界波，程月磊倒地扑救，虽然触到皮球仍未阻止皮球入网，山东鲁能1-1扳平比分
31'王彤右路直传球，吴兴涵快速插上，对方回铲球出底线                   28'第28分钟，山东鲁能获得远距离任意球，在队友虚晃一枪后，戴琳跟进大力低射打出世界波，程月磊倒地扑救，虽然触到皮球仍未阻止皮球入网，山东鲁能1-1扳平比分
31'鲁能泰山队得到了角球机会                   28'第28分钟，山东鲁能获得远距离任意球，在队友虚晃一枪后，戴琳跟进大力低射打出世界波，程月磊倒地扑救，虽然触到皮球仍未阻止皮球入网，山东鲁能1-1扳平比分
35'塔尔德利一对一突破到禁区内一脚打门，程月磊把球扑出，从王永珀的脚下滑了过去！                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
35'鲁能泰山队得到角球机会                   35'第35分钟，山东鲁能中超送出长传，塔尔德利边路拿球内切晃过于洋后弧线球射门，程月磊飞身将球挡出底线
