11'现在上半场已经进行了10分钟                   9'第9分钟，宋龙防守犯规被黄牌警告
11'比分上还是0-0                   9'第9分钟，宋龙防守犯规被黄牌警告
11'让我们看下双方的首发                   9'第9分钟，宋龙防守犯规被黄牌警告
11'长春亚泰首发阵容：门将：13-祎凡；后卫：16-蒋哲、4-于睿、3-闫世鹏、33-张笑非；中场：10-胡斯蒂、32-李光、21-何超、17-范晓冬；前锋：9-伊哈洛、7-马里尼奥                   9'第9分钟，宋龙防守犯规被黄牌警告
11'山东鲁能首发：门将：25-王大雷；后卫：24-齐天羽、35-戴琳、4-吉尔、23-宋龙；中场：26-崔巍、6-王彤、22-蒿俊闵、17-吴兴涵；前锋：19-佩莱、18-西塞                   9'第9分钟，宋龙防守犯规被黄牌警告
12'鲁能今天身穿白色的球衣                   9'第9分钟，宋龙防守犯规被黄牌警告
12'双方在边路也是抢的很凶                   9'第9分钟，宋龙防守犯规被黄牌警告
17'边路面对三人的包夹                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
17'没有将球摘出来                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
17'宋龙这边已经有一张黄牌了                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
18'亚泰这边禁区外围远射                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
18'打在上网了                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
18'鲁能这边防守上也是承受了很大的压力                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
19'蒋哲中场拿球控一下                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
19'马里尼奥边路突破被侵犯                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
19'鲁能这边左路的防守问题很大啊                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
19'亚泰这边前场右路的任意球                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
20'任意球给到禁区                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
20'前点直接被顶出                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
20'上半场20分钟了，鲁能这边没什么机会                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
20'伊哈洛前场拿球挑传到边路                   17'第17分钟，长春亚泰长传进攻，吉尔头球解围不远，胡斯蒂禁区外直接凌空抽射，球稍稍高出横梁
30'亚泰今天也是主打右路                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
30'马里尼奥对鲁能的后防威胁还是很大的                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
30'马里尼奥边路停球                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
30'起球送进来被挡了一下                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
30'亚泰右路再传后点                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
31'范晓冬远端出现                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
31'打门的时候没有压住                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
32'鲁能右路带球                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
32'又是自己失误                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
32'鲁能到现在没有打出东西来                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
33'齐天羽中场上抢将球破坏                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
33'传球成功率上只有63%                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
33'传球成功率上鲁能只有63%                   30'第30分钟，长春亚泰错失得分良机，胡斯蒂传中找到右路防守空当，无人防守的范晓冬凌空抽射，球擦着远端立柱偏出
37'鲁能这边两侧的转移太少了                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
37'亚泰中场拿球给到边路                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
37'鲁能这边抢在马里尼奥之前先破坏                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
37'胡斯蒂禁区边缘起球送后点                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
37'范晓冬头球攻门将球顶偏                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
38'张笑非边路破坏                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
38'倒地滑铲的时候被对方带了一下                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
38'张笑非也是痛苦倒地                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
39'戴琳禁区外围远射一脚                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
39'打得还是很着急的                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
40'亚泰挑传到禁区弧顶                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
40'戴琳大长腿一脚将球解围                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
40'鲁能边路连续一脚出球                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
40'最后一下还是没有传好                   37'第37分钟，胡斯蒂晃开防守后弧线球传后点，范晓冬力压齐天羽头球攻门偏出
52'亚泰后场拿球控一下                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
52'比赛的节奏现在也是不如上半场                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
52'齐天羽右路起球送禁区                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
52'亚泰这边解围失误了                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
53'吴兴涵禁区内得球                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
53'直接劲射，没有压住啊                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
53'这球打门的是西塞                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
53'鲁能这边表现的更积极                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
54'鲁能这边禁区边缘头球摆渡                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
54'祎凡出击险些扑空                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
55'犯规上鲁能有10次                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
55'亚泰这边办法并不多                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
55'伊哈洛反击中越位                   52'第52分钟，山东鲁能边路弧线球传中，吴兴涵争顶造成后点防守空位，西塞无人防守情况下凌空抽射稍稍高出横梁
59'鲁能右路下底                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
59'赢得角球机会                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
59'角球送后点                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
59'0-1！！！                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
59'混乱中不知道谁进的啊                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
60'亚泰这边球员也是觉得不对                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
60'这球最后不算？？                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
60'西塞这边还在庆祝                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
60'慢镜头看这球是进了                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
61'进球还是有效的！！                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
61'进球的是西塞！！                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
62'鲁能角球送后点，队友头球点下来被西塞在小禁区内脚后跟磕了一下，后卫也是在门线里将球解围                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
62'这球整体是越过门线                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
62'王大雷这边禁区内出击                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
62'为了解围也是重重的摔了一下                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
62'王大雷摔的不轻啊                   59'第59分钟，山东鲁能打破僵局，蒿俊闵角球传中，戴琳后点头球攻门，西塞脚后跟破门，山东鲁能1-0领先
73'裁判把双方球员叫到身边                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
73'吉尔得到一张黄牌！                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
73'先看看亚泰的右路任意球                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
73'任意球给到禁区                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
73'王大雷出击将球击出                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
73'胡斯蒂这边也是得到一张黄牌！                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
75'谭龙边路上抢有一个附加动作                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
75'裁判也是没有掏牌                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
76'这段时间双方倒地的次数比较多                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
76'现在亚泰打得有些着急                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
76'鲁能前场获得任意球                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
76'任意球给到禁区                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
76'裁判吹了佩莱犯规                   73'第73分钟，吉尔与胡斯蒂在无球状态下拉扯，均被主裁判黄牌警告
79'马里尼奥右路拿球被拉倒                   78'第78分钟，西塞小角度侧身凌空抽射，球擦着横梁高出
79'吴兴涵得到一张黄牌！                   78'第78分钟，西塞小角度侧身凌空抽射，球擦着横梁高出
82'0-2！！                   82'第82分钟，山东鲁能边线球进攻，齐天羽右路弧线球传中，长春亚泰头球解围失误，西塞抢点不停球直接左脚爆射打入近角，山东鲁能2-0领先
82'西塞！！                   82'第82分钟，山东鲁能边线球进攻，齐天羽右路弧线球传中，长春亚泰头球解围失误，西塞抢点不停球直接左脚爆射打入近角，山东鲁能2-0领先
82'齐天羽右路下底给到禁区，亚泰这边解围没有踢远，西塞起左脚凌空打门打近角破门！！                   82'第82分钟，山东鲁能边线球进攻，齐天羽右路弧线球传中，长春亚泰头球解围失误，西塞抢点不停球直接左脚爆射打入近角，山东鲁能2-0领先
82'这样对亚泰来说就难了                   82'第82分钟，山东鲁能边线球进攻，齐天羽右路弧线球传中，长春亚泰头球解围失误，西塞抢点不停球直接左脚爆射打入近角，山东鲁能2-0领先
84'亚泰中场拿球                   82'第82分钟，山东鲁能边线球进攻，齐天羽右路弧线球传中，长春亚泰头球解围失误，西塞抢点不停球直接左脚爆射打入近角，山东鲁能2-0领先
84'被西塞干扰了一下                   82'第82分钟，山东鲁能边线球进攻，齐天羽右路弧线球传中，长春亚泰头球解围失误，西塞抢点不停球直接左脚爆射打入近角，山东鲁能2-0领先
84'鲁能这边反击的机会                   82'第82分钟，山东鲁能边线球进攻，齐天羽右路弧线球传中，长春亚泰头球解围失误，西塞抢点不停球直接左脚爆射打入近角，山东鲁能2-0领先
84'右路的带球被破坏                   82'第82分钟，山东鲁能边线球进攻，齐天羽右路弧线球传中，长春亚泰头球解围失误，西塞抢点不停球直接左脚爆射打入近角，山东鲁能2-0领先
