1'上半场比赛开始了！                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
1'上半场由伯恩茅斯率先中圈开球                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
1'刚才没有报完首发                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
1'我们接着说                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
1'阿森纳(4-2-3-1)：33-切赫；24-贝莱林，20-穆斯塔菲，6-科斯切尔尼，18-蒙雷亚尔；34-科奎林，29-扎卡；8-拉姆塞，17-伊沃比，7-桑切斯；12-吉鲁                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
2'伯恩茅斯(4-2-3-1)：1-博鲁奇；2-弗朗西斯，3-库克，5-阿克，11-丹尼尔斯；8-阿特尔，4-戈斯林；19-斯坦尼斯拉斯，17-约书亚-金，24-弗雷泽；13-威尔逊                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
2'伯恩茅斯身穿红黑间条球衣                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
2'阿森纳是黄色球衣                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
3'桑切斯左路来了，横传中路的扎卡，交给伊沃比                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
3'再交给桑切斯                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
3'斜传，贝莱林右路传中被阿克顶走                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
4'桑切斯左路的直传，伯恩茅斯门将博鲁奇将球没收                   1'伯恩茅斯第1分钟先发制人，约书亚-金远射偏出，斯坦尼斯拉斯的远射被切赫没收
16'阿克交给库克，长传被蒙雷亚尔挡一下                   16'伯恩茅斯第16分钟取得领先，斯坦尼斯拉斯右路斜传，丹尼尔斯漂亮停球后晃过贝莱林，最后他在小禁区左上角外单刀射近角入网
16'球还在伯恩茅斯脚下                   16'伯恩茅斯第16分钟取得领先，斯坦尼斯拉斯右路斜传，丹尼尔斯漂亮停球后晃过贝莱林，最后他在小禁区左上角外单刀射近角入网
16'弗朗西斯直传，斯坦尼斯拉斯倒三角传球被科斯切尔尼踢出边线                   16'伯恩茅斯第16分钟取得领先，斯坦尼斯拉斯右路斜传，丹尼尔斯漂亮停球后晃过贝莱林，最后他在小禁区左上角外单刀射近角入网
16'弗朗西斯掷界外球                   16'伯恩茅斯第16分钟取得领先，斯坦尼斯拉斯右路斜传，丹尼尔斯漂亮停球后晃过贝莱林，最后他在小禁区左上角外单刀射近角入网
16'弗朗西斯传中，丹尼尔斯这点完全空了                   16'伯恩茅斯第16分钟取得领先，斯坦尼斯拉斯右路斜传，丹尼尔斯漂亮停球后晃过贝莱林，最后他在小禁区左上角外单刀射近角入网
17'丹尼尔斯禁区左侧扣过了贝莱林后小角度打门破门！                   16'伯恩茅斯第16分钟取得领先，斯坦尼斯拉斯右路斜传，丹尼尔斯漂亮停球后晃过贝莱林，最后他在小禁区左上角外单刀射近角入网
17'想不到先进球的是伯恩茅斯                   16'伯恩茅斯第16分钟取得领先，斯坦尼斯拉斯右路斜传，丹尼尔斯漂亮停球后晃过贝莱林，最后他在小禁区左上角外单刀射近角入网
19'桑切斯左路的突破，弗朗西斯绊人犯规                   16'伯恩茅斯第16分钟取得领先，斯坦尼斯拉斯右路斜传，丹尼尔斯漂亮停球后晃过贝莱林，最后他在小禁区左上角外单刀射近角入网
19'阿森纳前场左路的任意球机会                   16'伯恩茅斯第16分钟取得领先，斯坦尼斯拉斯右路斜传，丹尼尔斯漂亮停球后晃过贝莱林，最后他在小禁区左上角外单刀射近角入网
19'扎卡传中被顶出来                   16'伯恩茅斯第16分钟取得领先，斯坦尼斯拉斯右路斜传，丹尼尔斯漂亮停球后晃过贝莱林，最后他在小禁区左上角外单刀射近角入网
19'拉姆塞控球被断了                   16'伯恩茅斯第16分钟取得领先，斯坦尼斯拉斯右路斜传，丹尼尔斯漂亮停球后晃过贝莱林，最后他在小禁区左上角外单刀射近角入网
29'科斯切尔尼回传给切赫                   29'阿森纳首次威胁出现在第29分钟，桑切斯传中，拉姆塞禁区边缘内面对2人防守转身抽射，皮球打中阿克偏转后擦右侧立柱偏出
29'阿森纳急需抢回中场控制权                   29'阿森纳首次威胁出现在第29分钟，桑切斯传中，拉姆塞禁区边缘内面对2人防守转身抽射，皮球打中阿克偏转后擦右侧立柱偏出
30'桑切斯左路的传中，拉姆塞点球眯附近停球转身打门碰后卫的脚出底线                   29'阿森纳首次威胁出现在第29分钟，桑切斯传中，拉姆塞禁区边缘内面对2人防守转身抽射，皮球打中阿克偏转后擦右侧立柱偏出
30'战术角球，贝莱林吊禁区被库克顶走                   29'阿森纳首次威胁出现在第29分钟，桑切斯传中，拉姆塞禁区边缘内面对2人防守转身抽射，皮球打中阿克偏转后擦右侧立柱偏出
30'桑切斯左路传中，太低了被阿克解围                   29'阿森纳首次威胁出现在第29分钟，桑切斯传中，拉姆塞禁区边缘内面对2人防守转身抽射，皮球打中阿克偏转后擦右侧立柱偏出
30'斯坦尼斯拉斯的突破，趟大了                   29'阿森纳首次威胁出现在第29分钟，桑切斯传中，拉姆塞禁区边缘内面对2人防守转身抽射，皮球打中阿克偏转后擦右侧立柱偏出
32'丹尼尔斯左路的推进，横传，贝莱林强行铲倒了弗雷泽                   29'阿森纳首次威胁出现在第29分钟，桑切斯传中，拉姆塞禁区边缘内面对2人防守转身抽射，皮球打中阿克偏转后擦右侧立柱偏出
