3'J罗一脚长传球给前场左侧！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
3'皮球被皮什切克解围出去！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
3'拉菲尼亚把球拦截！长传球找前场左路里贝里！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
3'里贝里斜线分球左侧阿拉巴！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
4'阿拉巴给到禁区中路穆勒！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
4'穆勒左脚垫射打门！偏出了底线！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
4'布尔基大脚开球门球到前场！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
4' 普利希奇右路带球快速进攻！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
5'右路禁区传中后点！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
5'巴舒亚伊插上鱼跃冲顶！！皮球被挡出了底线！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
5'多特的右侧角球！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
5'角球开到禁区内后点！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
6'皮球被防守球员顶出外围！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
6'格策跟上来一脚打门！打飞出了底线！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
6'乌尔赖希开球给后场胡梅尔斯！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
6'胡梅尔斯分球给右路J罗！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
6'J罗低平球推传身前的莱万！                   3'开场3分钟，阿拉巴传中，穆勒前点左脚凌空勾射偏出远门柱
14'格策禁区右侧得球！被阿拉巴抢断！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
14'阿拉巴一脚直塞球给出来！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
14'皮什切克前场把球抢到！给到禁区左侧的许尔勒！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
14'许尔勒倒勾打门！没踢好好！出了底线！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
15'里贝里带球推进过来前场！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
15'斜线球给左路J罗！！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
15'J罗搓传到禁区内中路！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
15'阿坎吉头球解围出去！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
15'外围左侧阿拉巴的球权！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
15'兜出一脚弧线球传中！到禁区内后点！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
16'J罗滑地一记铲射！！！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
16'GOOOOOOOOAL！！球进了！！！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
16'拜仁慕尼黑2-0多特蒙德！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
16'博阿滕回给门将乌尔赖希！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
16'乌尔赖希大脚长传给前场左侧阿拉巴！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
16'阿拉巴回敲身后胡梅尔斯！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
17'胡梅尔斯再给前场左侧阿拉巴！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
17'阿拉巴给前场中路的里贝里！                   14'拜仁第14分钟扩大比分，J罗中路分球，阿拉巴左侧传中，J罗在门前7米处左脚推射入网，2比0
