36'热刺球员Dele Alli手球犯规,对手获得球权.                   35'斯托克城主帅马克-休斯第35分钟被罚出场外
56'进球啦！！！热刺球员Son Heung-Min大禁区左侧右脚射门,球从中路偏上飞进球门,球进了!助攻的是埃里克森. 斯托克城 0-2 热刺.                   56'第56分钟，埃里克森传球，孙兴慜禁区左侧18码处第一时间射入远角
57'斯托克城球员博尼拼抢犯规,对手获得控球权.                   56'第56分钟，埃里克森传球，孙兴慜禁区左侧18码处第一时间射入远角
57'阿尔德韦雷尔德为热刺赢得一个任意球.                   56'第56分钟，埃里克森传球，孙兴慜禁区左侧18码处第一时间射入远角
58'Giannelli Imbula为斯托克城赢得一个任意球.                   56'第56分钟，埃里克森传球，孙兴慜禁区左侧18码处第一时间射入远角
58'热刺球员埃里克-迪尔拼抢犯规,对手获得控球权.                   56'第56分钟，埃里克森传球，孙兴慜禁区左侧18码处第一时间射入远角
58'斯托克城球员博尼大禁区中央右脚射门,被防守球员封堵.给他传球的是阿瑙托维奇.                   56'第56分钟，埃里克森传球，孙兴慜禁区左侧18码处第一时间射入远角
59'阿尔德韦雷尔德将球处理出底线,斯托克城获得角球.                   56'第56分钟，埃里克森传球，孙兴慜禁区左侧18码处第一时间射入远角
59'进球啦！！！热刺球员Dele Alli大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是沃克尔. 斯托克城 0-3 热刺.                   56'第56分钟，埃里克森传球，孙兴慜禁区左侧18码处第一时间射入远角
70'吉文将球处理出底线,热刺获得角球.                   70'第70分钟，孙兴慜禁区左侧传中，哈里-凯恩近距离破门
70'热刺球员凯恩小禁区右侧尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是埃里克森.                   70'第70分钟，孙兴慜禁区左侧传中，哈里-凯恩近距离破门
70'进球啦！！！热刺球员凯恩球门线跟前左脚射门,球从右下角飞进球门,球进了!助攻的是Son Heung-Min. 斯托克城 0-4 热刺.                   70'第70分钟，孙兴慜禁区左侧传中，哈里-凯恩近距离破门
71'斯托克城换人,查理-亚当换下Giannelli Imbula                   70'第70分钟，孙兴慜禁区左侧传中，哈里-凯恩近距离破门
72'沃克尔将球处理出底线,斯托克城获得角球.                   70'第70分钟，孙兴慜禁区左侧传中，哈里-凯恩近距离破门
72'斯托克城球员乔-阿伦拼抢犯规,对手获得控球权.                   70'第70分钟，孙兴慜禁区左侧传中，哈里-凯恩近距离破门
72'Son Heung-Min为热刺在对方半场,赢得一个任意球.                   70'第70分钟，孙兴慜禁区左侧传中，哈里-凯恩近距离破门
73'热刺换人,文森特-扬森换下凯恩                   70'第70分钟，孙兴慜禁区左侧传中，哈里-凯恩近距离破门
73'热刺球员Son Heung-Min大禁区左侧尝试左脚射门,可惜皮球稍稍偏出了左球门.                   70'第70分钟，孙兴慜禁区左侧传中，哈里-凯恩近距离破门
